qid,label,class_label,class_qid
Q60372,"solar eclipse of March 20, 2015",solar eclipse,Q3887
Q2620078,"solar eclipse of April 8, 2024",solar eclipse,Q3887
Q1437630,"solar eclipse of August 21, 2017",solar eclipse,Q3887
Q276506,"solar eclipse of July 22, 2009",solar eclipse,Q3887
Q1281799,"solar eclipse of August 11, 1999",solar eclipse,Q3887
Q1144066,"solar eclipse of June 21, 2020",solar eclipse,Q3887
Q63210,"solar eclipse of December 14, 2020",solar eclipse,Q3887
Q2464643,"solar eclipse of August 12, 2026",solar eclipse,Q3887
Q1144050,"solar eclipse of June 10, 2021",solar eclipse,Q3887
Q1769714,"solar eclipse of October 25, 2022",solar eclipse,Q3887
Q1141194,"solar eclipse of January 15, 2010",solar eclipse,Q3887
Q1549112,"solar eclipse of March 9, 2016",solar eclipse,Q3887
Q934366,"Solar eclipse of March 29, 2006",solar eclipse,Q3887
Q1333394,"solar eclipse of April 20, 2023",solar eclipse,Q3887
Q1131439,"solar eclipse of December 26, 2019",solar eclipse,Q3887
Q4026308,"Solar eclipse of March 29, 2025",solar eclipse,Q3887
Q1304184,"solar eclipse of November 3, 2013",solar eclipse,Q3887
Q1165834,"solar eclipse of May 20, 2012",solar eclipse,Q3887
Q671065,"solar eclipse of August 1, 2008",solar eclipse,Q3887
Q51414,"solar eclipse of November 13, 2012",solar eclipse,Q3887
Q1368046,"solar eclipse of July 2, 2019",solar eclipse,Q3887
Q1164503,"solar eclipse of January 4, 2011",solar eclipse,Q3887
Q1145907,"solar eclipse of December 4, 2021",solar eclipse,Q3887
Q3075590,"solar eclipse of October 14, 2023",solar eclipse,Q3887
Q774379,"solar eclipse of July 11, 2010",solar eclipse,Q3887
Q2035756,"solar eclipse of May 29, 1919",solar eclipse,Q3887
Q1571353,Assyrian eclipse,solar eclipse,Q3887
Q3577555,"solar eclipse of October 2, 2024",solar eclipse,Q3887
Q3577554,"solar eclipse of August 2, 2027",solar eclipse,Q3887
Q2064930,"solar eclipse of May 10, 2013",solar eclipse,Q3887
Q1630005,"solar eclipse of April 30, 2022",solar eclipse,Q3887
Q1556090,"solar eclipse of January 26, 2009",solar eclipse,Q3887
Q1580486,"solar eclipse of October 23, 2014",solar eclipse,Q3887
Q686926,"solar eclipse of February 17, 2026",solar eclipse,Q3887
Q4026419,"solar eclipse of September 21, 2025e",solar eclipse,Q3887
Q978836,"solar eclipse of January 6, 2019",solar eclipse,Q3887
Q1029040,"solar eclipse of August 11, 2018",solar eclipse,Q3887
Q60624,"solar eclipse of September 13, 2015",solar eclipse,Q3887
Q1640337,"solar eclipse of October 24, 1995",solar eclipse,Q3887
Q1329886,"solar eclipse of November 25, 2011",solar eclipse,Q3887
Q1314098,"solar eclipse of September 1, 2016",solar eclipse,Q3887
Q954324,"solar eclipse of February 26, 2017",solar eclipse,Q3887
Q3577541,"solar eclipse of February 15, 1961",solar eclipse,Q3887
Q2063825,"solar eclipse of April 29, 2014",solar eclipse,Q3887
Q1859834,"solar eclipse of March 9, 1997",solar eclipse,Q3887
Q1783532,"solar eclipse of June 1, 2011",solar eclipse,Q3887
Q1513462,"solar eclipse of July 11, 1991",solar eclipse,Q3887
Q609193,"solar eclipse of February 15, 2018",solar eclipse,Q3887
Q537110,Eclipse of Thales,solar eclipse,Q3887
Q726669,"solar eclipse of July 1, 2011",solar eclipse,Q3887
Q2301896,"solar eclipse of July 13, 2018",solar eclipse,Q3887
Q1859295,"solar eclipse of February 26, 1998",solar eclipse,Q3887
Q1516903,"solar eclipse of June 21, 2001",solar eclipse,Q3887
Q985186,"solar eclipse of September 3, 2081",solar eclipse,Q3887
Q1030370,"solar eclipse of October 3, 2005",solar eclipse,Q3887
Q3577545,"solar eclipse of July 22, 2028",solar eclipse,Q3887
Q1584078,"solar eclipse of November 3, 1994",solar eclipse,Q3887
Q1490443,"solar eclipse of May 10, 1994",solar eclipse,Q3887
Q1343472,"solar eclipse of August 18, 1868",solar eclipse,Q3887
Q7556425,"solar eclipse of June 11, 1983",solar eclipse,Q3887
Q473566,"solar eclipse of April 8, 2005",solar eclipse,Q3887
Q920426,"solar eclipse of September 2, 2035",solar eclipse,Q3887
Q1089499,"solar eclipse of April 9, 2043",solar eclipse,Q3887
Q1107678,"solar eclipse of June 30, 1973",solar eclipse,Q3887
Q3577544,"solar eclipse of March 20, 2034",solar eclipse,Q3887
Q2301900,"solar eclipse of August 21, 1914",solar eclipse,Q3887
Q2023932,"solar eclipse of March 30, 2033",solar eclipse,Q3887
Q1516937,"solar eclipse of November 23, 2003",solar eclipse,Q3887
Q1146513,"solar eclipse of July 22, 1990",solar eclipse,Q3887
Q7556212,"solar eclipse of August 12, 1654",solar eclipse,Q3887
Q7556241,"solar eclipse of August 30, 1905",solar eclipse,Q3887
Q7420334,"solar eclipse of July 16, 2186",solar eclipse,Q3887
Q7556466,"solar eclipse of June 30, 1954",solar eclipse,Q3887
Q7556435,"solar eclipse of June 20, 1955",solar eclipse,Q3887
Q684445,"solar eclipse of December 4, 2002",solar eclipse,Q3887
Q4427819,"solar eclipse of July 31, 1981",solar eclipse,Q3887
Q492942,solar eclipse of September 22 2006,solar eclipse,Q3887
Q249308,"solar eclipse of February 7, 2008",solar eclipse,Q3887
Q7556564,"solar eclipse of November 12, 1966",solar eclipse,Q3887
Q3577539,"solar eclipse of July 13, 2037",solar eclipse,Q3887
Q929952,"solar eclipse of April 17, 1912",solar eclipse,Q3887
Q1144017,"solar eclipse of March 19, 2007",solar eclipse,Q3887
Q4427813,"solar eclipse of June 19, 1936",solar eclipse,Q3887
Q4427810,"solar eclipse of August 19, 1887",solar eclipse,Q3887
Q4026622,"solar eclipse of June 1, 2030",solar eclipse,Q3887
Q4026599,"solar eclipse of April 21, 2088",solar eclipse,Q3887
Q4026471,"solar eclipse of April 30, 2060",solar eclipse,Q3887
Q3577551,"solar eclipse of January 26, 2028",solar eclipse,Q3887
Q3577547,"solar eclipse of September 23, 2090",solar eclipse,Q3887
Q1859795,"solar eclipse of February 5, 2000",solar eclipse,Q3887
Q1859159,"solar eclipse of December 25, 2000",solar eclipse,Q3887
Q1584153,"solar eclipse of October 12, 1996",solar eclipse,Q3887
Q1536207,"Solar eclipse of July 31, 2000",solar eclipse,Q3887
Q1472163,"solar eclipse of August 22, 1998",solar eclipse,Q3887
Q1409455,"solar eclipse of June 30, 1992",solar eclipse,Q3887
Q1145898,"solar eclipse of September 11, 2007",solar eclipse,Q3887
Q7556448,"solar eclipse of June 29, 1927",solar eclipse,Q3887
Q7556508,"solar eclipse of March 7, 1970",solar eclipse,Q3887
Q538256,"solar eclipse of July 18, 1860",solar eclipse,Q3887
Q4427822,"solar eclipse of July 9, 1945",solar eclipse,Q3887
Q3045221,"solar eclipse of April 20, 2042",solar eclipse,Q3887
Q908988,Mursili's eclipse,solar eclipse,Q3887
Q841551,"solar eclipse of May 31, 2003",solar eclipse,Q3887
Q780616,"solar eclipse of December 5, 2048",solar eclipse,Q3887
Q4026273,"solar eclipse of April 11, 2070",solar eclipse,Q3887
Q4427816,"solar eclipse of September 22, 1968",solar eclipse,Q3887
Q4026735,"solar eclipse of April 20, 2061",solar eclipse,Q3887
Q3577556,"solar eclipse of April 30, 2041",solar eclipse,Q3887
Q3577546,"solar eclipse of August 23, 2044",solar eclipse,Q3887
Q1584094,"solar eclipse of May 21, 1993",solar eclipse,Q3887
Q1584023,"solar eclipse of February 16, 1999",solar eclipse,Q3887
Q1146483,"solar eclipse of January 15, 1991",solar eclipse,Q3887
Q1144034,"solar eclipse of October 14, 2004",solar eclipse,Q3887
Q1144023,"solar eclipse of April 19, 2004",solar eclipse,Q3887
Q7556304,"solar eclipse of February 16, 1980",solar eclipse,Q3887
Q7556250,"solar eclipse of August 31, 1932",solar eclipse,Q3887
Q7556543,"solar eclipse of May 30, 1965",solar eclipse,Q3887
Q7556539,"solar eclipse of May 3, 1715",solar eclipse,Q3887
Q7556181,"solar eclipse of April 29, 1976",solar eclipse,Q3887
Q7556177,"solar eclipse of April 28, 1911",solar eclipse,Q3887
Q7556407,"solar eclipse of July 8, 1842",solar eclipse,Q3887
Q7556391,"solar eclipse of July 20, 1963",solar eclipse,Q3887
Q7556379,"solar eclipse of July 10, 1972",solar eclipse,Q3887
Q7556365,"solar eclipse of January 3, 1908",solar eclipse,Q3887
Q7556458,"solar eclipse of June 8, 1918",solar eclipse,Q3887
Q7556516,"solar eclipse of May 18, 1901",solar eclipse,Q3887
Q10858131,"solar eclipse of October 1, 1940",solar eclipse,Q3887
Q7556663,"solar eclipse of September 21, 1922",solar eclipse,Q3887
Q7556644,"solar eclipse of September 10, 1923",solar eclipse,Q3887
Q7556356,"solar eclipse of January 24, 1925",solar eclipse,Q3887
Q7556343,"solar eclipse of January 14, 1907",solar eclipse,Q3887
Q7556328,"solar eclipse of February 3, 1916",solar eclipse,Q3887
Q7556318,"solar eclipse of February 26, 1979",solar eclipse,Q3887
Q7556314,"solar eclipse of February 25, 1952",solar eclipse,Q3887
Q618333,"solar eclipse of May 30, 1984",solar eclipse,Q3887
Q4026407,"solar eclipse of September 23, 2071",solar eclipse,Q3887
Q7556606,"solar eclipse of October 12, 1977",solar eclipse,Q3887
Q7556598,"solar eclipse of October 10, 1912",solar eclipse,Q3887
Q7556583,"solar eclipse of November 22, 1984",solar eclipse,Q3887
Q1131433,"solar eclipse of June 10, 2002",solar eclipse,Q3887
Q1131426,"solar eclipse of December 14, 2001",solar eclipse,Q3887
Q4026282,"solar eclipse of May 11, 2097",solar eclipse,Q3887
Q4026581,"solar eclipse of September 12, 2053",solar eclipse,Q3887
Q3577558,"solar eclipse of February 6, 2027",solar eclipse,Q3887
Q3577549,"solar eclipse of November 25, 2049",solar eclipse,Q3887
Q3577553,"solar eclipse of August 2, 2046",solar eclipse,Q3887
Q3577548,"solar eclipse of November 25, 2030",solar eclipse,Q3887
Q3577540,"solar eclipse of November 14, 2031",solar eclipse,Q3887
Q3577542,"solar eclipse of December 15, 2039",solar eclipse,Q3887
Q1859810,"solar eclipse of July 1, 2000",solar eclipse,Q3887
Q1146462,"solar eclipse of November 13, 1993",solar eclipse,Q3887
Q1146497,"solar eclipse of December 24, 1992",solar eclipse,Q3887
Q1146469,"solar eclipse of April 17, 1996",solar eclipse,Q3887
Q1146433,"solar eclipse of January 4, 1992",solar eclipse,Q3887
Q1146413,"solar eclipse of April 29, 1995",solar eclipse,Q3887
Q7556300,"solar eclipse of February 14, 1934",solar eclipse,Q3887
Q7556252,"solar eclipse of August 9, 1896",solar eclipse,Q3887
Q7556167,"solar eclipse of April 18, 1977",solar eclipse,Q3887
Q7556165,"solar eclipse of April 18, 1931",solar eclipse,Q3887
Q7556163,"solar eclipse of April 16, 1893",solar eclipse,Q3887
Q7556194,"solar eclipse of April 8, 1921",solar eclipse,Q3887
Q7556358,"solar eclipse of January 25, 1944",solar eclipse,Q3887
Q7556460,"solar eclipse of June 8, 1937",solar eclipse,Q3887
Q7556533,"solar eclipse of May 20, 1947",solar eclipse,Q3887
Q7556476,"solar eclipse of March 18, 1969",solar eclipse,Q3887
Q8214891,"solar eclipse of March 18, 1988",solar eclipse,Q3887
Q7556680,"solar eclipse of September 9, 1904",solar eclipse,Q3887
Q7556668,"solar eclipse of September 23, 1987",solar eclipse,Q3887
Q7556661,"solar eclipse of September 21, 1941",solar eclipse,Q3887
Q7556656,"solar eclipse of September 21, 1903",solar eclipse,Q3887
Q7556351,"solar eclipse of January 22, 1879",solar eclipse,Q3887
Q7556345,"solar eclipse of January 14, 1926",solar eclipse,Q3887
Q7556342,"solar eclipse of January 1, 1889",solar eclipse,Q3887
Q7556337,"solar eclipse of February 5, 1962",solar eclipse,Q3887
Q7556333,"solar eclipse of February 4, 1981",solar eclipse,Q3887
Q7556335,"solar eclipse of February 4, 1943",solar eclipse,Q3887
Q10858246,"solar eclipse of January 3, 1927",solar eclipse,Q3887
Q4026344,"solar eclipse of September 14, 2099",solar eclipse,Q3887
Q4026352,"solar eclipse of January 27, 2093",solar eclipse,Q3887
Q4427817,"solar eclipse of July 28, 1851",solar eclipse,Q3887
Q7556548,"solar eclipse of May 9, 1929",solar eclipse,Q3887
Q7556545,"solar eclipse of May 9, 1910",solar eclipse,Q3887
Q7556614,"solar eclipse of October 21, 1930",solar eclipse,Q3887
Q7556612,"solar eclipse of October 2, 1959",solar eclipse,Q3887
Q3577538,"solar eclipse of July 13, 2075",solar eclipse,Q3887
Q3577537,"solar eclipse of August 12, 2045",solar eclipse,Q3887
Q4026714,"solar eclipse of May 21, 2031",solar eclipse,Q3887
Q4026724,"solar eclipse of June 21, 2039",solar eclipse,Q3887
Q4026124,"solar eclipse of July 11, 2029",solar eclipse,Q3887
Q4026694,"solar eclipse of May 22, 2096",solar eclipse,Q3887
Q4026612,"solar eclipse of September 12, 2072",solar eclipse,Q3887
Q4026611,"solar eclipse of December 5, 2029",solar eclipse,Q3887
Q4026030,"solar eclipse of June 2, 2095",solar eclipse,Q3887
Q4026576,"solar eclipse of October 4, 2089",solar eclipse,Q3887
Q4026549,"solar eclipse of March 30, 2052",solar eclipse,Q3887
Q4026552,"solar eclipse of July 23, 2093",solar eclipse,Q3887
Q3577552,"solar eclipse of February 27, 2082",solar eclipse,Q3887
Q3577550,"solar eclipse of December 26, 2038",solar eclipse,Q3887
Q1146490,"solar eclipse of January 26, 1990",solar eclipse,Q3887
Q1146422,"solar eclipse of September 2, 1997",solar eclipse,Q3887
Q7556297,"solar eclipse of December 4, 1983",solar eclipse,Q3887
Q7556282,"solar eclipse of December 24, 1927",solar eclipse,Q3887
Q7556276,"solar eclipse of December 22, 1889",solar eclipse,Q3887
Q7556273,"solar eclipse of December 2, 1937",solar eclipse,Q3887
Q7556271,"solar eclipse of December 15, 1982",solar eclipse,Q3887
Q7556261,"solar eclipse of December 12, 1909",solar eclipse,Q3887
Q7556229,"solar eclipse of August 20, 1906",solar eclipse,Q3887
Q7556201,"solar eclipse of August 10, 1915",solar eclipse,Q3887
Q7556205,"solar eclipse of April 9, 1986",solar eclipse,Q3887
Q7556255,"solar eclipse of December 12, 1871",solar eclipse,Q3887
Q7556253,"solar eclipse of August 31, 1970",solar eclipse,Q3887
Q7556243,"solar eclipse of August 30, 1924",solar eclipse,Q3887
Q7556537,"solar eclipse of May 28, 1900",solar eclipse,Q3887
Q7556171,"solar eclipse of April 19, 1958",solar eclipse,Q3887
Q7556169,"solar eclipse of April 19, 1939",solar eclipse,Q3887
Q7556196,"solar eclipse of April 8, 1959",solar eclipse,Q3887
Q7556187,"solar eclipse of April 7, 1978",solar eclipse,Q3887
Q7556191,"solar eclipse of April 7, 1940",solar eclipse,Q3887
Q7556185,"solar eclipse of April 30, 1957",solar eclipse,Q3887
Q7556175,"solar eclipse of April 28, 1930",solar eclipse,Q3887
Q7556411,"solar eclipse of July 9, 1926",solar eclipse,Q3887
Q7556384,"solar eclipse of July 19, 1917",solar eclipse,Q3887
Q7556373,"Solar eclipse of January 5, 1954",solar eclipse,Q3887
Q7556368,"solar eclipse of January 3, 1946",solar eclipse,Q3887
Q7556362,"solar eclipse of January 25, 1982",solar eclipse,Q3887
Q7556470,"solar eclipse of March 17, 1904",solar eclipse,Q3887
Q7556437,"solar eclipse of June 20, 1974",solar eclipse,Q3887
Q7556432,"solar eclipse of June 19, 1917",solar eclipse,Q3887
Q7556430,"solar eclipse of June 17, 1928",solar eclipse,Q3887
Q7556428,"solar eclipse of June 17, 1909",solar eclipse,Q3887
Q7556427,"solar eclipse of June 16, 1806",solar eclipse,Q3887
Q7556535,"solar eclipse of May 20, 1966",solar eclipse,Q3887
Q7556519,"solar eclipse of May 19, 1928",solar eclipse,Q3887
Q7556517,"solar eclipse of May 18, 1920",solar eclipse,Q3887
Q7556512,"solar eclipse of May 11, 1975",solar eclipse,Q3887
Q7556503,"solar eclipse of March 7, 1951",solar eclipse,Q3887
Q7556492,"solar eclipse of March 29, 1987",solar eclipse,Q3887
Q7556489,"solar eclipse of March 29, 1903",solar eclipse,Q3887
Q10858162,"solar eclipse of December 14, 1955",solar eclipse,Q3887
Q10858195,"solar eclipse of August 20, 1971",solar eclipse,Q3887
Q7556652,"solar eclipse of September 12, 1950",solar eclipse,Q3887
Q7556647,"solar eclipse of September 11, 1969",solar eclipse,Q3887
Q7556353,"solar eclipse of January 23, 1917",solar eclipse,Q3887
Q7556347,"solar eclipse of January 14, 1964",solar eclipse,Q3887
Q10858273,"solar eclipse of May 9, 1948",solar eclipse,Q3887
Q10858235,"solar eclipse of March 28, 1968",solar eclipse,Q3887
Q10858221,"solar eclipse of February 25, 1971",solar eclipse,Q3887
Q618677,"solar eclipse of April 6, 1913",solar eclipse,Q3887
Q4026405,"solar eclipse of October 14, 2042",solar eclipse,Q3887
Q4026398,"solar eclipse of June 11, 2086",solar eclipse,Q3887
Q4026348,"solar eclipse of January 16, 2075",solar eclipse,Q3887
Q4026338,"solar eclipse of August 3, 2073",solar eclipse,Q3887
Q7556567,"solar eclipse of November 12, 1985",solar eclipse,Q3887
Q7556554,"solar eclipse of November 1, 1948",solar eclipse,Q3887
Q7556547,"solar eclipse of May 7, 1902",solar eclipse,Q3887
Q7556622,"solar eclipse of October 23, 1976",solar eclipse,Q3887
Q7556618,"solar eclipse of October 22, 1911",solar eclipse,Q3887
Q7556616,"solar eclipse of October 21, 1949",solar eclipse,Q3887
Q7556604,"solar eclipse of October 12, 1958",solar eclipse,Q3887
Q7556602,"solar eclipse of October 12, 1939",solar eclipse,Q3887
Q7556596,"solar eclipse of October 1, 1921",solar eclipse,Q3887
