qid,label,class_label,class_qid
Q43653,Apollo 11,space mission,Q2133344
Q182252,Apollo 13,space mission,Q2133344
Q184201,Apollo 8,space mission,Q2133344
Q180971,Apollo 17,space mission,Q2133344
Q182524,Vostok 1,space mission,Q2133344
Q188433,Apollo 12,space mission,Q2133344
Q178871,Apollo 14,space mission,Q2133344
Q194082,Apollo 1,space mission,Q2133344
Q194068,Apollo 15,space mission,Q2133344
Q191746,Apollo 10,space mission,Q2133344
Q188486,Apollo 7,space mission,Q2133344
Q188168,Apollo 16,space mission,Q2133344
Q3389152,Artemis I,space mission,Q2133344
Q604428,OSIRIS-REx,space mission,Q2133344
Q672135,ExoMars,space mission,Q2133344
Q203651,Apollo 9,space mission,Q2133344
Q236071,Apollo 4,space mission,Q2133344
Q242528,Apollo 5,space mission,Q2133344
Q2113134,Hayabusa2,space mission,Q2133344
Q269668,Vostok 6,space mission,Q2133344
Q47246047,Crew Dragon Demo-2,space mission,Q2133344
Q222871,Apollo 6,space mission,Q2133344
Q220827,Mars Exploration Rover,space mission,Q2133344
Q211254,Soyuz 1,space mission,Q2133344
Q16947045,Artemis II,space mission,Q2133344
Q10944018,Chang'e 5,space mission,Q2133344
Q719652,Mariner 3,space mission,Q2133344
Q648581,Soyuz 11,space mission,Q2133344
Q275444,Hayabusa,space mission,Q2133344
Q221678,Vostok 2,space mission,Q2133344
Q205747,Stardust,space mission,Q2133344
Q328927,STS-133,space mission,Q2133344
Q309080,STS-135,space mission,Q2133344
Q378417,Shenzhou 5,space mission,Q2133344
Q460468,STS-132,space mission,Q2133344
Q178836,STS-107,space mission,Q2133344
Q155937,STS-122,space mission,Q2133344
Q617651,Gemini 8,space mission,Q2133344
Q318646,Shenzhou 7,space mission,Q2133344
Q478803,STS-134,space mission,Q2133344
Q217550,STS-124,space mission,Q2133344
Q217546,STS-125,space mission,Q2133344
Q651789,STS-131,space mission,Q2133344
Q312030,STS-116,space mission,Q2133344
Q217575,STS-114,space mission,Q2133344
Q217543,STS-1,space mission,Q2133344
Q217531,STS-115,space mission,Q2133344
Q747769,Gemini 4,space mission,Q2133344
Q731277,STS-120,space mission,Q2133344
