qid,label,class_label,class_qid
Q51644982,Aurora Space Station,space station,Q25956
Q25271,International Space Station,space station,Q25956
Q48604,Mir,space station,Q25956
Q190776,Skylab,space station,Q25956
Q131500,Tiangong-1,space station,Q25956
Q5100935,Tiangong space station,space station,Q25956
Q211761,Salyut 1,space station,Q25956
Q29098442,Lunar Gateway,space station,Q25956
Q3122598,Tiangong-2,space station,Q25956
Q841586,Salyut 4,space station,Q25956
Q613601,Salyut 6,space station,Q25956
Q904503,Salyut 7,space station,Q25956
Q842637,Salyut 3,space station,Q25956
Q838179,Salyut 2,space station,Q25956
Q948200,Manned Orbiting Laboratory,space station,Q25956
Q1420942,Kosmos 557,space station,Q25956
Q2302710,Mir-2,space station,Q25956
Q1043322,Salyut 5,space station,Q25956
Q115802913,Bharatiya Antariksha Station,space station,Q25956
Q518745,DOS-2,space station,Q25956
Q19909093,Russian Orbital Service Station,space station,Q25956
Q2559297,Tiangong-3,space station,Q25956
Q120069071,Haven-1,space station,Q25956
Q109250322,Orbital Reef,space station,Q25956
Q2088838,Bigelow Commercial Space Station,space station,Q25956
Q105761107,Voyager Station,space station,Q25956
Q109283872,Starlab,space station,Q25956
Q97162051,Axiom Space Station,space station,Q25956
Q22084822,OPS-4,space station,Q25956
