qid,label,class_label,class_qid
Q129091,Phoenix,spacecraft,Q40218
Q182524,Vostok 1,spacecraft,Q40218
Q1660590,InSight,spacecraft,Q40218
Q1041962,Philae,spacecraft,Q40218
Q49901,Explorer 1,spacecraft,Q40218
Q201771,Mars Pathfinder,spacecraft,Q40218
Q207164,2001 Mars Odyssey,spacecraft,Q40218
Q152800,Venera 7,spacecraft,Q40218
Q723045,Chang'e 4,spacecraft,Q40218
Q718908,Mars 3,spacecraft,Q40218
Q269668,Vostok 6,spacecraft,Q40218
Q10944018,Chang'e 5,spacecraft,Q40218
Q1159895,Luna 10,spacecraft,Q40218
Q728292,Venera 9,spacecraft,Q40218
Q858293,Luna 16,spacecraft,Q40218
Q247305,Mars 2,spacecraft,Q40218
Q221678,Vostok 2,spacecraft,Q40218
Q210020,Fobos-Grunt,spacecraft,Q40218
Q714789,Huygens,spacecraft,Q40218
Q575922,Mars Polar Lander,spacecraft,Q40218
Q657771,Luna 24,spacecraft,Q40218
Q669895,Lunokhod programme,spacecraft,Q40218
Q378417,Shenzhou 5,spacecraft,Q40218
Q684044,Luna 21,spacecraft,Q40218
Q318646,Shenzhou 7,spacecraft,Q40218
Q761733,Luna 20,spacecraft,Q40218
Q747769,Gemini 4,spacecraft,Q40218
Q722791,Voskhod 2,spacecraft,Q40218
Q371939,Luna 17,spacecraft,Q40218
Q623903,Mercury-Redstone 3,spacecraft,Q40218
Q257797,Vostok 5,spacecraft,Q40218
Q213498,SMART-1,spacecraft,Q40218
Q331310,Shenzhou 6,spacecraft,Q40218
Q831345,Chang'e 2,spacecraft,Q40218
Q725849,Gemini 5,spacecraft,Q40218
Q581712,Shenzhou 9,spacecraft,Q40218
Q559463,Beagle 2,spacecraft,Q40218
Q3122598,Tiangong-2,spacecraft,Q40218
Q920298,Luna 15,spacecraft,Q40218
Q836463,Venera 10,spacecraft,Q40218
Q682628,Gemini 3,spacecraft,Q40218
Q498533,Mercury-Atlas 6,spacecraft,Q40218
Q1850788,Shenzhou 10,spacecraft,Q40218
Q935627,Luna 13,spacecraft,Q40218
Q751873,Venera 11,spacecraft,Q40218
Q38935,SpaceShipOne,spacecraft,Q40218
Q18346001,Chang'e 6,spacecraft,Q40218
Q750101,Voskhod 1,spacecraft,Q40218
Q748333,Luna 14,spacecraft,Q40218
Q568419,Vostok 4,spacecraft,Q40218
Q17005165,Black Knight satellite conspiracy theory,spacecraft,Q40218
Q643872,Gemini 1,spacecraft,Q40218
Q637048,Vostok 3,spacecraft,Q40218
Q119807,Gemini 7,spacecraft,Q40218
Q519533,Gemini 9A,spacecraft,Q40218
Q291210,Luna 12,spacecraft,Q40218
Q259770,Gemini 12,spacecraft,Q40218
Q378306,Gemini 6A,spacecraft,Q40218
Q590956,Luna 11,spacecraft,Q40218
Q590245,Lunar Prospector,spacecraft,Q40218
Q25708277,Soyuz MS-10,spacecraft,Q40218
Q498406,Mercury-Redstone 4,spacecraft,Q40218
Q372064,Venera 13,spacecraft,Q40218
Q950112,Luna 19,spacecraft,Q40218
Q54284,ROSAT,spacecraft,Q40218
Q668942,Luna 18,spacecraft,Q40218
Q498680,Mercury-Atlas 7,spacecraft,Q40218
Q1065662,Mars 5,spacecraft,Q40218
Q580809,Gaganyaan,spacecraft,Q40218
Q575934,Deep Space 2,spacecraft,Q40218
Q498722,Mercury-Atlas 9,spacecraft,Q40218
Q498689,Mercury-Atlas 8,spacecraft,Q40218
Q257932,Kliper,spacecraft,Q40218
Q950874,Luna 22,spacecraft,Q40218
Q891991,Venera 14,spacecraft,Q40218
Q950990,Luna 23,spacecraft,Q40218
Q21395453,Soyuz MS-08,spacecraft,Q40218
Q18341436,Soyuz MS-03,spacecraft,Q40218
Q15971488,Soyuz MS-01,spacecraft,Q40218
Q372945,Zond 5,spacecraft,Q40218
Q20667807,Soyuz MS-05,spacecraft,Q40218
Q48816787,Soyuz MS-15,spacecraft,Q40218
Q21392568,Soyuz MS-07,spacecraft,Q40218
Q20980629,Soyuz MS-06,spacecraft,Q40218
Q3061991,Schiaparelli EDM lander,spacecraft,Q40218
Q18341312,Soyuz MS-02,spacecraft,Q40218
Q55633640,Soyuz MS-16,spacecraft,Q40218
Q798525,Venera 16,spacecraft,Q40218
Q28666241,Soyuz MS-13,spacecraft,Q40218
Q28666067,Soyuz MS-11,spacecraft,Q40218
Q23937039,Soyuz MS-09,spacecraft,Q40218
Q18401197,Soyuz MS-04,spacecraft,Q40218
Q1422375,Mikoyan-Gurevich MiG-105,spacecraft,Q40218
Q586893,Yohkoh Gamma and X-ray solar satellite,spacecraft,Q40218
Q29017947,Soyuz MS-12,spacecraft,Q40218
Q86675323,Soyuz MS-19,spacecraft,Q40218
Q69637833,Soyuz MS-18,spacecraft,Q40218
Q60740704,Soyuz MS-17,spacecraft,Q40218
Q48816790,Soyuz MS-14,spacecraft,Q40218
Q265766,Zond 6,spacecraft,Q40218
Q366944,Zond 8,spacecraft,Q40218
Q1042955,Zond 7,spacecraft,Q40218
Q554526,Kosmos 305,spacecraft,Q40218
Q1903309,Martin X-23 PRIME,spacecraft,Q40218
Q636557,Ariel 1,spacecraft,Q40218
Q580382,Kosmos 110,spacecraft,Q40218
Q686006,Kosmos 146,spacecraft,Q40218
Q668831,Zond 4,spacecraft,Q40218
Q2655313,Russian Orbital Segment,spacecraft,Q40218
Q1785038,Kosmos 1686,spacecraft,Q40218
Q659360,Ariel 5,spacecraft,Q40218
Q286967,Kosmos 1267,spacecraft,Q40218
Q367581,McDonnell Douglas DC-X,spacecraft,Q40218
Q22077422,Belintersat-1,spacecraft,Q40218
Q21775017,Dark Matter Particle Explorer,spacecraft,Q40218
Q1182618,Defense Meteorological Satellite Program,spacecraft,Q40218
Q2420378,Explorer 5,spacecraft,Q40218
Q324946,Kosmos 154,spacecraft,Q40218
Q1139841,CSTS,spacecraft,Q40218
Q103093905,Chang'e 7,spacecraft,Q40218
Q91439827,Noor,spacecraft,Q40218
Q259160,Kosmos 47,spacecraft,Q40218
Q2574972,VentureStar,spacecraft,Q40218
Q120292,Cosmos 57,spacecraft,Q40218
Q929555,EROS,spacecraft,Q40218
Q97304249,Axiom Orbital Segment,spacecraft,Q40218
Q51676748,Azerspace-2,spacecraft,Q40218
Q762088,Picard,spacecraft,Q40218
Q4254263,Laplace-P,spacecraft,Q40218
Q49897,Explorer 9,spacecraft,Q40218
Q22948769,Khalifa Sat,spacecraft,Q40218
Q3044952,propellant depot,spacecraft,Q40218
Q17297602,Low-Density Supersonic Decelerator,spacecraft,Q40218
Q1046007,CARTOSAT-2,spacecraft,Q40218
Q795127,Ariel 2,spacecraft,Q40218
Q791629,Beagle 3,spacecraft,Q40218
Q54370,P78-1,spacecraft,Q40218
Q23687,Badr-1,spacecraft,Q40218
Q23581629,Lunar Polar Hydrogen Mapper,spacecraft,Q40218
Q18464358,INSAT-3DR,spacecraft,Q40218
Q17502490,Sentinel-5 Precursor,spacecraft,Q40218
Q2025902,US Orbital Segment,spacecraft,Q40218
Q18937141,Fajr,spacecraft,Q40218
Q795123,Ariel 4,spacecraft,Q40218
Q5630027,HL-20 Personnel Launch System,spacecraft,Q40218
Q98923448,Reusable Experimental Spacecraft,spacecraft,Q40218
Q15009,All-Terrain Hex-Legged Extra-Terrestrial Explorer (ATHLETE),spacecraft,Q40218
Q3488773,Soyuz 7K-L1 No.4L,spacecraft,Q40218
Q15461711,Aist 1,spacecraft,Q40218
Q507511,Ariel 6,spacecraft,Q40218
Q3038762,Dragon Spacecraft Qualification Unit,spacecraft,Q40218
Q1501359,GeneSat-1,spacecraft,Q40218
Q7572051,Soyuz 7K-L1 No.5L,spacecraft,Q40218
Q969345,Crew Exploration Vehicle,spacecraft,Q40218
Q6011830,Meteoroid Technology Satellite,spacecraft,Q40218
Q4120417,Saudi-OSCAR 50,spacecraft,Q40218
Q22084824,ClearSpace-1,spacecraft,Q40218
Q53639,Kosmos 909,spacecraft,Q40218
Q53629,Kosmos 803,spacecraft,Q40218
Q3736075,Radio Astronomy Explorer A,spacecraft,Q40218
Q15614929,LitSat-1,spacecraft,Q40218
Q14753790,Eutelsat 25B/Es'hail 1,spacecraft,Q40218
Q2944742,ESRO-2B,spacecraft,Q40218
Q1759904,Soyuz 2A,spacecraft,Q40218
Q1491309,Young Engineers' Satellite 2,spacecraft,Q40218
Q207740,Eutelsat 21B,spacecraft,Q40218
Q19878355,Jupiter Atmospheric Probe,spacecraft,Q40218
Q18476556,Eutelsat 8 West B,spacecraft,Q40218
Q57385960,LiteBIRD,spacecraft,Q40218
Q27156820,Nahid,spacecraft,Q40218
Q5310494,DubaiSat-2,spacecraft,Q40218
Q123702029,Urdaneta-Armsat,spacecraft,Q40218
Q97338093,ANASIS-II,spacecraft,Q40218
Q24820155,Cartosat-2C,spacecraft,Q40218
Q4075513,Baikal-Angara,spacecraft,Q40218
Q4049635,Space Exploration Vehicle,spacecraft,Q40218
Q12753197,Kosmos 1275,spacecraft,Q40218
Q11269500,MABES,spacecraft,Q40218
Q3045815,Genesis II,spacecraft,Q40218
Q2530055,Mars Surveyor 2001 Lander,spacecraft,Q40218
Q6404190,KickSat,spacecraft,Q40218
Q20022790,Diwata-1,spacecraft,Q40218
Q19467731,Eutelsat 115 West B,spacecraft,Q40218
Q42341443,Alcomsat-1,spacecraft,Q40218
Q39049837,Automaton Rover for Extreme Environments,spacecraft,Q40218
Q5966574,Nano-JASMINE,spacecraft,Q40218
Q124327573,Soraya,spacecraft,Q40218
Q113486859,TUMnanoSAT,spacecraft,Q40218
Q25419220,BSAT-4a,spacecraft,Q40218
Q24897282,Hodoyoshi 1,spacecraft,Q40218
Q3500122,Explorer 60,spacecraft,Q40218
Q3407216,Project Morpheus,spacecraft,Q40218
Q15261054,PicoDragon,spacecraft,Q40218
Q14559263,INSAT-4B,spacecraft,Q40218
Q12403227,ULTRASAT,spacecraft,Q40218
Q2940663,Cartosat-3,spacecraft,Q40218
Q18464365,INSAT-3DS,spacecraft,Q40218
Q13399314,Solrad 2,spacecraft,Q40218
Q1388688,Niwaka,spacecraft,Q40218
Q17285851,KazEOSat 2,spacecraft,Q40218
Q17285879,Hodoyoshi 4,spacecraft,Q40218
Q17285875,Hodoyoshi 3,spacecraft,Q40218
Q17231034,Micro-Nano Experimental Robot Vehicle for Asteroid,spacecraft,Q40218
Q7160563,Pegasus 2,spacecraft,Q40218
Q7160562,Pegasus 1,spacecraft,Q40218
Q7073038,Orbiting Solar Observatory 7,spacecraft,Q40218
Q7073037,OSO 3,spacecraft,Q40218
Q6717118,MOS-1,spacecraft,Q40218
Q6018081,Miranda,spacecraft,Q40218
Q10304607,JAWSAT,spacecraft,Q40218
Q601748,Eutelsat 70B,spacecraft,Q40218
Q48733702,Cartosat-2F,spacecraft,Q40218
Q47010762,Gemini SC-2,spacecraft,Q40218
Q46540136,High Energy Transient Explorer 2 HETE 2,spacecraft,Q40218
Q43066321,Venus In Situ Atmospheric and Geochemical Explorer,spacecraft,Q40218
Q42843607,Mohammed VI,spacecraft,Q40218
Q4235020,Space Flight Europe-America 500,spacecraft,Q40218
Q119780763,Idefix,spacecraft,Q40218
Q124080346,PSLV-C58,spacecraft,Q40218
Q23697,Badr-II,spacecraft,Q40218
Q105992125,Challenge One,spacecraft,Q40218
Q105296954,Advanced Space-based Solar Observatory,spacecraft,Q40218
Q86743372,Global Observing SATellite for Greenhous gases and Water cycle,spacecraft,Q40218
Q21034494,Sky Muster,spacecraft,Q40218
Q25110455,UPSat,spacecraft,Q40218
Q4052665,VesselSat-2,spacecraft,Q40218
Q3401398,Pratham,spacecraft,Q40218
Q15261051,FUNcube-1,spacecraft,Q40218
Q12154868,Zond L1S-1,spacecraft,Q40218
Q3055617,Sloshsat-FLEVO,spacecraft,Q40218
Q3052242,Prometheus,spacecraft,Q40218
Q2754398,PCsat,spacecraft,Q40218
Q18467520,DirecTV-14,spacecraft,Q40218
Q16063525,GEOS-3,spacecraft,Q40218
Q1373585,Sphinx,spacecraft,Q40218
Q17512643,BugSat 1,spacecraft,Q40218
Q17285885,TabletSat-Aurora,spacecraft,Q40218
Q17285881,SaudiSat-4,spacecraft,Q40218
Q17092544,PRISMA,spacecraft,Q40218
Q7160560,Pegasus 3,spacecraft,Q40218
Q6096861,Radsat,spacecraft,Q40218
Q18486434,TDRS-13,spacecraft,Q40218
Q18483440,SES-12,spacecraft,Q40218
Q18485910,Astra 2G,spacecraft,Q40218
Q60853776,RAPIS-1,spacecraft,Q40218
Q57056876,RaInCube,spacecraft,Q40218
Q55150831,Solrad 10,spacecraft,Q40218
Q53761314,Orbital Reflector,spacecraft,Q40218
Q46400832,Solrad 9,spacecraft,Q40218
Q33327095,EduSat-1,spacecraft,Q40218
Q31841443,Max Valier Sat,spacecraft,Q40218
Q29578338,Al Farabi-1,spacecraft,Q40218
Q28134146,Horizons 3e,spacecraft,Q40218
Q27074108,Pathfinder-1,spacecraft,Q40218
