qid,label,class_label,class_qid
Q2736,association football,sport,Q349
Q718,chess,sport,Q349
Q32112,boxing,sport,Q349
Q5378,rugby,sport,Q349
Q41466,ice hockey,sport,Q349
Q41323,American football,sport,Q349
Q1455,field hockey,sport,Q349
Q1293,checkers,sport,Q349
Q5849,rugby union,sport,Q349
Q131359,professional wrestling,sport,Q349
Q188966,contract bridge,sport,Q349
Q183018,bandy,sport,Q349
Q319771,cockfight,sport,Q349
Q204632,Gaelic football,sport,Q349
Q14922,table football,sport,Q349
Q192832,paintball,sport,Q349
Q210778,beach soccer,sport,Q349
Q201252,pankration,sport,Q349
Q200333,hapkido,sport,Q349
Q490499,chess boxing,sport,Q349
Q745218,buzkashi,sport,Q349
Q1066914,dog fighting,sport,Q349
Q809831,BASE jumping,sport,Q349
Q1254757,Gilli-danda,sport,Q349
Q1064959,Beer pong,sport,Q349
Q448936,Elfstedentocht,sport,Q349
Q692853,flag football,sport,Q349
Q287988,street racing,sport,Q349
Q208147,hang gliding,sport,Q349
Q1457993,alpine skiing combined,sport,Q349
Q8099087,cycle ball,sport,Q349
Q133333,foxhunting,sport,Q349
Q974015,indoor hockey,sport,Q349
Q1050059,skimboarding,sport,Q349
Q2296569,Sinjska alka,sport,Q349
Q998303,Laser tag,sport,Q349
Q659707,tchoukball,sport,Q349
Q333070,private pilot licence,sport,Q349
Q13412009,ancient pentathlon,sport,Q349
Q1145338,adventure racing,sport,Q349
Q1722922,Camel wrestling,sport,Q349
Q403063,1910 London to Manchester air race,sport,Q349
Q917579,Flyball,sport,Q349
Q612303,beach rugby,sport,Q349
Q4748578,amputee football,sport,Q349
Q2119536,Showdown,sport,Q349
Q995971,bridge,sport,Q349
Q977576,tractor pulling,sport,Q349
Q1741679,Kin-Ball,sport,Q349
Q244103,dwarf tossing,sport,Q349
Q2989166,seven stones,sport,Q349
Q599119,musical canine freestyle,sport,Q349
Q2328286,skeet shooting,sport,Q349
Q1065017,cycling at the Summer Paralympics,sport,Q349
Q1320458,ice sailing,sport,Q349
Q323429,goose pulling,sport,Q349
Q3565742,episkyros,sport,Q349
Q1517295,speed flying,sport,Q349
Q1472649,fox tossing,sport,Q349
Q669810,Hornussen,sport,Q349
Q972513,Picigin,sport,Q349
Q495978,benchrest shooting,sport,Q349
Q421790,ice sledge racing,sport,Q349
Q3497451,Inter-Allied Games,sport,Q349
Q3361824,Lure coursing,sport,Q349
Q934756,Matkot,sport,Q349
Q812983,Bull-baiting,sport,Q349
Q1978323,tubing,sport,Q349
Q696267,bull riding,sport,Q349
Q2554997,masters swimming,sport,Q349
Q989473,International draughts,sport,Q349
Q584111,Disc dog,sport,Q349
Q3404382,Coasteering,sport,Q349
Q1439993,four square,sport,Q349
Q28134267,Ram fighting,sport,Q349
Q65246847,wing surfing,sport,Q349
Q1374629,Sheepdog trial,sport,Q349
Q478659,power hockey,sport,Q349
Q3109485,Mobile phone throwing,sport,Q349
Q15604495,Fingerhakeln,sport,Q349
Q2021379,wakesurfing,sport,Q349
Q7548423,Snow rugby,sport,Q349
Q713210,tee-ball,sport,Q349
Q1052735,Dakyu,sport,Q349
Q1428502,polocrosse,sport,Q349
Q39446,Obedience trial,sport,Q349
Q515302,Coursing,sport,Q349
Q1592284,Headis,sport,Q349
Q3452878,rugby league nines,sport,Q349
Q303909,Pole-sitting,sport,Q349
Q1544307,Great Manchester Run,sport,Q349
Q130681412,volleyball at the 2025 Summer World University Games,sport,Q349
Q60982206,paraclimbing,sport,Q349
Q12655902,fast draw,sport,Q349
Q12115698,bullseye shooting,sport,Q349
Q6037238,insect fighting,sport,Q349
Q687542,High Speed Telegraphy,sport,Q349
Q621694,Fetch,sport,Q349
Q1144778,Transat Café L'Or,sport,Q349
Q4853839,Banana Pancake Trail,sport,Q349
Q22906964,bull wrestling,sport,Q349
Q4184672,cock throwing,sport,Q349
Q1544361,Great South Run,sport,Q349
Q113144108,Frescobol,sport,Q349
Q6328844,KF2,sport,Q349
Q2563690,Sinuca brasileira,sport,Q349
Q2111991,professional football,sport,Q349
Q728340,Knattleikr,sport,Q349
Q1184629,Rugby tens,sport,Q349
Q1148550,sandskiing,sport,Q349
Q2497700,aizkolaritza,sport,Q349
Q2419193,Monaco Grand Prix Formula Three support race,sport,Q349
Q5347380,neurobiological effects of physical exercise,sport,Q349
Q5354472,stickball,sport,Q349
Q19729966,Pacu Jalur,sport,Q349
Q4283698,Mas-wrestling,sport,Q349
Q4205333,Eton wall game,sport,Q349
Q3929748,rally obedience,sport,Q349
Q3844480,rink bandy,sport,Q349
Q1889395,Trailwalker,sport,Q349
Q1819062,bodyflight,sport,Q349
Q1786279,Patagonian Expedition Race,sport,Q349
Q1711289,youth association football,sport,Q349
Q320698,Schleuderball,sport,Q349
Q6135299,Paleta Frontón,sport,Q349
Q5910245,Hot Potato,sport,Q349
Q2909925,gaga,sport,Q349
Q7979881,Weight pulling,sport,Q349
Q7279019,racerunning,sport,Q349
Q627165,harri-jasotze,sport,Q349
Q607162,wellie wanging,sport,Q349
Q1144943,Barcelona Firefighter's Run,sport,Q349
Q176120,Ricochet,sport,Q349
Q4133069,2013 Rally Liepāja-Ventspils,sport,Q349
Q3945837,Thomas salto,sport,Q349
Q1922335,flowriding,sport,Q349
Q1781445,Basse,sport,Q349
Q370948,2008 Phillip Island Superbike World Championship round,sport,Q349
Q3358220,Kite skiing,sport,Q349
Q1542474,skee ball,sport,Q349
Q1534371,Prinz-Heinrich-Fahrt,sport,Q349
Q137835359,Naruto run,sport,Q349
Q12734616,Lusus Troiae,sport,Q349
Q6269766,Jokgu,sport,Q349
Q2922384,bourle,sport,Q349
Q15116804,throwball,sport,Q349
Q786532,Junior Showmanship,sport,Q349
Q2117814,Ecua-volley,sport,Q349
Q7434721,Sepak raga,sport,Q349
Q7260739,Puppy Bowl,sport,Q349
Q7076154,ocean rowing,sport,Q349
Q2388557,Roliball,sport,Q349
Q5065608,cestoball,sport,Q349
Q4854656,Bando,sport,Q349
Q4837095,Ba game,sport,Q349
Q1025718,cageball,sport,Q349
Q1257158,2007 Three Days of De Panne,sport,Q349
Q8078911,Ö till ö,sport,Q349
Q3859622,intergender wrestling,sport,Q349
Q495835,scoutball,sport,Q349
Q1872050,2012 World Single Distance Speed Skating Championships – men's team pursuit,sport,Q349
Q1797273,pumpkin chunking,sport,Q349
Q3373022,Hunting the Clean Boot,sport,Q349
Q3310686,Winchester College football,sport,Q349
