qid,label,class_label,class_qid
Q155223,National Basketball Association,sports league,Q623109
Q9448,Premier League,sports league,Q623109
Q324867,La Liga,sports league,Q623109
Q15804,Q15804,sports league,Q623109
Q35339,WWE,sports league,Q623109
Q13394,Ligue 1,sports league,Q623109
Q1215892,Q1215892,sports league,Q623109
Q1215884,National Football League,sports league,Q623109
Q182165,Russian Premier League,sports league,Q623109
Q167541,Eredivisie,sports league,Q623109
Q18543,Major League Soccer,sports league,Q623109
Q1163715,Major League Baseball,sports league,Q623109
Q19510,EFL Championship,sports league,Q623109
Q182994,Liga Portugal,sports league,Q623109
Q485568,Süper Lig,sports league,Q623109
Q194052,Serie B,sports league,Q623109
Q44763,Ekstraklasa,sports league,Q623109
Q185982,EuroLeague,sports league,Q623109
Q216022,Belgian Pro League,sports league,Q623109
Q35615,LaLiga 2,sports league,Q623109
Q275665,A Lyga,sports league,Q623109
Q326859,Azerbaijan Premier League,sports league,Q623109
Q206073,Premier League,sports league,Q623109
Q219592,Bundesliga,sports league,Q623109
Q19565,EFL League One,sports league,Q623109
Q206813,Campeonato Brasileiro Série A,sports league,Q623109
Q223170,Argentine Primera División,sports league,Q623109
Q202699,Swiss Super League,sports league,Q623109
Q202243,Allsvenskan,sports league,Q623109
Q190001,Kontinental Hockey League,sports league,Q623109
Q271271,Montenegrin First League,sports league,Q623109
Q106548888,European Super League,sports league,Q623109
Q235114,Super League Greece,sports league,Q623109
Q276445,J1 League,sports league,Q623109
Q255633,Saudi Pro League,sports league,Q623109
Q14377162,Scottish Premiership,sports league,Q623109
Q2593221,Women's National Basketball Association,sports league,Q623109
Q209318,Chinese Super League,sports league,Q623109
Q217016,Czech First League,sports league,Q623109
Q237181,Armenian Premier League,sports league,Q623109
Q235307,Serbian SuperLiga,sports league,Q623109
Q48837,EFL League Two,sports league,Q623109
Q244464,Belarusian Premier League,sports league,Q623109
Q194641,Persian Gulf Pro League,sports league,Q623109
Q384531,Moldovan National Division,sports league,Q623109
Q218555,Cymru Premier,sports league,Q623109
Q217374,Ligue 2,sports league,Q623109
Q210836,Besta deild karla,sports league,Q623109
Q275005,Slovenian PrvaLiga,sports league,Q623109
Q764690,Liga MX,sports league,Q623109
Q16056350,Indian Super League,sports league,Q623109
Q12837728,First Professional Football League,sports league,Q623109
Q220875,Veikkausliiga,sports league,Q623109
Q318480,Maltese Premier League,sports league,Q623109
Q257282,Primera Divisió,sports league,Q623109
Q131728,Total Nonstop Action Wrestling,sports league,Q623109
Q739479,Faroe Islands Premier League,sports league,Q623109
Q239738,Meistriliiga,sports league,Q623109
Q238113,Slovak First Football League,sports league,Q623109
Q237753,Liga I,sports league,Q623109
