qid,label,class_label,class_qid
Q7156,Futbol Club Barcelona,sports team,Q12973014
Q127635,Q127635,sports team,Q12973014
Q10333,Valencia CF,sports team,Q12973014
Q131499,S.L. Benfica,sports team,Q12973014
Q104761,Bayer 04 Leverkusen,sports team,Q12973014
Q121783,Los Angeles Lakers,sports team,Q12973014
Q10329,Sevilla FC,sports team,Q12973014
Q19500,Wolverhampton Wanderers F.C.,sports team,Q12973014
Q12297,Villarreal CF,sports team,Q12973014
Q128109,Chicago Bulls,sports team,Q12973014
Q132880,Toronto Raptors,sports team,Q12973014
Q131371,Boston Celtics,sports team,Q12973014
Q8723,Real Betis Balompié,sports team,Q12973014
Q499616,Club Nacional de Football,sports team,Q12973014
Q159729,San Antonio Spurs,sports team,Q12973014
Q162990,Cleveland Cavaliers,sports team,Q12973014
Q157376,Golden State Warriors,sports team,Q12973014
Q131364,New York Knicks,sports team,Q12973014
Q166105,Sacramento Kings,sports team,Q12973014
Q159893,Atlanta Hawks,sports team,Q12973014
Q19453,Brighton & Hove Albion F.C.,sports team,Q12973014
Q8749,RC Celta de Vigo,sports team,Q12973014
Q164177,Phoenix Suns,sports team,Q12973014
Q162954,Denver Nuggets,sports team,Q12973014
Q572134,Brooklyn Nets,sports team,Q12973014
Q132893,Dallas Mavericks,sports team,Q12973014
Q167253,Portland Trail Blazers,sports team,Q12973014
Q163480,Charlotte Hornets,sports team,Q12973014
Q161337,Orlando Magic,sports team,Q12973014
Q169637,Milwaukee Bucks,sports team,Q12973014
Q169138,Miami Heat,sports team,Q12973014
Q138089,Philadelphia 76ers,sports team,Q12973014
Q8823,Levante UD,sports team,Q12973014
Q165529,Memphis Grizzlies,sports team,Q12973014
Q161345,Houston Rockets,sports team,Q12973014
Q170329,Indiana Pacers,sports team,Q12973014
Q169165,Washington Wizards,sports team,Q12973014
Q10300,Rayo Vallecano,sports team,Q12973014
Q976396,Los Angeles Clippers,sports team,Q12973014
Q190916,Club Brugge K.V.,sports team,Q12973014
Q169661,Detroit Pistons,sports team,Q12973014
Q8806,Getafe CF,sports team,Q12973014
Q170649,Utah Jazz,sports team,Q12973014
Q172339,New Orleans Pelicans,sports team,Q12973014
Q170558,Minnesota Timberwolves,sports team,Q12973014
Q15786,1. FC Nürnberg,sports team,Q12973014
Q11945,Girona FC,sports team,Q12973014
Q10319,Real Valladolid,sports team,Q12973014
Q180950,Oklahoma City Thunder,sports team,Q12973014
Q16844931,Inter Miami CF,sports team,Q12973014
Q213417,New York Yankees,sports team,Q12973014
Q19473,Huddersfield Town A.F.C.,sports team,Q12973014
Q204357,LA Galaxy,sports team,Q12973014
Q208228,Stade de Reims,sports team,Q12973014
Q213959,Boston Red Sox,sports team,Q12973014
Q216923,Chinese Taipei,sports team,Q12973014
Q204220,Red Bull New York,sports team,Q12973014
Q238593,D.C. United,sports team,Q12973014
Q1120838,Como 1907,sports team,Q12973014
Q192890,Vancouver Canucks,sports team,Q12973014
Q856119,CD Leganés,sports team,Q12973014
Q845043,Frosinone Calcio,sports team,Q12973014
Q188143,Montreal Canadiens,sports team,Q12973014
Q54922,Real Madrid Baloncesto,sports team,Q12973014
Q289482,AC Monza,sports team,Q12973014
Q193390,New England Patriots,sports team,Q12973014
Q192083,Philadelphia Flyers,sports team,Q12973014
Q154053,Eintracht Braunschweig,sports team,Q12973014
Q188984,New York Rangers,sports team,Q12973014
Q192751,Anaheim Ducks,sports team,Q12973014
Q11971,Sociedad Deportiva Huesca,sports team,Q12973014
Q223522,Kansas City Chiefs,sports team,Q12973014
Q204627,Washington Capitals,sports team,Q12973014
Q203384,Toronto Maple Leafs,sports team,Q12973014
Q652516,Benevento Calcio,sports team,Q12973014
Q632511,Seattle Sounders FC,sports team,Q12973014
Q194116,Detroit Red Wings,sports team,Q12973014
Q194121,Boston Bruins,sports team,Q12973014
Q193643,Pittsburgh Penguins,sports team,Q12973014
Q847587,U.S. Salernitana 1919,sports team,Q12973014
Q10467,FC Barcelona Atlètic,sports team,Q12973014
Q213837,Green Bay Packers,sports team,Q12973014
Q205973,Edmonton Oilers,sports team,Q12973014
Q273174,Azerbaijan at the Olympics,sports team,Q12973014
Q201864,Tampa Bay Lightning,sports team,Q12973014
Q201857,Carolina Hurricanes,sports team,Q12973014
Q190618,New York Giants,sports team,Q12973014
Q12217,Real Madrid Castilla,sports team,Q12973014
Q18380286,Los Angeles FC,sports team,Q12973014
Q212654,Washington Commanders,sports team,Q12973014
Q221878,Seattle Seahawks,sports team,Q12973014
Q205033,Chicago Bears,sports team,Q12973014
Q206312,Arizona Coyotes,sports team,Q12973014
Q203008,Los Angeles Kings,sports team,Q12973014
Q194126,Calgary Flames,sports team,Q12973014
Q192081,New Jersey Devils,sports team,Q12973014
Q131206,Buffalo Sabres,sports team,Q12973014
Q8476,AS Reggina 1914,sports team,Q12973014
Q219714,Philadelphia Eagles,sports team,Q12973014
Q207507,Columbus Blue Jackets,sports team,Q12973014
Q204862,Dallas Cowboys,sports team,Q12973014
Q206357,Minnesota Wild,sports team,Q12973014
Q206297,Colorado Avalanche,sports team,Q12973014
Q204623,Florida Panthers,sports team,Q12973014
Q203013,Ottawa Senators,sports team,Q12973014
Q272059,Atlanta Falcons,sports team,Q12973014
Q334634,Los Angeles Dodgers,sports team,Q12973014
Q324523,Las Vegas Raiders,sports team,Q12973014
Q194369,New York Islanders,sports team,Q12973014
Q191477,Pittsburgh Steelers,sports team,Q12973014
Q610621,Carpi FC 1909,sports team,Q12973014
Q1031200,Portland Timbers,sports team,Q12973014
Q167615,CF Montréal,sports team,Q12973014
Q751818,Kazakhstan at the Olympics,sports team,Q12973014
Q223507,Denver Broncos,sports team,Q12973014
Q223511,Cincinnati Bengals,sports team,Q12973014
Q221150,Minnesota Vikings,sports team,Q12973014
Q207735,St. Louis Blues,sports team,Q12973014
Q209636,Chicago Blackhawks,sports team,Q12973014
Q206381,San Jose Sharks,sports team,Q12973014
Q272220,Los Angeles Chargers,sports team,Q12973014
Q271880,Detroit Lions,sports team,Q12973014
Q337758,San Francisco 49ers,sports team,Q12973014
Q337377,Los Angeles Rams,sports team,Q12973014
Q328313,Houston Dynamo FC,sports team,Q12973014
Q193753,Indianapolis Colts,sports team,Q12973014
Q235326,Seattle SuperSonics,sports team,Q12973014
Q224164,Arizona Cardinals,sports team,Q12973014
Q223527,Cleveland Browns,sports team,Q12973014
Q207980,Nashville Predators,sports team,Q12973014
Q208652,Dallas Stars,sports team,Q12973014
Q457163,Columbus Crew,sports team,Q12973014
Q276539,Baltimore Ravens,sports team,Q12973014
Q272223,Jacksonville Jaguars,sports team,Q12973014
Q327238,Toronto FC,sports team,Q12973014
Q320484,Tennessee Titans,sports team,Q12973014
Q320476,Tampa Bay Buccaneers,sports team,Q12973014
Q308683,Chicago Fire FC,sports team,Q12973014
Q172435,New Orleans Saints,sports team,Q12973014
Q844734,China at the Olympics,sports team,Q12973014
Q742562,Estonia at the Olympics,sports team,Q12973014
Q752339,Nõmme Kalju FC,sports team,Q12973014
Q239447,Fenerbahçe Men's Basketball,sports team,Q12973014
Q223514,Houston Texans,sports team,Q12973014
Q223243,Miami Dolphins,sports team,Q12973014
Q221626,Buffalo Bills,sports team,Q12973014
Q209961,Chunichi Dragons,sports team,Q12973014
Q330120,Carolina Panthers,sports team,Q12973014
Q173996,Team Lotus,sports team,Q12973014
Q15214308,Orlando City SC,sports team,Q12973014
Q289613,Pisa SC,sports team,Q12973014
Q517439,Unified Team,sports team,Q12973014
Q751686,Kyrgyzstan at the Olympics,sports team,Q12973014
Q246782,Chicago Cubs,sports team,Q12973014
Q727816,Russia at the Olympics,sports team,Q12973014
Q727829,Belarus at the Olympics,sports team,Q12973014
Q721589,Armenia at the Olympics,sports team,Q12973014
Q219602,New York Jets,sports team,Q12973014
Q698702,Admira Wacker,sports team,Q12973014
Q583166,Albania at the Olympics,sports team,Q12973014
Q742661,United States at the Olympics,sports team,Q12973014
Q391353,Real Salt Lake,sports team,Q12973014
Q472741,Winnipeg Jets,sports team,Q12973014
Q650816,Baltimore Orioles,sports team,Q12973014
Q461595,Atlanta Braves,sports team,Q12973014
Q457376,PBC CSKA Moscow,sports team,Q12973014
Q54893,FC Barcelona Bàsquet,sports team,Q12973014
Q16836317,Atlanta United FC,sports team,Q12973014
Q825776,Cyprus at the Olympics,sports team,Q12973014
Q1576072,Germany at the Olympics,sports team,Q12973014
Q689874,Philadelphia Union,sports team,Q12973014
Q740051,Latvia at the Olympics,sports team,Q12973014
Q756918,Uzbekistan at the Olympics,sports team,Q12973014
Q756913,Canada at the Olympics,sports team,Q12973014
Q755194,Tajikistan at the Olympics,sports team,Q12973014
Q749175,India at the Olympics,sports team,Q12973014
Q727511,Japan at the Olympics,sports team,Q12973014
Q692417,New York Mets,sports team,Q12973014
Q650829,Toronto Blue Jays,sports team,Q12973014
Q509427,Afghanistan at the Olympics,sports team,Q12973014
Q174176,Arrows,sports team,Q12973014
Q26966,Mercedes-AMG,sports team,Q12973014
Q18085739,India at the 2016 Summer Olympics,sports team,Q12973014
Q844135,Brazil at the Olympics,sports team,Q12973014
Q832969,Ireland at the Olympics,sports team,Q12973014
Q827766,Georgia at the Olympics,sports team,Q12973014
Q827575,North Korea at the Olympics,sports team,Q12973014
Q742512,France at the Olympics,sports team,Q12973014
Q742270,Andorra at the Olympics,sports team,Q12973014
Q739287,Panathinaikos B.C.,sports team,Q12973014
Q393357,BC Žalgiris,sports team,Q12973014
Q257984,Gimnàstic de Tarragona,sports team,Q12973014
Q335169,Chicago White Sox,sports team,Q12973014
Q308966,San Francisco Giants,sports team,Q12973014
Q833708,Norway at the Olympics,sports team,Q12973014
Q828347,Algeria at the Olympics,sports team,Q12973014
Q827446,Ukraine at the Olympics,sports team,Q12973014
Q743309,Los Angeles Angels,sports team,Q12973014
Q742397,Argentina at the Olympics,sports team,Q12973014
Q751794,Ethiopia at the Olympics,sports team,Q12973014
Q748834,Morocco at the Olympics,sports team,Q12973014
Q244039,Atlanta Thrashers,sports team,Q12973014
Q466586,Seattle Mariners,sports team,Q12973014
Q650840,Philadelphia Phillies,sports team,Q12973014
Q650855,Detroit Tigers,sports team,Q12973014
Q462135,Soviet Union at the Olympics,sports team,Q12973014
Q459794,Piacenza Calcio,sports team,Q12973014
Q437649,Fiji at the Olympics,sports team,Q12973014
Q437098,South Africa at the Olympics,sports team,Q12973014
