qid,label,class_label,class_qid
Q12192963,Al-Aqsa Mosque,square,Q174782
Q180212,Roman Forum,square,Q174782
Q211295,Trajan's Forum,square,Q174782
Q898629,place des Vosges,square,Q174782
Q1123493,Main Square,square,Q174782
Q770631,Old town Market Square in Krakow,square,Q174782
Q1348507,Zócalo,square,Q174782
Q756621,Las Ventas,square,Q174782
Q179656,Amphitheater of Nîmes,square,Q174782
Q109968,Columbus Circle,square,Q174782
Q1254964,Horse Guards Parade,square,Q174782
Q1346906,Russell Square,square,Q174782
Q2274061,Plaza de toros de la Maestranza,square,Q174782
Q1231380,Forum of Constantine,square,Q174782
Q541933,Kauppatori,square,Q174782
Q181189,Arles Amphitheatre,square,Q174782
Q2712497,Old Town Market Square in Warsaw,square,Q174782
Q7144236,Patan Durbar Square,square,Q174782
Q4900869,Bhaktapur Durbar Square,square,Q174782
Q1635932,Palacio Vistalegre,square,Q174782
Q417645,Naschmarkt,square,Q174782
Q1519964,Royal Square,square,Q174782
Q181837,Komsomolskaya Square,square,Q174782
Q337522,La Monumental,square,Q174782
Q1548947,The Market Square,square,Q174782
Q1247291,Forum of Theodosius,square,Q174782
Q2085218,Temple Square,square,Q174782
Q744776,campo San Polo,square,Q174782
Q523311,Plaza de toros de la Malagueta,square,Q174782
Q1108938,Markt,square,Q174782
Q2033759,Plaza de Toros de Pamplona,square,Q174782
Q3232879,Bến Thành Market,square,Q174782
Q527972,Union Square,square,Q174782
Q526528,Plaza de Toros de Valencia,square,Q174782
Q932992,Grosvenor Square,square,Q174782
Q1865794,Mont des Arts - Kunstberg,square,Q174782
Q1561555,Plaza Mayor,square,Q174782
Q24023454,bullring of Melilla,square,Q174782
Q97633149,Plaza de Toros de Ronda,square,Q174782
Q917483,Loggia del Mercato Nuovo,square,Q174782
Q1266597,Dupont Circle,square,Q174782
Q2134714,real-time bidding,square,Q174782
Q1936696,Tavistock Square,square,Q174782
Q3324721,Plaza de Toros de Illumbe,square,Q174782
Q2893581,Bedford Square,square,Q174782
Q2248913,campo Santa Margherita,square,Q174782
Q1882599,Macellum of Pompeii,square,Q174782
Q7203694,bullring of Zaragoza,square,Q174782
Q6805344,Medhat Pasha Souq,square,Q174782
Q548566,Plaza de toros de las Arenas,square,Q174782
Q3752668,Plaza de Toros de Bilbao,square,Q174782
Q784174,Campo Pequeno Bullring,square,Q174782
Q4457358,plaza de toros de El Bibio,square,Q174782
Q2744878,Plaza de toros de Acho,square,Q174782
Q9324496,Market Square in Katowice,square,Q174782
Q3654631,campo Santo Stefano,square,Q174782
Q885408,Bloomsbury Square,square,Q174782
Q860621,Queen Victoria Market,square,Q174782
Q783980,Austurvöllur,square,Q174782
Q2843706,Plaza de Toros de los Califas,square,Q174782
Q2635215,Nikolsky Market,square,Q174782
Q102210417,Leña Square,square,Q174782
Q7203692,plaza de toros de Logroño,square,Q174782
Q7203631,Plaza Nueva,square,Q174782
Q12398108,plaza de toros de Pontevedra,square,Q174782
Q615743,campo San Barnaba,square,Q174782
Q5520720,Gandhi Square,square,Q174782
Q500529,St James's Square,square,Q174782
Q316814,Prinzipalmarkt,square,Q174782
Q3906559,Plaza Mayor,square,Q174782
Q1014325,Canada Square,square,Q174782
Q6080132,plaza de toros de Albacete,square,Q174782
Q6080134,Coliseum Burgos,square,Q174782
Q3289887,Norwich Market,square,Q174782
Q3087329,Freedom Plaza,square,Q174782
Q3654625,Campo San Trovaso,square,Q174782
Q3654613,campo San Bartolomeo,square,Q174782
Q7939337,Vodnik Square,square,Q174782
Q7203685,plaza de toros de La Glorieta,square,Q174782
Q7068646,Nueva Square,square,Q174782
Q25052661,Computer Village,square,Q174782
Q24023883,Bullring of Fuengirola,square,Q174782
Q18720342,Salt Market Square,square,Q174782
Q3377015,"La Merced Market, Mexico City",square,Q174782
Q3809104,Aliaksandraŭski Garden Square,square,Q174782
Q3654630,campo Santi Giovanni e Paolo,square,Q174782
Q3654629,campo Santa Maria Formosa,square,Q174782
Q5497668,Frederick Douglass Circle,square,Q174782
Q5491850,Franklin Square,square,Q174782
Q303848,Connaught Square,square,Q174782
Q4411397,Turku Market Square,square,Q174782
Q6066367,Iradier Arena,square,Q174782
Q6080327,Plaza de toros de Las Palomas,square,Q174782
Q2402059,Santamaría Bullring,square,Q174782
Q122897,Newington Green,square,Q174782
Q24023194,San Roque Bullring,square,Q174782
Q11819126,New Market Square in Wrocław,square,Q174782
Q10748819,Đà Lạt market,square,Q174782
Q9324459,New Town Market Square in Toruń,square,Q174782
Q7788422,Thomas Circle,square,Q174782
Q7203671,Plaza de Armas de San Juan,square,Q174782
Q6886534,Moazzam Jahi Market,square,Q174782
Q15265989,Bình Tây Market,square,Q174782
Q6739865,Makola Market,square,Q174782
Q107528146,Central Market of Pontevedra,square,Q174782
Q107474743,Verdura Square,square,Q174782
Q25052791,Oyingbo Market,square,Q174782
Q25042289,Ebute Ero market,square,Q174782
Q624174,Seomun Market,square,Q174782
Q3654655,campo della Salute,square,Q174782
Q5055036,Cavendish Square,square,Q174782
Q4120323,Municipal Market of São Paulo,square,Q174782
Q5688840,Plaza de toros de El Puerto,square,Q174782
Q5647734,Plaza de toros La Montera,square,Q174782
Q6080324,Plaza de toros de La Condomina,square,Q174782
Q1882561,Washington Circle,square,Q174782
Q3654618,campo San Luca,square,Q174782
Q3654617,campo San Geremia,square,Q174782
Q3516485,Vrijthof,square,Q174782
Q17487517,Laukontori,square,Q174782
Q16928427,Hretska Square,square,Q174782
Q16745111,Kulykove Pole,square,Q174782
Q125624025,Strategion,square,Q174782
Q11942010,"Plaza de Armas, Havana",square,Q174782
Q11873587,Kuopio Market Square,square,Q174782
Q8023371,Wilton Crescent,square,Q174782
Q7419548,Santa Fe Plaza,square,Q174782
Q7304572,Red Market,square,Q174782
