qid,label,class_label,class_qid
Q30,United States,state,Q7275
Q43,Turkey,state,Q7275
Q159,Russia,state,Q7275
Q17,Japan,state,Q7275
Q142,France,state,Q7275
Q38,Italy,state,Q7275
Q183,Germany,state,Q7275
Q33,Finland,state,Q7275
Q96,Mexico,state,Q7275
Q668,India,state,Q7275
Q148,People's Republic of China,state,Q7275
Q408,Australia,state,Q7275
Q16,Canada,state,Q7275
Q20,Norway,state,Q7275
Q29,Spain,state,Q7275
Q145,United Kingdom,state,Q7275
Q36,Poland,state,Q7275
Q79,Egypt,state,Q7275
Q222,Albania,state,Q7275
Q212,Ukraine,state,Q7275
Q155,Brazil,state,Q7275
Q39,Switzerland,state,Q7275
Q298,Chile,state,Q7275
Q801,Israel,state,Q7275
Q41,Greece,state,Q7275
Q31,Belgium,state,Q7275
Q794,Iran,state,Q7275
Q34,Sweden,state,Q7275
Q414,Argentina,state,Q7275
Q45,Portugal,state,Q7275
Q40,Austria,state,Q7275
Q881,Vietnam,state,Q7275
Q262,Algeria,state,Q7275
Q258,South Africa,state,Q7275
Q739,Colombia,state,Q7275
Q252,Indonesia,state,Q7275
Q219,Bulgaria,state,Q7275
Q227,Azerbaijan,state,Q7275
Q889,Afghanistan,state,Q7275
Q184,Belarus,state,Q7275
Q28,Hungary,state,Q7275
Q224,Croatia,state,Q7275
Q189,Iceland,state,Q7275
Q213,Czech Republic,state,Q7275
Q191,Estonia,state,Q7275
Q843,Pakistan,state,Q7275
Q37,Lithuania,state,Q7275
Q403,Serbia,state,Q7275
Q884,South Korea,state,Q7275
Q869,Thailand,state,Q7275
Q399,Armenia,state,Q7275
Q218,Romania,state,Q7275
Q232,Kazakhstan,state,Q7275
Q796,Iraq,state,Q7275
Q1033,Nigeria,state,Q7275
Q230,Georgia,state,Q7275
Q851,Saudi Arabia,state,Q7275
Q664,New Zealand,state,Q7275
Q115,Ethiopia,state,Q7275
Q717,Venezuela,state,Q7275
Q27,Ireland,state,Q7275
Q902,Bangladesh,state,Q7275
Q833,Malaysia,state,Q7275
Q225,Bosnia and Herzegovina,state,Q7275
Q237,Vatican City,state,Q7275
Q214,Slovakia,state,Q7275
Q114,Kenya,state,Q7275
Q32,Luxembourg,state,Q7275
Q858,Syria,state,Q7275
Q211,Latvia,state,Q7275
Q215,Slovenia,state,Q7275
Q64,Berlin,state,Q7275
Q1016,Libya,state,Q7275
Q1049,Sudan,state,Q7275
Q1028,Morocco,state,Q7275
Q974,Democratic Republic of the Congo,state,Q7275
Q419,Peru,state,Q7275
Q217,Moldova,state,Q7275
Q424,Cambodia,state,Q7275
Q334,Singapore,state,Q7275
Q928,Philippines,state,Q7275
Q822,Lebanon,state,Q7275
Q228,Andorra,state,Q7275
Q948,Tunisia,state,Q7275
Q233,Malta,state,Q7275
Q837,Nepal,state,Q7275
Q236,Montenegro,state,Q7275
Q229,Cyprus,state,Q7275
Q221,North Macedonia,state,Q7275
Q117,Ghana,state,Q7275
Q1045,Somalia,state,Q7275
Q916,Angola,state,Q7275
Q77,Uruguay,state,Q7275
Q711,Mongolia,state,Q7275
Q954,Zimbabwe,state,Q7275
Q235,Monaco,state,Q7275
Q1019,Madagascar,state,Q7275
Q924,Tanzania,state,Q7275
Q813,Kyrgyzstan,state,Q7275
Q878,United Arab Emirates,state,Q7275
Q836,Myanmar,state,Q7275
Q1030,Namibia,state,Q7275
Q819,Laos,state,Q7275
Q736,Ecuador,state,Q7275
