qid,label,class_label,class_qid
Q159375,standard deviation,statistic,Q1949963
Q175199,variance,statistic,Q1949963
Q221094,Barbary lion,statistic,Q1949963
Q287251,kurtosis,statistic,Q1949963
Q534851,home run,statistic,Q1949963
Q840922,bit error rate,statistic,Q1949963
Q713493,hit,statistic,Q1949963
Q1145091,earned run average,statistic,Q1949963
Q1432420,Kaplan–Meier estimator,statistic,Q1949963
Q1377846,save,statistic,Q1949963
Q849149,deviation,statistic,Q1949963
Q818544,state observer,statistic,Q1949963
Q742407,assist,statistic,Q1949963
Q581390,triple,statistic,Q1949963
Q112631150,excess kurtosis,statistic,Q1949963
Q1196988,single,statistic,Q1949963
Q107340462,Nesher Ramla Homo,statistic,Q1949963
Q1194630,double,statistic,Q1949963
Q1815849,slugging percentage,statistic,Q1949963
Q1154654,on-base percentage,statistic,Q1949963
Q1132884,complete game,statistic,Q1949963
Q60739794,batting average,statistic,Q1949963
Q56223802,total bases,statistic,Q1949963
Q860149,caught stealing,statistic,Q1949963
Q3983339,mean time to repair,statistic,Q1949963
Q105076364,win–loss record,statistic,Q1949963
Q2421034,cricket batting average,statistic,Q1949963
Q1591996,point-biserial correlation coefficient,statistic,Q1949963
Q1045147,assist,statistic,Q1949963
Q8192188,innings pitched,statistic,Q1949963
Q2999029,extra base hit,statistic,Q1949963
Q18356434,Ungava brown bear,statistic,Q1949963
Q15729148,Hodges–Lehmann estimator,statistic,Q1949963
Q1915484,mean time to recovery,statistic,Q1949963
Q859991,passed ball,statistic,Q1949963
Q1046690,putout,statistic,Q1949963
Q7862949,U-statistic,statistic,Q1949963
Q3823926,Laplace–Bayes estimator,statistic,Q1949963
Q1296015,efficiency,statistic,Q1949963
Q859741,fielding percentage,statistic,Q1949963
Q841833,Hold,statistic,Q1949963
Q6146297,James–Stein estimator,statistic,Q1949963
Q4291882,Least absolute deviations,statistic,Q1949963
Q3327009,stolen base percentage,statistic,Q1949963
Q838184,quality start,statistic,Q1949963
Q121878844,2023 Rugby World Cup statistics,statistic,Q1949963
Q8023661,Win probability added,statistic,Q1949963
Q7806591,times on base,statistic,Q1949963
Q7379547,run average,statistic,Q1949963
Q6436967,Krichevsky–Trofimov estimator,statistic,Q1949963
Q5610472,Gross Production Average,statistic,Q1949963
Q5374245,empirical likelihood,statistic,Q1949963
Q4869927,batting park factor,statistic,Q1949963
Q4622276,2011 Rugby World Cup statistics,statistic,Q1949963
Q3983340,mean down time,statistic,Q1949963
Q18659042,Hits per nine innings,statistic,Q1949963
Q17103906,Minimum chi-square estimation,statistic,Q1949963
Q16386332,Orel Hershiser's scoreless innings streak,statistic,Q1949963
Q74125294,1995 Rugby World Cup statistics,statistic,Q1949963
Q74125476,1991 Rugby World Cup statistics,statistic,Q1949963
Q74126018,1987 Rugby World Cup statistics,statistic,Q1949963
Q74124138,2007 Rugby World Cup statistics,statistic,Q1949963
Q74124961,1999 Rugby World Cup statistics,statistic,Q1949963
Q72227705,2003 Rugby World Cup statistics,statistic,Q1949963
Q68217153,2019 Rugby World Cup statistics,statistic,Q1949963
Q21030615,2015 Rugby World Cup statistics,statistic,Q1949963
Q104873255,Premiership Rugby top scorers,statistic,Q1949963
Q7974953,Watterson estimator,statistic,Q1949963
Q7079062,Offense efficiency rating,statistic,Q1949963
Q6823723,Method of simulated moments,statistic,Q1949963
Q5203038,D',statistic,Q1949963
Q4889648,"Bennett, Alpert, and Goldstein’s S",statistic,Q1949963
Q17299941,Indirect inference,statistic,Q1949963
Q96379433,Ghanaian records in Olympic weightlifting,statistic,Q1949963
Q25041440,Corsi statistic,statistic,Q1949963
Q22682100,Medcouple,statistic,Q1949963
Q19877442,Dolphin-Union caribou,statistic,Q1949963
Q115825884,2021 Rugby World Cup statistics,statistic,Q1949963
Q113134251,exit velocity,statistic,Q1949963
Q79797,Armenians,statistic,Q1949963
Q42884,Germans,statistic,Q1949963
Q84072,Turks,statistic,Q1949963
Q121842,French,statistic,Q1949963
Q44806,Ukrainians,statistic,Q1949963
Q50001,Italians,statistic,Q1949963
Q126756,Basque people,statistic,Q1949963
Q133032,Hungarians,statistic,Q1949963
Q201190,Palestinians,statistic,Q1949963
Q160894,Spaniards,statistic,Q1949963
