qid,label,class_label,class_qid
Q3392,Nile,stream,Q47521
Q3783,Amazon,stream,Q47521
Q1653,Danube,stream,Q47521
Q584,Rhine,stream,Q47521
Q626,Volga,stream,Q47521
Q1497,Mississippi River,stream,Q47521
Q5089,Ganges,stream,Q47521
Q5413,Yangtze,stream,Q47521
Q3503,Congo,stream,Q47521
Q7348,Indus River,stream,Q47521
Q7355,Yellow River,stream,Q47521
Q3542,Niger River,stream,Q47521
Q34589,Euphrates,stream,Q47521
Q35591,Tigris,stream,Q47521
Q19686,River Thames,stream,Q47521
Q1471,Seine,stream,Q47521
Q40855,Dnieper,stream,Q47521
Q40059,Jordan River,stream,Q47521
Q1644,Elbe,stream,Q47521
Q41179,Mekong River,stream,Q47521
Q548,Vistula,stream,Q47521
Q6862,Amur River,stream,Q47521
Q46841,Lena River,stream,Q47521
Q973,Ob,stream,Q47521
Q80240,Ural River,stream,Q47521
Q5419,Missouri River,stream,Q47521
Q1229,Don,stream,Q47521
Q45403,Brahmaputra River,stream,Q47521
Q552,Oder,stream,Q47521
Q643,Po,stream,Q47521
Q1469,Loire,stream,Q47521
Q602,Rhône,stream,Q47521
Q131210,Dniester,stream,Q47521
Q134750,St. Lawrence River,stream,Q47521
Q78707,Yenisey,stream,Q47521
Q13712,Tiber,stream,Q47521
Q8493,Amu Darya,stream,Q47521
Q14294,Tagus River,stream,Q47521
Q131792,Orinoco River,stream,Q47521
Q1265,Colorado River,stream,Q47521
Q132726,Yamuna,stream,Q47521
Q645,Neva,stream,Q47521
Q128102,Irtysh,stream,Q47521
Q8197,Daugava,stream,Q47521
Q41986,Meuse,stream,Q47521
Q483159,Syr Darya,stream,Q47521
Q104437,Yukon River,stream,Q47521
Q3140,Hudson River,stream,Q47521
Q1670,Main,stream,Q47521
Q882739,Blue Nile,stream,Q47521
Q10965,Ebro,stream,Q47521
Q4915,Ohio River,stream,Q47521
Q2251,Columbia River,stream,Q47521
Q160636,Rio Grande,stream,Q47521
Q127892,Paraná River,stream,Q47521
Q14299,Douro,stream,Q47521
Q35827,Río de la Plata,stream,Q47521
