qid,label,class_label,class_qid
Q550,avenue des Champs-Élysées,street,Q79007
Q41068,Paulista Avenue,street,Q79007
Q160899,Unter den Linden,street,Q79007
Q109858,Fifth Avenue,street,Q79007
Q382500,Nevsky Prospect,street,Q79007
Q465811,National Mall,street,Q79007
Q46232,Vienna Ring Road,street,Q79007
Q209714,Oxford Street,street,Q79007
Q367395,Q367395,street,Q79007
Q1123106,Regent Street,street,Q79007
Q868616,Hollywood Boulevard,street,Q79007
Q109849,Madison Avenue,street,Q79007
Q925808,Moscow Ring Road,street,Q79007
Q860442,Sunset Boulevard,street,Q79007
Q160272,Kurfürstendamm,street,Q79007
Q124041,London Docklands,street,Q79007
Q1849491,Promenade des Anglais,street,Q79007
Q579977,Nanjing Road,street,Q79007
Q109711,Park Avenue,street,Q79007
Q781553,Puerto Madero,street,Q79007
Q109739,Lexington Avenue,street,Q79007
Q1561,HafenCity,street,Q79007
Q1478843,Paseo de la Reforma,street,Q79007
Q892187,Bond Street,street,Q79007
Q950534,Váci Street,street,Q79007
Q849777,Boulevard Périphérique of Paris,street,Q79007
Q777052,Avenida 9 de Julio,street,Q79007
Q109873,Sixth Avenue,street,Q79007
Q38778,Carnaby Street,street,Q79007
Q2079615,Paseo del Prado,street,Q79007
Q2664885,Martyrs' Lane,street,Q79007
Q109926,Seventh Avenue,street,Q79007
Q2060889,Coulée verte René-Dumont,street,Q79007
Q1146988,quai d'Orsay,street,Q79007
Q281521,Sambadrome Marquês de Sapucaí,street,Q79007
Q895076,boulevard Haussmann,street,Q79007
Q1027432,rue du Faubourg-Saint-Honoré,street,Q79007
Q2874203,Northern Avenue,street,Q79007
Q1140617,Minato Mirai 21,street,Q79007
Q124857,Third Avenue,street,Q79007
Q895078,boulevard Saint-Michel,street,Q79007
Q533037,boulevard Saint-Germain,street,Q79007
Q1490775,Karl Johans gate,street,Q79007
Q12597,Malecón,street,Q79007
Q791045,Avinguda Diagonal,street,Q79007
Q735620,avenue Montaigne,street,Q79007
Q124947,First Avenue,street,Q79007
Q1368319,Esplanadi park,street,Q79007
Q1008822,Gediminas Avenue,street,Q79007
Q790562,avenue Foch,street,Q79007
Q430045,A8 autostrada,street,Q79007
Q1473674,Paseo de la Castellana,street,Q79007
