qid,label,class_label,class_qid
Q826120,King's Cross St Pancras tube station,subway station,Q928830
Q10319641,Waterloo tube station,subway station,Q928830
Q616218,Baker Street tube station,subway station,Q928830
Q806704,Bank and Monument stations,subway station,Q928830
Q1366462,Green Park tube station,subway station,Q928830
Q678791,Oxford Circus tube station,subway station,Q928830
Q1366453,Euston Square tube station,subway station,Q928830
Q1135834,Westminster tube station,subway station,Q928830
Q795322,Charing Cross tube station,subway station,Q928830
Q38876,Barbican tube station,subway station,Q928830
Q26448,Piccadilly Circus tube station,subway station,Q928830
Q1334978,Embankment tube station,subway station,Q928830
Q1279102,Hyde Park Corner tube station,subway station,Q928830
Q801210,Moorgate station,subway station,Q928830
Q946924,Great Portland Street,subway station,Q928830
Q892189,Bond Street tube station,subway station,Q928830
Q1431071,Temple tube station,subway station,Q928830
Q1377634,Russell Square tube station,subway station,Q928830
Q800754,Farringdon station,subway station,Q928830
Q1803672,Notting Hill Gate tube station,subway station,Q928830
Q1567095,St. James's Park tube station,subway station,Q928830
Q1433544,Holborn tube station,subway station,Q928830
Q976035,South Kensington,subway station,Q928830
Q649184,Queensway tube station,subway station,Q928830
Q38909,Southwark tube station,subway station,Q928830
Q2538959,Leicester Square tube station,subway station,Q928830
Q1431094,Tottenham Court Road station,subway station,Q928830
Q1431064,Aldgate East tube station,subway station,Q928830
Q1366438,Warren Street tube station,subway station,Q928830
Q812631,Bayswater tube station,subway station,Q928830
Q782929,Aldgate tube station,subway station,Q928830
Q531444,Angel tube station,subway station,Q928830
Q801299,Old Street station,subway station,Q928830
Q344481,Acton Town tube station,subway station,Q928830
Q786259,Marble Arch tube station,subway station,Q928830
Q1757120,Knightsbridge tube station,subway station,Q928830
Q1738951,Kennington tube station,subway station,Q928830
Q1530578,Sloane Square tube station,subway station,Q928830
Q1475207,Tower Hill tube station,subway station,Q928830
Q1473963,Pimlico tube station,subway station,Q928830
Q1431088,Gloucester Road tube station,subway station,Q928830
Q1431057,Lancaster Gate tube station,subway station,Q928830
Q1378779,Euston tube station,subway station,Q928830
Q1284426,Edgware Road tube station,subway station,Q928830
Q677658,Lubyanka,subway station,Q928830
Q763293,Heathrow Terminals 2 & 3 tube station,subway station,Q928830
Q800896,Harrow & Wealdstone station,subway station,Q928830
Q605723,Whitechapel station,subway station,Q928830
Q801594,Wembley Central station,subway station,Q928830
Q117586,Brixton tube station,subway station,Q928830
Q38879,Covent Garden tube station,subway station,Q928830
Q1549562,Stockwell tube station,subway station,Q928830
Q1477336,Mansion House tube station,subway station,Q928830
Q1277562,Earl's Court tube station,subway station,Q928830
Q1259474,Regent's Park tube station,subway station,Q928830
Q1341317,Sportivnaya,subway station,Q928830
Q1197072,Hatton Cross tube station,subway station,Q928830
Q808729,Barons Court tube station,subway station,Q928830
Q746880,Goodge Street tube station,subway station,Q928830
Q956849,Wembley Park tube station,subway station,Q928830
Q1061682,Chancery Lane tube station,subway station,Q928830
Q664375,Vauxhall tube station,subway station,Q928830
Q800451,Barking station,subway station,Q928830
Q1857872,Oakwood tube station,subway station,Q928830
Q1757107,Turnpike Lane tube station,subway station,Q928830
Q1592614,Heathrow Terminal 4 tube station,subway station,Q928830
Q1549587,Lambeth North tube station,subway station,Q928830
Q1486729,Warwick Avenue tube station,subway station,Q928830
Q1481451,Elephant & Castle tube station,subway station,Q928830
Q1431081,St. Paul's tube station,subway station,Q928830
Q1190806,Universitet,subway station,Q928830
Q801623,Willesden Junction station,subway station,Q928830
Q801601,West Ham station,subway station,Q928830
Q1105305,Cockfosters tube station,subway station,Q928830
Q262548,Arsenal tube station,subway station,Q928830
Q978377,Hounslow West tube station,subway station,Q928830
Q579345,Balham tube station,subway station,Q928830
Q962261,Swiss Cottage tube station,subway station,Q928830
Q634345,High Street Kensington tube station,subway station,Q928830
Q630409,Woodford tube station,subway station,Q928830
Q800907,Heathrow Terminal 5 station,subway station,Q928830
Q801347,Queen's Park station,subway station,Q928830
Q519434,Turnham Green tube station,subway station,Q928830
Q301995,Goldhawk Road tube station,subway station,Q928830
Q1032842,Canary Wharf,subway station,Q928830
Q697151,Arnos Grove tube station,subway station,Q928830
Q800541,Blackhorse Road station,subway station,Q928830
Q894073,Borough tube station,subway station,Q928830
Q2120040,Rayners Lane tube station,subway station,Q928830
Q1947443,Morden tube station,subway station,Q928830
Q1885195,Maida Vale tube station,subway station,Q928830
Q1857909,Shepherd's Bush Market tube station,subway station,Q928830
Q1857089,West Hampstead tube station,subway station,Q928830
Q1757126,Uxbridge tube station,subway station,Q928830
Q1757115,Royal Oak tube station,subway station,Q928830
Q1741248,Kilburn tube station,subway station,Q928830
Q1649850,Upton Park tube station,subway station,Q928830
Q1624885,Holloway Road tube station,subway station,Q928830
Q1549573,Manor House tube station,subway station,Q928830
Q1549556,St. John's Wood tube station,subway station,Q928830
Q1488320,Alperton tube station,subway station,Q928830
Q1411854,Ladbroke Grove tube station,subway station,Q928830
Q1347650,Epping,subway station,Q928830
Q1276908,Ealing Common tube station,subway station,Q928830
Q1300073,Finchley Road tube station,subway station,Q928830
Q1028430,Camden Town tube station,subway station,Q928830
Q671034,High Barnet tube station,subway station,Q928830
Q949382,Kilburn Park tube station,subway station,Q928830
Q801001,Kenton railway station,subway station,Q928830
Q615430,Holland Park tube station,subway station,Q928830
Q800705,Ealing Broadway station,subway station,Q928830
Q913515,Burnt Oak tube station,subway station,Q928830
Q895162,Bounds Green tube station,subway station,Q928830
Q286666,Southgate tube station,subway station,Q928830
Q1033431,Canning Town station,subway station,Q928830
Q784876,Mile End tube station,subway station,Q928830
Q894569,Boston Manor tube station,subway station,Q928830
Q7486929,Hammersmith tube station,subway station,Q928830
Q2304475,South Ealing tube station,subway station,Q928830
Q2167448,Golders Green tube station,subway station,Q928830
Q1890387,Mornington Crescent tube station,subway station,Q928830
Q1857925,Westbourne Park tube station,subway station,Q928830
Q1762419,Hammersmith tube station,subway station,Q928830
Q1757132,North Greenwich tube station,subway station,Q928830
Q1757110,Stanmore tube station,subway station,Q928830
Q1631346,Hounslow East tube station,subway station,Q928830
Q1573996,Hampstead tube station,subway station,Q928830
Q1569388,Hainault tube station,subway station,Q928830
Q1493698,Gants Hill tube station,subway station,Q928830
Q1439481,Hounslow Central tube station,subway station,Q928830
Q1269975,East Ham tube station,subway station,Q928830
Q1235761,Dollis Hill tube station,subway station,Q928830
Q1278097,Eastcote tube station,subway station,Q928830
Q801602,West Ruislip station,subway station,Q928830
Q1108796,Colindale tube station,subway station,Q928830
Q1026585,Caledonian Road tube station,subway station,Q928830
Q764016,Northfields tube station,subway station,Q928830
Q736375,Latimer Road tube station,subway station,Q928830
Q477733,Ruislip Manor tube station,subway station,Q928830
Q426804,Oval tube station,subway station,Q928830
Q636351,Archway tube station,subway station,Q928830
Q604060,Belsize Park tube station,subway station,Q928830
Q801474,Stonebridge Park station,subway station,Q928830
Q651554,Osterley tube station,subway station,Q928830
Q801366,Richmond station,subway station,Q928830
Q727723,Edgware tube station,subway station,Q928830
Q946831,South Harrow tube station,subway station,Q928830
Q945882,Wood Green tube station,subway station,Q928830
Q926679,Bromley-by-Bow tube station,subway station,Q928830
Q83842,North Acton tube station,subway station,Q928830
Q800384,Amersham station,subway station,Q928830
Q800610,Canada Water station,subway station,Q928830
Q570560,Hillingdon tube station,subway station,Q928830
Q19819,Watford tube station,subway station,Q928830
Q2211127,Wood Lane tube station,subway station,Q928830
Q2121603,Sudbury Hill tube station,subway station,Q928830
Q2120048,White City tube station,subway station,Q928830
