qid,label,class_label,class_qid
Q1151525,Hurva Synagogue,synagogue,Q34627
Q1268899,Sarajevo Synagogue,synagogue,Q34627
Q1548485,Great Synagogue of Rome,synagogue,Q34627
Q2447775,Great Synagogue of Europe,synagogue,Q34627
Q942338,Great Synagogue (Gibraltar),synagogue,Q34627
Q2916686,Great Synagogue,synagogue,Q34627
Q2079847,Ashkenazi Synagogue of Istanbul,synagogue,Q34627
Q787448,Karaite Kenesa,synagogue,Q34627
Q316542,Old Synagogue,synagogue,Q34627
Q3178007,Beth Yaacov Synagogue,synagogue,Q34627
Q2920436,The Jerusalem Great Synagogue,synagogue,Q34627
Q161751,Ohel Jakob synagogue,synagogue,Q34627
Q585335,Vilnius Kenesa,synagogue,Q34627
Q4219320,Trakai Kenesa,synagogue,Q34627
Q196266,Synagogue of the Ashkenazi Jews in Baku,synagogue,Q34627
Q2917076,Ari Ashkenazi Synagogue,synagogue,Q34627
Q1531,Grande synagogue de Lyon,synagogue,Q34627
Q1968469,Eupatorian Kenassas,synagogue,Q34627
Q5160667,Congregation Shaar Hashomayim,synagogue,Q34627
Q48731488,Paravur Synagogue,synagogue,Q34627
Q31355384,Ashkenazi Synagogue of Tbilisi,synagogue,Q34627
Q30680427,Il Kal Grandi,synagogue,Q34627
Q25416669,Yohanan ben Zakkai Synagogue (Jerusalem),synagogue,Q34627
Q109301199,Istanbuli Synagogue,synagogue,Q34627
Q24259945,B’nai Reuben Anshe Sfard,synagogue,Q34627
Q132408929,Brith Sholom Beth Israel Synagogue,synagogue,Q34627
Q5160589,Congregation B'nai Israel,synagogue,Q34627
Q60746590,East London Central Synagogue,synagogue,Q34627
Q204200,Cavern of the Patriarchs,synagogue,Q34627
Q754397,Dohány Street Synagogue,synagogue,Q34627
Q246474,New Synagogue Berlin,synagogue,Q34627
Q443107,Old New Synagogue,synagogue,Q34627
Q1141086,Synagogue of Besançon,synagogue,Q34627
Q253663,Stadttempel,synagogue,Q34627
Q990003,Spanish Synagogue,synagogue,Q34627
Q1039834,Subotica Synagogue,synagogue,Q34627
Q311734,El Ghriba Synagogue,synagogue,Q34627
Q2304576,Tallinn Synagogue,synagogue,Q34627
Q942127,Central Synagogue of Sofia,synagogue,Q34627
Q436286,Old Synagogue (Erfurt),synagogue,Q34627
Q2474653,Ben Ezra Synagogue,synagogue,Q34627
Q619484,Stockholm Synagogue,synagogue,Q34627
Q747244,Neve Shalom Synagogue,synagogue,Q34627
Q517766,Maisel Synagogue,synagogue,Q34627
Q1811506,Synagogue of El Transito,synagogue,Q34627
Q1548449,Great Synagogue,synagogue,Q34627
Q1548454,"Great Synagogue, Warsaw",synagogue,Q34627
Q1853707,Portuguese Synagogue,synagogue,Q34627
Q834288,Szeged Synagogue,synagogue,Q34627
Q942102,Jubilee Synagogue,synagogue,Q34627
Q1504036,Grand Choral Synagogue,synagogue,Q34627
Q1846214,Peitav Synagogue,synagogue,Q34627
Q1568115,Synagogue of Santa María la Blanca,synagogue,Q34627
Q1268260,Templo Libertad,synagogue,Q34627
Q736135,Belgrade Synagogue,synagogue,Q34627
Q1577089,Dura-Europos synagogue,synagogue,Q34627
Q4335003,Oni Synagogue,synagogue,Q34627
Q2750095,Dubrovnik Synagogue,synagogue,Q34627
Q5338336,Grand Synagogue of Edirne,synagogue,Q34627
Q1076328,Choral Synagogue of Vilnius,synagogue,Q34627
Q600198,Kahal Zur Israel Synagogue,synagogue,Q34627
Q1473716,"Great Synagogue, Lutsk",synagogue,Q34627
Q1243512,Novi Sad Synagogue,synagogue,Q34627
Q1358886,Grand Synagogue of Paris,synagogue,Q34627
Q544285,Roonstrasse Synagogue,synagogue,Q34627
Q550451,Great Synagogue,synagogue,Q34627
Q2995669,Yusef Abad Synagogue,synagogue,Q34627
Q4496277,Kharkiv Choral Synagogue,synagogue,Q34627
Q3502453,Old Synagogue in Kraków,synagogue,Q34627
Q6333102,Zagreb Synagogue,synagogue,Q34627
Q6333102,Zagreb Synagogue,synagogue,Q34627
Q1113721,Eldridge Street Synagogue,synagogue,Q34627
Q2096330,Malmö Synagogue,synagogue,Q34627
Q1331109,Eliyahu Hanavi Synagogue,synagogue,Q34627
Q851924,Bevis Marks Synagogue,synagogue,Q34627
Q966792,Tiferet Yisrael Synagogue,synagogue,Q34627
Q1059699,Jewish Museum of Turkey,synagogue,Q34627
Q1076326,Moscow Choral Synagogue,synagogue,Q34627
Q1548456,Great Synagogue of Florence,synagogue,Q34627
Q1983814,Uzhhorod Synagogue,synagogue,Q34627
Q1316358,Synagogue,synagogue,Q34627
Q924845,Brodsky Synagogue,synagogue,Q34627
Q4281383,Maribor Synagogue,synagogue,Q34627
Q4346882,Great Synagogue,synagogue,Q34627
Q2665045,Great Synagogue,synagogue,Q34627
Q2744462,Belz Beis HaMedrash HaGadol,synagogue,Q34627
Q2915221,Nożyk Synagogue,synagogue,Q34627
Q4873357,Batumi Synagogue,synagogue,Q34627
Q5600070,Ben Farès Mosque,synagogue,Q34627
Q218162,Worms Synagogue,synagogue,Q34627
Q599211,Pinkas Synagogue,synagogue,Q34627
Q610611,Cluj-Napoca Neolog Synagogue,synagogue,Q34627
Q246314,Rykestrasse Synagogue,synagogue,Q34627
Q1567798,Synagogue de Nazareth,synagogue,Q34627
Q695454,Leopoldstädter Tempel,synagogue,Q34627
Q835441,Synagogue of Trieste,synagogue,Q34627
Q1076318,Kaunas Synagogue,synagogue,Q34627
Q2577683,Maghain Aboth Synagogue,synagogue,Q34627
Q2601015,Turku Synagogue,synagogue,Q34627
Q2614280,Helsinki Synagogue,synagogue,Q34627
Q2643179,Córdoba Synagogue,synagogue,Q34627
Q2643179,Córdoba Synagogue,synagogue,Q34627
Q7661942,Synagogue of Tomar,synagogue,Q34627
Q2915211,Gothenburg Synagogue,synagogue,Q34627
Q2917385,Gaza synagogue,synagogue,Q34627
Q2920386,Kahal Shalom Synagogue,synagogue,Q34627
Q3113484,Lisbon Synagogue,synagogue,Q34627
Q3345234,Orthodox synagogue in Košice,synagogue,Q34627
Q3354482,Tempel Synagogue,synagogue,Q34627
Q3393562,Ahrida Synagogue of Istanbul,synagogue,Q34627
Q3495970,Paradesi Synagogue,synagogue,Q34627
Q3504867,Central Synagogue,synagogue,Q34627
Q3508102,Wolpa Synagogue,synagogue,Q34627
Q16699346,Soldier Synagogue,synagogue,Q34627
Q1846204,Riga Choral Synagogue,synagogue,Q34627
Q1548447,Great Synagogue,synagogue,Q34627
Q681038,"Synagoge, Graz",synagogue,Q34627
Q745748,Oslo Synagogue,synagogue,Q34627
Q1572150,Iosefin Synagogue,synagogue,Q34627
Q2095687,Fabric Synagogue,synagogue,Q34627
Q897202,Temple Emanu-El,synagogue,Q34627
Q898588,Klausen Synagogue,synagogue,Q34627
Q1435187,Congregation Shearith Israel,synagogue,Q34627
Q582258,Great Choral Synagogue,synagogue,Q34627
Q583651,Ohel Leah Synagogue,synagogue,Q34627
Q3847663,Nitra Synagogue,synagogue,Q34627
Q4120596,Ibn Danan Synagogue,synagogue,Q34627
Q2916014,Cymbalista Synagogue and Jewish Heritage Center,synagogue,Q34627
Q2916347,Trondheim Synagogue,synagogue,Q34627
Q3109262,Izaak Synagogue,synagogue,Q34627
Q598951,"High Synagogue, Kraków",synagogue,Q34627
Q3618,Remuh Synagogue,synagogue,Q34627
Q117232,Galitska Synagogue,synagogue,Q34627
Q123433,Ostia Synagogue,synagogue,Q34627
Q256573,Asmara Synagogue,synagogue,Q34627
Q1548430,"Great Synagogue, Białystok",synagogue,Q34627
Q1548437,Great Synagogue of Vilna,synagogue,Q34627
