qid,label,class_label,class_qid
Q159579,excise,tax,Q8161
Q1384023,Varlık Vergisi,tax,Q8161
Q1757650,taille,tax,Q8161
Q27679782,Goods and Services Tax,tax,Q8161
Q966048,European Union Value Added Tax,tax,Q8161
Q732981,Robin Hood tax,tax,Q8161
Q3149543,Solidarity tax on wealth,tax,Q8161
Q2996021,Contribution des patentes,tax,Q8161
Q2769977,Postage Paid,tax,Q8161
Q2624082,Quit-rent,tax,Q8161
Q1917603,Value added tax (Switzerland),tax,Q8161
Q544326,Versement transport,tax,Q8161
Q20731617,Corporation tax in France,tax,Q8161
Q7912746,Value added taxation in India,tax,Q8161
Q5583599,Goods and Services Tax,tax,Q8161
Q4312666,Goods and Services Tax,tax,Q8161
Q286550,Millones,tax,Q8161
Q48740144,Subventio generalis,tax,Q8161
Q7374427,Royal Mail Online Postage,tax,Q8161
Q7072061,O.H.M.S.,tax,Q8161
Q6664232,Local Property Tax,tax,Q8161
Q5583595,Goods and Services Tax,tax,Q8161
Q8024155,Windfall Tax in United Kingdom,tax,Q8161
Q8024156,Windfall tax in Australia,tax,Q8161
Q17055022,Windfall tax in Mongolia,tax,Q8161
Q130471913,Two Pennies Scots,tax,Q8161
Q113653932,Tributum soli,tax,Q8161
Q815841,devşirme,tax,Q8161
Q509331,progressive tax,tax,Q8161
Q721368,poll tax,tax,Q8161
Q967719,wealth tax,tax,Q8161
Q2020670,Khums,tax,Q8161
Q301742,Danegeld,tax,Q8161
Q1335777,Stamp Act 1765,tax,Q8161
Q1789899,Yasak,tax,Q8161
Q1778725,vehicle excise duty,tax,Q8161
Q564627,annates,tax,Q8161
Q1270515,octroi,tax,Q8161
Q20681009,carbon price,tax,Q8161
Q1984400,tax on childlessness,tax,Q8161
Q38683,dog licence,tax,Q8161
Q317162,Reichsfluchtsteuer,tax,Q8161
Q3516321,Optimal tax,tax,Q8161
Q23499792,tampon tax,tax,Q8161
Q321809,alcohol tax,tax,Q8161
Q1308197,income tax in the United States,tax,Q8161
Q726469,Internet taxes,tax,Q8161
Q1152629,Double Irish arrangement,tax,Q8161
Q16593853,Quinto Real,tax,Q8161
Q1470085,Paulette,tax,Q8161
Q2573647,Saladin tithe,tax,Q8161
Q277152,Common Penny,tax,Q8161
Q1428543,real estate transfer tax,tax,Q8161
Q1468041,Judenvermögensabgabe,tax,Q8161
Q7689453,tax on trees,tax,Q8161
Q2940696,Carucage,tax,Q8161
Q3055755,epidoseis,tax,Q8161
