qid,label,class_label,class_qid
Q152,fish,taxonomic group,Q16521
Q830,cattle,taxonomic group,Q16521
Q430,dinosaur,taxonomic group,Q16521
Q7391,bee,taxonomic group,Q16521
Q1367,monkey,taxonomic group,Q16521
Q15879,Lacertilia,taxonomic group,Q16521
Q25314,Angiosperms,taxonomic group,Q16521
Q36715,mammoth,taxonomic group,Q16521
Q10892,protist,taxonomic group,Q16521
Q40171,Neanderthal,taxonomic group,Q16521
Q47253,worm,taxonomic group,Q16521
Q43806,invertebrate,taxonomic group,Q16521
Q43502,Dodo,taxonomic group,Q16521
Q19081,prokaryotes,taxonomic group,Q16521
Q41692,mule,taxonomic group,Q16521
Q14332,Tyrannosaurus,taxonomic group,Q16521
Q101274,protozoa,taxonomic group,Q16521
Q78961,Monocots,taxonomic group,Q16521
Q101362,Homo erectus,taxonomic group,Q16521
Q123102,thylacine,taxonomic group,Q16521
Q100196,Archaeopteryx,taxonomic group,Q16521
Q132825,conifer,taxonomic group,Q16521
Q103237,Australopithecus,taxonomic group,Q16521
Q101373,Homo habilis,taxonomic group,Q16521
Q27133,tracheophyte,taxonomic group,Q16521
Q17170,Q17170,taxonomic group,Q16521
Q14384,Triceratops,taxonomic group,Q16521
Q21716,Ciconiiformes,taxonomic group,Q16521
Q168903,aurochs,taxonomic group,Q16521
Q14403,Velociraptor,taxonomic group,Q16521
Q14388,Stegosaurus,taxonomic group,Q16521
Q130966,Spinosaurus,taxonomic group,Q16521
Q25370,Falconiformes,taxonomic group,Q16521
Q14330,Diplodocus,taxonomic group,Q16521
Q14397,Brachiosaurus,taxonomic group,Q16521
Q181537,amniote,taxonomic group,Q16521
Q14326,Apatosaurus,taxonomic group,Q16521
Q228002,Ammonoidea,taxonomic group,Q16521
Q107411,oyster,taxonomic group,Q16521
Q163873,megalodon,taxonomic group,Q16521
Q160830,Sarcopterygii,taxonomic group,Q16521
Q452969,Dinornithiformes,taxonomic group,Q16521
Q5171,protostome,taxonomic group,Q16521
Q123252,Cephalochordata,taxonomic group,Q16521
Q29993,bryophyte,taxonomic group,Q16521
Q5173,Bilateria,taxonomic group,Q16521
Q179204,pterosaur,taxonomic group,Q16521
Q188717,Smilodon,taxonomic group,Q16521
Q25833,Placentalia,taxonomic group,Q16521
Q14400,Allosaurus,taxonomic group,Q16521
Q1548030,bell pepper,taxonomic group,Q16521
Q130980,Iguanodon,taxonomic group,Q16521
Q105784,Homo heidelbergensis,taxonomic group,Q16521
Q165468,Eudicots,taxonomic group,Q16521
Q189193,Great Auk,taxonomic group,Q16521
Q192029,proboscis monkey,taxonomic group,Q16521
Q205323,Stercorariidae,taxonomic group,Q16521
Q191968,Passenger Pigeon,taxonomic group,Q16521
Q40621,Ankylosaurus,taxonomic group,Q16521
Q205531,Iguana,taxonomic group,Q16521
Q130910,archosaur,taxonomic group,Q16521
Q188949,woolly rhinoceros,taxonomic group,Q16521
Q186266,Homo floresiensis,taxonomic group,Q16521
Q105777,Homo ergaster,taxonomic group,Q16521
Q45969,quagga,taxonomic group,Q16521
Q151055,denisovan,taxonomic group,Q16521
Q28078,Columbiformes,taxonomic group,Q16521
Q194515,Ichthyosauria,taxonomic group,Q16521
Q191488,Ornithischia,taxonomic group,Q16521
Q45931,Peking Man,taxonomic group,Q16521
Q20977,Upupidae,taxonomic group,Q16521
Q3699044,woolly mammoth,taxonomic group,Q16521
Q192993,Java Man,taxonomic group,Q16521
Q156800,Metasequoia glyptostroboides,taxonomic group,Q16521
Q188851,Ursus spelaeus,taxonomic group,Q16521
Q192272,Mammut,taxonomic group,Q16521
Q338878,Rosids,taxonomic group,Q16521
