qid,label,class_label,class_qid
Q1820162,Relay of Youth,team sport,Q216048
Q3345067,Duleep Trophy,team sport,Q216048
Q110995241,media football,team sport,Q216048
Q5635812,Burger King Super Smash,team sport,Q216048
Q3216797,Lampadedromia,team sport,Q216048
Q73108012,mixed 4 × 400 metres relay,team sport,Q216048
Q86753388,MLB London Series,team sport,Q216048
Q3524417,Sri Lanka Premier League,team sport,Q216048
Q117190771,Sindh Premier League,team sport,Q216048
Q111165217,2023 NHL Stadium Series,team sport,Q216048
Q7141507,Pas de la Bergère,team sport,Q216048
Q41635638,KK Shkupi,team sport,Q216048
Q17152096,Inter-Provincial Trophy,team sport,Q216048
Q130485965,2025 MLB Tokyo Series,team sport,Q216048
Q125029093,MLB Seoul Series,team sport,Q216048
Q5014026,CSA Provincial Competitions,team sport,Q216048
Q16984798,Hood to Coast,team sport,Q216048
Q105676385,2021 Channel One Trophy,team sport,Q216048
Q117462262,Astros–Dodgers rivalry,team sport,Q216048
Q116909793,2023 Channel One Trophy,team sport,Q216048
Q111214294,2022 Channel One Trophy,team sport,Q216048
Q24083566,Regional Pro Series,team sport,Q216048
Q16974289,Dutch Twenty20 Cup,team sport,Q216048
Q121066201,1959 Hogan Cup,team sport,Q216048
Q2736,association football,team sport,Q216048
Q5378,rugby,team sport,Q216048
Q41466,ice hockey,team sport,Q216048
Q41323,American football,team sport,Q216048
Q1455,field hockey,team sport,Q216048
Q5849,rugby union,team sport,Q216048
Q183018,bandy,team sport,Q216048
Q204632,Gaelic football,team sport,Q216048
Q192832,paintball,team sport,Q216048
Q210778,beach soccer,team sport,Q216048
Q8099087,cycle ball,team sport,Q216048
Q974015,indoor hockey,team sport,Q216048
Q1022923,Gimnasia y Esgrima de Jujuy,team sport,Q216048
Q659707,tchoukball,team sport,Q216048
Q612303,beach rugby,team sport,Q216048
Q3317050,Major Dhyan Chand National Stadium,team sport,Q216048
Q576619,2008 Summer Olympics torch relay,team sport,Q216048
Q1741679,Kin-Ball,team sport,Q216048
Q669810,Hornussen,team sport,Q216048
Q1371194,2012 Summer Olympics torch relay,team sport,Q216048
Q22283363,2016 Summer Olympics torch relay,team sport,Q216048
Q120064168,2024 Summer Olympics torch relay,team sport,Q216048
Q131370760,2026 Winter Olympics torch relay,team sport,Q216048
Q478659,power hockey,team sport,Q216048
Q1322006,2004 Summer Olympics torch relay,team sport,Q216048
Q1428502,polocrosse,team sport,Q216048
Q7548423,Snow rugby,team sport,Q216048
Q3452878,rugby league nines,team sport,Q216048
Q60740358,2020 Summer Olympics torch relay,team sport,Q216048
Q1049649,2010 Winter Olympics torch relay,team sport,Q216048
Q1184629,Rugby tens,team sport,Q216048
Q4532830,2014 Winter Olympics torch relay,team sport,Q216048
Q320698,Schleuderball,team sport,Q216048
Q22001897,Sinon Bulls,team sport,Q216048
Q1819062,bodyflight,team sport,Q216048
Q3844480,rink bandy,team sport,Q216048
Q716155,EDA Rhinos,team sport,Q216048
Q15116804,throwball,team sport,Q216048
Q2117814,Ecua-volley,team sport,Q216048
Q60769677,2020 Summer Paralympics torch relay,team sport,Q216048
Q5065608,cestoball,team sport,Q216048
Q3310686,Winchester College football,team sport,Q216048
Q108701534,2022 Winter Olympics torch relay,team sport,Q216048
Q28378697,rinkball,team sport,Q216048
Q3496619,Stanford Super Series,team sport,Q216048
Q5404795,Eton Fives,team sport,Q216048
Q7581310,sprint football,team sport,Q216048
Q17025600,1984 Summer Olympics torch relay,team sport,Q216048
Q2932029,CS Meaux (WBC),team sport,Q216048
Q3374526,pelota purépecha,team sport,Q216048
Q42317867,2018 Winter Olympics torch relay,team sport,Q216048
Q60504274,1980 Summer Olympics torch relay,team sport,Q216048
Q3744341,2006 Winter Olympics torch relay,team sport,Q216048
Q4261888,2008 Summer Paralympics torch relay,team sport,Q216048
Q4563875,1936 Summer Olympics torch relay,team sport,Q216048
Q4566348,1948 Summer Olympics torch relay,team sport,Q216048
Q4600642,2002 Winter Olympics torch relay,team sport,Q216048
Q4611985,2008 Summer Olympics torch relay route,team sport,Q216048
Q5778013,Colpbol,team sport,Q216048
Q8201921,1992 Summer Olympics torch relay,team sport,Q216048
Q131408917,2025 Australia Sevens,team sport,Q216048
Q132862858,2025 Singapore Sevens,team sport,Q216048
Q576598,2000 Summer Olympics torch relay,team sport,Q216048
