qid,label,class_label,class_qid
Q41520,Wimbledon Championships,tennis tournament,Q13219666
Q43605,French Open,tennis tournament,Q13219666
Q5377427,tennis at the 2016 Summer Olympics,tennis tournament,Q13219666
Q109317235,tennis at the 2024 Summer Olympics,tennis tournament,Q13219666
Q974505,Indian Wells Open,tennis tournament,Q13219666
Q270907,ATP Finals,tennis tournament,Q13219666
Q30822,tennis at the 2012 Summer Olympics,tennis tournament,Q13219666
Q194246,tennis at the 2008 Summer Olympics,tennis tournament,Q13219666
Q39080770,tennis at the 2020 Summer Olympics,tennis tournament,Q13219666
Q461834,Cincinnati Open,tennis tournament,Q13219666
Q331570,Hopman Cup,tennis tournament,Q13219666
Q459528,Monte-Carlo Masters,tennis tournament,Q13219666
Q431360,Miami Open,tennis tournament,Q13219666
Q1230166,Paris Masters,tennis tournament,Q13219666
Q1161519,Madrid Open (tennis),tennis tournament,Q13219666
Q728085,Shanghai Masters,tennis tournament,Q13219666
Q595467,Canadian Open,tennis tournament,Q13219666
Q319496,Italian Open,tennis tournament,Q13219666
Q220347,WTA Finals,tennis tournament,Q13219666
Q733387,tennis at the 2004 Summer Olympics,tennis tournament,Q13219666
Q244427,2011 French Open,tennis tournament,Q13219666
Q245073,2011 Wimbledon Championships,tennis tournament,Q13219666
Q733442,tennis at the 1896 Summer Olympics,tennis tournament,Q13219666
Q325307,2011 US Open,tennis tournament,Q13219666
Q754600,tennis at the 1996 Summer Olympics,tennis tournament,Q13219666
Q626613,2012 Australian Open,tennis tournament,Q13219666
Q381132,2011 Australian Open,tennis tournament,Q13219666
Q380557,2009 US Open,tennis tournament,Q13219666
Q244370,2009 Wimbledon Championships,tennis tournament,Q13219666
Q83629820,2021 Australian Open,tennis tournament,Q13219666
Q110487791,2023 Australian Open,tennis tournament,Q13219666
Q48213268,2019 Australian Open,tennis tournament,Q13219666
Q24480003,2016 US Open,tennis tournament,Q13219666
Q22077628,2017 Australian Open,tennis tournament,Q13219666
Q12780091,2014 Australian Open,tennis tournament,Q13219666
Q15851911,2014 US Open,tennis tournament,Q13219666
Q476646,2010 Australian Open,tennis tournament,Q13219666
Q476638,2010 Wimbledon Championships,tennis tournament,Q13219666
Q388303,2008 US Open,tennis tournament,Q13219666
Q568472,2010 US Open,tennis tournament,Q13219666
Q299409,Dubai Tennis Championships,tennis tournament,Q13219666
Q299382,Maharashtra Open,tennis tournament,Q13219666
Q381118,2009 French Open,tennis tournament,Q13219666
Q330022,2009 Australian Open,tennis tournament,Q13219666
Q248438,2010 French Open,tennis tournament,Q13219666
Q105404832,2022 Australian Open,tennis tournament,Q13219666
Q42557150,2018 Australian Open,tennis tournament,Q13219666
Q30085309,2018 Wimbledon Championships,tennis tournament,Q13219666
Q25344121,2017 Wimbledon Championships,tennis tournament,Q13219666
Q28836049,2017 US Open,tennis tournament,Q13219666
Q15854765,2014 Wimbledon Championships,tennis tournament,Q13219666
Q388312,2008 Wimbledon Championships,tennis tournament,Q13219666
Q299163,Barcelona Open,tennis tournament,Q13219666
Q121702,China Open,tennis tournament,Q13219666
Q61059083,2020 Australian Open,tennis tournament,Q13219666
Q111995131,2023 French Open,tennis tournament,Q13219666
Q54093953,2019 Wimbledon Championships,tennis tournament,Q13219666
Q50391517,2018 US Open,tennis tournament,Q13219666
Q57063604,2019 US Open,tennis tournament,Q13219666
Q18413459,2015 US Open,tennis tournament,Q13219666
Q20127632,2016 Wimbledon Championships,tennis tournament,Q13219666
Q17482052,2015 Australian Open,tennis tournament,Q13219666
Q832010,tennis at the 1900 Summer Olympics,tennis tournament,Q13219666
Q546172,tennis at the 1992 Summer Olympics,tennis tournament,Q13219666
Q678730,2013 Australian Open,tennis tournament,Q13219666
Q562043,tennis at the 1988 Summer Olympics,tennis tournament,Q13219666
Q299701,Rotterdam Open,tennis tournament,Q13219666
Q299603,Kremlin Cup,tennis tournament,Q13219666
Q299174,Swiss Indoors,tennis tournament,Q13219666
Q741560,2012 US Open,tennis tournament,Q13219666
Q265586,Croatia Open,tennis tournament,Q13219666
Q117156618,tennis at the 2024 Summer Olympics – men's singles,tennis tournament,Q13219666
Q107026465,2022 French Open,tennis tournament,Q13219666
Q98833450,2021 US Open,tennis tournament,Q13219666
Q114750854,2023 US Open,tennis tournament,Q13219666
Q54197608,2019 French Open,tennis tournament,Q13219666
Q18411787,2015 French Open,tennis tournament,Q13219666
Q30085136,2018 French Open,tennis tournament,Q13219666
Q18410121,2015 Wimbledon Championships,tennis tournament,Q13219666
Q24387175,2017 French Open,tennis tournament,Q13219666
Q15700964,2014 French Open,tennis tournament,Q13219666
Q2471850,2013 US Open,tennis tournament,Q13219666
Q661494,tennis at the 2000 Summer Olympics,tennis tournament,Q13219666
Q755314,Charleston Open,tennis tournament,Q13219666
Q746669,2007 Wimbledon Championships,tennis tournament,Q13219666
Q3153409,2013 French Open,tennis tournament,Q13219666
Q577107,2008 Australian Open,tennis tournament,Q13219666
Q559726,2013 Wimbledon Championships,tennis tournament,Q13219666
Q299745,Stockholm Open,tennis tournament,Q13219666
Q299685,Queen's Club Championships,tennis tournament,Q13219666
Q289587,2012 Wimbledon Championships,tennis tournament,Q13219666
Q264806,Brisbane International,tennis tournament,Q13219666
Q241184,2006 Wimbledon Championships,tennis tournament,Q13219666
Q277655,2008 French Open,tennis tournament,Q13219666
Q373296,tennis at the 1904 Summer Olympics,tennis tournament,Q13219666
Q300007,Erste Bank Open,tennis tournament,Q13219666
