qid,label,class_label,class_qid
Q3125096,Meiji era,term of office,Q524572
Q17993147,Reign of Cleopatra VII,term of office,Q524572
Q2638796,reign of Isabella II of Spain,term of office,Q524572
Q19803580,Premiership of Narendra Modi,term of office,Q524572
Q121609416,Second premiership of Mahathir Mohamad,term of office,Q524572
Q5791139,final crisis of the reign of Isabella II,term of office,Q524572
Q5881989,Gobierno del Cerrito,term of office,Q524572
Q16230458,Premiership of Fidel Castro,term of office,Q524572
Q68630590,premiership of Boris Johnson,term of office,Q524572
Q7240404,premiership of Tony Blair,term of office,Q524572
Q7240397,premiership of Margaret Thatcher,term of office,Q524572
Q7240391,premiership of David Cameron,term of office,Q524572
Q17628467,reign of Alfonso XIII of Spain,term of office,Q524572
Q114069870,premiership of Liz Truss,term of office,Q524572
Q7635437,Suiko period,term of office,Q524572
Q7240394,Premiership of John Edward Brownlee,term of office,Q524572
Q6504651,Premiership of Abhisit Vejjajiva,term of office,Q524572
Q16173567,Cabinet of Park Geun-hye,term of office,Q524572
Q131417064,First premiership of Mahathir Mohamad,term of office,Q524572
Q127109010,Premiership of Keir Starmer,term of office,Q524572
Q114841869,premiership of Rishi Sunak,term of office,Q524572
Q106901187,reign of Alfonso XII of Spain,term of office,Q524572
Q3404034,Reign of Juan Carlos I of Spain,term of office,Q524572
Q7240395,premiership of Gordon Brown,term of office,Q524572
Q6897336,Monmu period,term of office,Q524572
Q6504671,Premiership of Thaksin Shinawatra,term of office,Q524572
Q6203354,Jitō period,term of office,Q524572
Q27629645,premiership of Theresa May,term of office,Q524572
Q17333773,Premiership of José María Aznar,term of office,Q524572
Q17333777,Premiership of Felipe González,term of office,Q524572
Q85794369,Premiership of Recep Tayyip Erdoğan,term of office,Q524572
Q133521558,Premiership of Khaleda Zia,term of office,Q524572
Q131703674,General secretaryship of Mikhail Gorbachev,term of office,Q524572
Q113485220,Premiership of Jack McConnell,term of office,Q524572
Q5545545,George W. Bush's second term as President of the United States,term of office,Q524572
Q5545542,George W. Bush's first term as President of the United States,term of office,Q524572
Q5373963,Reign of Marcus Aurelius,term of office,Q524572
Q3577286,Tenji period,term of office,Q524572
Q3577284,Saimei period,term of office,Q524572
Q3577281,Kōbun,term of office,Q524572
Q2842201,Ochenio,term of office,Q524572
Q7698143,Tenmu period,term of office,Q524572
Q7240403,premierships of William Ewart Gladstone,term of office,Q524572
Q7240393,premierships of Benjamin Disraeli,term of office,Q524572
Q7240401,Premiership of Stephen Harper,term of office,Q524572
Q7240398,Premiership of Meles Zenawi,term of office,Q524572
Q7240396,Premiership of Lal Bahadur Shastri,term of office,Q524572
Q7240392,Premiership of Atal Bihari Vajpayee,term of office,Q524572
Q39086283,Premiership of Mariano Rajoy,term of office,Q524572
Q22080026,Premiership of Justin Trudeau,term of office,Q524572
Q20972086,Tiberian era,term of office,Q524572
Q97355066,Premiership of Nikol Pashinyan,term of office,Q524572
Q85794365,Premiership of Jason Kenney,term of office,Q524572
Q85794360,Premiership of Doug Ford,term of office,Q524572
Q133273273,Premiership of Mark Carney,term of office,Q524572
Q131904714,Second presidency of John Mahama,term of office,Q524572
Q130749429,Premiership of José Luis Rodríguez Zapatero,term of office,Q524572
Q126008146,Premiership of John Swinney,term of office,Q524572
Q117556491,Premiership of Humza Yousaf,term of office,Q524572
Q108749946,Premiership of Pedro Sánchez,term of office,Q524572
Q107324958,Premiership of Alex Salmond,term of office,Q524572
Q106906327,Premiership of Nicola Sturgeon,term of office,Q524572
Q104841193,premiership of John Major,term of office,Q524572
Q104834797,Premiership of VP Singh,term of office,Q524572
Q138008589,Reign of Augustus,term of office,Q524572
Q137760091,Presidency of Ayub Khan,term of office,Q524572
Q135983973,premierships of Harold Wilson,term of office,Q524572
Q27809653,first presidency of Donald Trump,term of office,Q524572
Q130979044,second presidency of Donald Trump,term of office,Q524572
Q101369347,presidency of Joe Biden,term of office,Q524572
Q1379733,presidency of Barack Obama,term of office,Q524572
Q2824573,presidency of Ronald Reagan,term of office,Q524572
Q1719918,presidency of George W. Bush,term of office,Q524572
Q2824580,presidency of George Washington,term of office,Q524572
Q2824575,presidency of Harry S. Truman,term of office,Q524572
Q7241091,presidency of Abraham Lincoln,term of office,Q524572
Q2824550,presidency of Bill Clinton,term of office,Q524572
Q2824547,presidency of Jimmy Carter,term of office,Q524572
Q2824562,presidency of John F. Kennedy,term of office,Q524572
Q4206678,presidency of Thomas Jefferson,term of office,Q524572
Q7241094,presidency of Dwight D. Eisenhower,term of office,Q524572
Q29092466,presidency of John Adams,term of office,Q524572
Q7241106,presidency of Richard Nixon,term of office,Q524572
Q2824551,presidency of Gerald Ford,term of office,Q524572
Q2824579,presidency of Woodrow Wilson,term of office,Q524572
Q16843875,history of the Philippines (1965–1986),term of office,Q524572
Q1720438,presidency of Martin Van Buren,term of office,Q524572
Q2824539,presidency of Andrew Johnson,term of office,Q524572
Q2824548,presidency of Franklin D. Roosevelt,term of office,Q524572
Q2824567,presidency of James Monroe,term of office,Q524572
Q2824558,presidency of John Quincy Adams,term of office,Q524572
Q20708389,presidency of Andrew Jackson,term of office,Q524572
Q29075153,presidency of James Madison,term of office,Q524572
Q1719914,presidency of George H. W. Bush,term of office,Q524572
Q1720135,presidency of William McKinley,term of office,Q524572
Q4502380,Brazilian Military Junta of 1930,term of office,Q524572
Q2824544,presidency of James Buchanan,term of office,Q524572
Q25245979,presidency of Warren G. Harding,term of office,Q524572
Q2824549,presidency of Millard Fillmore,term of office,Q524572
Q7241110,presidency of Theodore Roosevelt,term of office,Q524572
Q7241112,presidency of Ulysses S. Grant,term of office,Q524572
Q2824570,presidency of James K. Polk,term of office,Q524572
Q2824563,presidency of Lyndon B. Johnson,term of office,Q524572
Q2824576,presidency of John Tyler,term of office,Q524572
Q29092769,presidency of Rutherford B. Hayes,term of office,Q524572
Q29092765,presidency of William Howard Taft,term of office,Q524572
Q3401886,first presidency of Grover Cleveland,term of office,Q524572
Q3477156,second presidency of Grover Cleveland,term of office,Q524572
Q5665492,presidency of Benjamin Harrison,term of office,Q524572
Q125873506,2025 Polish Presidency of the Council of the European Union,term of office,Q524572
Q2824569,presidency of Franklin Pierce,term of office,Q524572
Q2824553,presidency of James A. Garfield,term of office,Q524572
Q2824574,presidency of Zachary Taylor,term of office,Q524572
Q2824578,presidency of William Henry Harrison,term of office,Q524572
Q29109909,presidency of Chester A. Arthur,term of office,Q524572
Q80450277,2020 Croatian Presidency of the Council of the European Union,term of office,Q524572
Q85737941,2021 Slovenian Presidency of the Council of the European Union,term of office,Q524572
Q6648406,2013 Lithuanian Presidency of the Council of the European Union,term of office,Q524572
Q29057270,presidency of Herbert Hoover,term of office,Q524572
Q29109910,presidency of Calvin Coolidge,term of office,Q524572
Q3409135,presidency of Nicolas Sarkozy,term of office,Q524572
Q90143782,2020 German Presidency of the Council of the European Union,term of office,Q524572
Q97162452,Lacalle Pou Cabinet,term of office,Q524572
Q18620925,2017 Estonian Presidency of the Council of the European Union,term of office,Q524572
Q2457589,2009 Czech Presidency of the Council of the European Union,term of office,Q524572
Q124059829,2024 Belgian Presidency of the Council of the European Union,term of office,Q524572
Q125873504,2024 Hungarian Presidency of the Council of the European Union,term of office,Q524572
Q125873495,2025 Danish Presidency of the Council of the European Union,term of office,Q524572
Q7241103,presidency of Nelson Mandela,term of office,Q524572
Q7723137,Presidency of Rafael Correa,term of office,Q524572
Q110014438,2022 French Presidency of the Council of the European Union,term of office,Q524572
Q110988898,2022 Czech Presidency of the Council of the European Union,term of office,Q524572
Q57980933,2019 Romanian Presidency of the Council of the European Union,term of office,Q524572
Q134701427,Lee Jae-myung government,term of office,Q524572
Q219654,27th Canadian Ministry,term of office,Q524572
Q3409132,presidency of Evo Morales,term of office,Q524572
Q6017754,Minority of Isabella II of Spain,term of office,Q524572
Q6514633,Lee Myung-bak Government,term of office,Q524572
Q120083073,2023 Spanish Presidency of the Council of the European Union,term of office,Q524572
Q105123587,2021 Portuguese Presidency of the Council of the European Union,term of office,Q524572
Q112820269,2023 Swedish Presidency of the Council of the European Union,term of office,Q524572
Q114950649,second presidency of Lula da Silva,term of office,Q524572
Q22249114,presidency of François Hollande,term of office,Q524572
Q24884049,presidency of Rodrigo Duterte,term of office,Q524572
Q25938466,2017 Maltese Presidency of the Council of the European Union,term of office,Q524572
Q27333215,presidencies of Grover Cleveland,term of office,Q524572
Q28527701,2018 Austrian Presidency of the Council of the European Union,term of office,Q524572
Q28526868,2018 Bulgarian Presidency of the Council of the European Union,term of office,Q524572
Q3114993,Grande Noirceur,term of office,Q524572
Q56525827,2019 Finnish Presidency of the Council of the European Union,term of office,Q524572
Q131338606,Presidency of Yamandú Orsi,term of office,Q524572
Q219051,26th Canadian Ministry,term of office,Q524572
Q218926,first presidency of Lula da Silva,term of office,Q524572
Q4376833,First presidential term of Vladimir Putin,term of office,Q524572
Q61056394,government of Castelo Branco,term of office,Q524572
Q98926864,government of Artur Bernardes,term of office,Q524572
Q99078442,government of Eurico Gaspar Dutra,term of office,Q524572
Q99232274,"government of Getúlio Vargas (second administration, 1951 - 1954)",term of office,Q524572
Q19906668,Third presidential term of Vladimir Putin,term of office,Q524572
Q10290765,government of Ernesto Geisel,term of office,Q524572
Q10290767,government of Fernando Henrique Cardoso,term of office,Q524572
Q10290768,government of Itamar Franco,term of office,Q524572
Q10290776,government of José Sarney,term of office,Q524572
Q10290769,government of Juscelino Kubitschek,term of office,Q524572
Q103954139,Second presidency of Tabaré Vázquez,term of office,Q524572
Q28493908,Presidency of Charles de Gaulle,term of office,Q524572
Q3111906,Presidency of Jorge Batlle,term of office,Q524572
Q3112302,Presidency of José Mujica,term of office,Q524572
Q56274194,presidency of Andrés Manuel López Obrador,term of office,Q524572
Q60849973,Fourth presidential term of Vladimir Putin,term of office,Q524572
Q1000974,Interim governorship of Joaquín Suárez,term of office,Q524572
Q1001246,Presidency of Manuel Oribe,term of office,Q524572
Q1001000,Provisional government of José Rondeau,term of office,Q524572
Q3740007,Second presidency of Carlos Andrés Pérez,term of office,Q524572
Q97663062,Second presidential term of Vladimir Putin,term of office,Q524572
Q16839819,governorship of Ronald Reagan,term of office,Q524572
Q16933542,Presidency of Hafez al-Assad,term of office,Q524572
Q6231264,John Edward Brownlee as Attorney-General of Alberta,term of office,Q524572
Q120913234,Governorship of Ron DeSantis,term of office,Q524572
Q121094104,Jacques Chirac's second presidential term,term of office,Q524572
Q124707332,Lai Ching-te government,term of office,Q524572
Q124985972,Fifth presidential term of Vladimir Putin,term of office,Q524572
Q10290764,Presidency of Collor de Mello,term of office,Q524572
Q10290763,government of Dilma Rousseff,term of office,Q524572
Q104539887,presidency of John Atta Mills,term of office,Q524572
Q113840446,Emmanuel Macron's first presidential term,term of office,Q524572
Q113840908,Emmanuel Macron's second presidential term,term of office,Q524572
Q24070164,government of Michel Temer,term of office,Q524572
Q131417923,Presidency of Bashar al-Assad,term of office,Q524572
Q5589794,Governorship of Chris Christie,term of office,Q524572
Q5589795,governorship of George W. Bush,term of office,Q524572
Q5589798,Governorship of Rick Perry,term of office,Q524572
Q17086635,presidency of Fidel V. Ramos,term of office,Q524572
Q5589801,governorship of Sarah Palin,term of office,Q524572
Q7241092,presidency of Benigno Aquino III,term of office,Q524572
