qid,label,class_label,class_qid
Q45178,Sydney Opera House,theatre,Q24354
Q5471,La Scala,theatre,Q24354
Q187840,Palais Garnier,theatre,Q24354
Q55018,Royal Opera House,theatre,Q24354
Q207028,Mariinsky Theatre,theatre,Q24354
Q28964,Auditorio de Tenerife,theatre,Q24354
Q209937,Vienna State Opera house,theatre,Q24354
Q272434,Globe Theatre,theatre,Q24354
Q223942,Teatro La Fenice,theatre,Q24354
Q628491,Teatro di San Carlo,theatre,Q24354
Q641556,Verona Arena,theatre,Q24354
Q43280,Oslo Opera House,theatre,Q24354
Q638423,Opéra Bastille,theatre,Q24354
Q127097,Semperoper,theatre,Q24354
Q48623,Azerbaijan State Academic Opera and Ballet Theater,theatre,Q24354
Q36833,Hungarian State Opera House,theatre,Q24354
Q312576,Berlin State Opera,theatre,Q24354
Q46812956,Theatre of Thorikos,theatre,Q24354
Q827401,Colón Theater,theatre,Q24354
Q860188,National Centre for the Performing Arts,theatre,Q24354
Q1227044,Theatre of Dionysus,theatre,Q24354
Q329133,Bayreuth Festival Theatre,theatre,Q24354
Q278908,Margravial Opera House,theatre,Q24354
Q1139081,Palace of Fine arts,theatre,Q24354
Q2596393,Tbilisi Opera and Ballet Theatre,theatre,Q24354
Q1328165,Odeon of Herodes Atticus,theatre,Q24354
Q268151,Croatian National Theatre in Zagreb,theatre,Q24354
Q211250,Teatro Real,theatre,Q24354
Q838297,Copenhagen Opera House,theatre,Q24354
Q608198,Ancient Theatre of Epidaurus,theatre,Q24354
Q2373326,Yerevan Opera Theater,theatre,Q24354
Q670406,Zürich Opera House,theatre,Q24354
Q637834,Deutsche Oper Berlin,theatre,Q24354
Q588377,Teatro Argentina,theatre,Q24354
Q694747,Vienna Volksoper,theatre,Q24354
Q1469315,Théâtre du Châtelet,theatre,Q24354
Q261439,Teatro Massimo Vittorio Emanuele,theatre,Q24354
Q1130050,Gran Teatre del Liceu,theatre,Q24354
Q1847119,National Theatre in Belgrade,theatre,Q24354
Q195513,Odesa Opera and Ballet Theater,theatre,Q24354
Q687694,Komische Oper Berlin,theatre,Q24354
Q1246092,Lviv Theatre of Opera and Ballet,theatre,Q24354
Q521155,Estates Theatre,theatre,Q24354
Q976218,Hollywood Bowl,theatre,Q24354
Q705453,Hamburg State Opera,theatre,Q24354
Q21371563,Astana Opera,theatre,Q24354
Q582203,Athens Concert Hall,theatre,Q24354
Q1434444,Amazon Theatre,theatre,Q24354
Q747342,Palau de les Arts Reina Sofia,theatre,Q24354
Q597749,Baku Puppet Theatre,theatre,Q24354
Q551479,Royal Theatre of La Monnaie,theatre,Q24354
Q1868965,London Coliseum,theatre,Q24354
Q1325611,Shanghai Grand Theatre,theatre,Q24354
Q576808,Royal Opera House,theatre,Q24354
Q607681,Royal Danish Theatre,theatre,Q24354
Q1886083,State Opera Prague,theatre,Q24354
Q1577048,Opéra de Monte-Carlo,theatre,Q24354
Q2297627,Municipal Theater of São Paulo,theatre,Q24354
Q165636,Theater am Kärntnertor,theatre,Q24354
Q1186561,Vakhtangov Theatre,theatre,Q24354
Q1461939,Gran Teatro de La Habana,theatre,Q24354
