qid,label,class_label,class_qid
Q38414,.az,top level domain,Q14296
Q41104,.tr,top level domain,Q14296
Q37407,.af,top level domain,Q14296
Q37893,.gr,top level domain,Q14296
Q37239,.ae,top level domain,Q14296
Q36552,.ad,top level domain,Q14296
Q36541,.ru,top level domain,Q14296
Q37245,.am,top level domain,Q14296
Q8391,.ac,top level domain,Q14296
Q41774,.ir,top level domain,Q14296
Q39889,.br,top level domain,Q14296
Q39218,.in,top level domain,Q14296
Q37861,.us,top level domain,Q14296
Q37539,.ag,top level domain,Q14296
Q37420,.au,top level domain,Q14296
Q39582,Q39582,top level domain,Q14296
Q38300,.ar,top level domain,Q14296
Q38291,.al,top level domain,Q14296
Q37251,.de,top level domain,Q14296
Q37271,.fr,top level domain,Q14296
Q40619,.kz,top level domain,Q14296
Q39132,.jp,top level domain,Q14296
Q39006,.ao,top level domain,Q14296
Q39661,.ba,top level domain,Q14296
Q39509,.dk,top level domain,Q14296
Q37883,.es,top level domain,Q14296
Q37715,.at,top level domain,Q14296
Q40656,.ua,top level domain,Q14296
Q40467,.il,top level domain,Q14296
Q41851,.sg,top level domain,Q14296
Q39773,.be,top level domain,Q14296
Q39155,.it,top level domain,Q14296
Q39144,.bd,top level domain,Q14296
Q38900,.cn,top level domain,Q14296
Q43117,.qa,top level domain,Q14296
Q37913,.uk,top level domain,Q14296
Q41016,.aq,top level domain,Q14296
Q40689,.ai,top level domain,Q14296
Q37531,.cz,top level domain,Q14296
Q37164,.fi,top level domain,Q14296
Q40442,.se,top level domain,Q14296
Q39885,.cl,top level domain,Q14296
Q39870,.by,top level domain,Q14296
Q39382,.ie,top level domain,Q14296
Q41433,.sa,top level domain,Q14296
Q43132,.om,top level domain,Q14296
Q41039,.dz,top level domain,Q14296
Q41107,.eu,top level domain,Q14296
Q41102,.id,top level domain,Q14296
Q37907,.pl,top level domain,Q14296
Q40622,.hu,top level domain,Q14296
Q42695,.ke,top level domain,Q14296
Q42286,.zw,top level domain,Q14296
Q39993,.bh,top level domain,Q14296
Q60117,.sn,top level domain,Q14296
Q41842,.zm,top level domain,Q14296
Q41840,.ph,top level domain,Q14296
Q41835,.lb,top level domain,Q14296
Q39906,.cg,top level domain,Q14296
Q39539,.bb,top level domain,Q14296
Q41731,.as,top level domain,Q14296
Q41723,.kg,top level domain,Q14296
Q39676,.ch,top level domain,Q14296
Q41439,.ma,top level domain,Q14296
Q43163,.tn,top level domain,Q14296
Q41442,.aw,top level domain,Q14296
Q43150,.pk,top level domain,Q14296
Q39029,.bg,top level domain,Q14296
Q41060,.no,top level domain,Q14296
Q41047,.kh,top level domain,Q14296
Q40683,.ge,top level domain,Q14296
Q42677,.ro,top level domain,Q14296
Q40514,.bs,top level domain,Q14296
Q42634,.jo,top level domain,Q14296
Q41926,.la,top level domain,Q14296
Q41988,.bi,top level domain,Q14296
Q41853,.kr,top level domain,Q14296
Q41846,.uz,top level domain,Q14296
Q39903,.bz,top level domain,Q14296
Q41768,.iq,top level domain,Q14296
Q43824,.tw,top level domain,Q14296
Q39878,.fj,top level domain,Q14296
Q41636,.mm,top level domain,Q14296
Q41634,.gh,top level domain,Q14296
Q43753,.mv,top level domain,Q14296
Q39657,.co,top level domain,Q14296
Q43159,.tz,top level domain,Q14296
Q38908,.ee,top level domain,Q14296
Q43133,.th,top level domain,Q14296
Q41191,.cf,top level domain,Q14296
Q43127,.my,top level domain,Q14296
Q41113,.ec,top level domain,Q14296
Q43081,.td,top level domain,Q14296
Q42873,.mn,top level domain,Q14296
Q493202,.nl,top level domain,Q14296
Q41035,.lk,top level domain,Q14296
Q40979,.mx,top level domain,Q14296
Q42778,.sy,top level domain,Q14296
Q40698,.cm,top level domain,Q14296
