qid,label,class_label,class_qid
Q1968,Formula One,tournament,Q500834
Q284163,2022 FIFA World Cup,tournament,Q500834
Q260858,UEFA European Championship,tournament,Q500834
Q18760,UEFA Europa League,tournament,Q500834
Q13394,Ligue 1,tournament,Q500834
Q15098367,UEFA Euro 2024,tournament,Q500834
Q178750,Copa América,tournament,Q500834
Q223366,FIFA Club World Cup,tournament,Q500834
Q182165,Russian Premier League,tournament,Q500834
Q483794,Copa del Rey,tournament,Q500834
Q132377,Davis Cup,tournament,Q500834
Q19323,FIFA Women's World Cup,tournament,Q500834
Q182653,World Athletics Championships,tournament,Q500834
Q40241,UEFA Cup Winners' Cup,tournament,Q500834
Q32096,Super Bowl,tournament,Q500834
Q189327,CONCACAF Gold Cup,tournament,Q500834
Q184795,Copa Libertadores,tournament,Q500834
Q16640,Rugby World Cup,tournament,Q500834
Q150880,DFB-Pokal,tournament,Q500834
Q26001,FIBA Basketball World Cup,tournament,Q500834
Q207729,2011 Copa América,tournament,Q500834
Q190163,Ice Hockey World Championships,tournament,Q500834
Q182068,UEFA Intertoto Cup,tournament,Q500834
Q206984,Billie Jean King Cup,tournament,Q500834
Q319565,Formula E,tournament,Q500834
Q212412,Coupe de France,tournament,Q500834
Q459459,UEFA Women's Championship,tournament,Q500834
Q31189411,2018 FIFA World Cup Group C,tournament,Q500834
Q31189405,2018 FIFA World Cup Group A,tournament,Q500834
Q213070,OFC Nations Cup,tournament,Q500834
Q245375,Inter-Cities Fairs Cup,tournament,Q500834
Q43214817,2018 FIFA World Cup Group G,tournament,Q500834
Q43214797,2018 FIFA World Cup Group F,tournament,Q500834
Q31189412,2018 FIFA World Cup Group D,tournament,Q500834
Q31189406,2018 FIFA World Cup Group B,tournament,Q500834
Q31189413,2018 FIFA World Cup Group E,tournament,Q500834
Q201891,FIFA U-20 World Cup,tournament,Q500834
Q273469,FINA World Aquatics Championships,tournament,Q500834
Q43214843,2018 FIFA World Cup Group H,tournament,Q500834
Q43214603,2018 FIFA World Cup knockout stage,tournament,Q500834
Q725963,1916 South American Championship,tournament,Q500834
Q36110353,UEFA Women's Euro 2022,tournament,Q500834
Q206201,Pacific Division,tournament,Q500834
Q383272,2007 Copa América,tournament,Q500834
Q725909,World Women's Handball Championship,tournament,Q500834
Q188578,2010 FIFA World Cup Group C,tournament,Q500834
Q506424,UCI Road World Championships,tournament,Q500834
Q187411,2010 FIFA World Cup Group B,tournament,Q500834
Q17625373,2018 FIFA World Cup qualification (UEFA),tournament,Q500834
Q189028,2010 FIFA World Cup Group H,tournament,Q500834
Q326418,FIFA Futsal World Cup,tournament,Q500834
Q188591,2010 FIFA World Cup Group F,tournament,Q500834
Q188594,2010 FIFA World Cup Group E,tournament,Q500834
Q188599,2010 FIFA World Cup Group A,tournament,Q500834
Q188585,2010 FIFA World Cup Group G,tournament,Q500834
Q188571,2010 FIFA World Cup Group D,tournament,Q500834
Q60585,Copa Sudamericana,tournament,Q500834
Q426247,1917 South American Championship,tournament,Q500834
Q638908,Atlantic Division,tournament,Q500834
Q745984,Central Division,tournament,Q500834
Q635007,1919 South American Championship,tournament,Q500834
Q83335,CONCACAF Champions Cup,tournament,Q500834
Q735014,Copa América 2004,tournament,Q500834
Q723639,Northwest Division,tournament,Q500834
Q545012,2001 Copa América,tournament,Q500834
Q309168,European Women's Handball Championship,tournament,Q500834
Q684138,FIBA Women's Basketball World Cup,tournament,Q500834
Q318443,VIVA World Cup,tournament,Q500834
Q22669035,FIVB Volleyball Men's World Championship,tournament,Q500834
Q7378331,rugby sevens at the 2016 Summer Olympics,tournament,Q500834
Q10260330,2014 FIFA World Cup Group A,tournament,Q500834
Q1128219,Men's FIH Hockey World Cup,tournament,Q500834
Q755059,1920 South American Championship,tournament,Q500834
Q391166,Southwest Division,tournament,Q500834
Q217000,Deutsche Tourenwagen Masters,tournament,Q500834
Q639928,Southeast Division,tournament,Q500834
Q245286,FIFA Under-17 World Cup,tournament,Q500834
Q244276,2014 FIFA World Cup qualification (UEFA),tournament,Q500834
Q208744,GP2 Series,tournament,Q500834
Q595275,Finalissima,tournament,Q500834
Q837728,1989 Copa América,tournament,Q500834
Q687214,Formula Two,tournament,Q500834
Q10260337,2014 FIFA World Cup Group H,tournament,Q500834
Q10260331,2014 FIFA World Cup Group C,tournament,Q500834
Q10260332,2014 FIFA World Cup Group B,tournament,Q500834
Q211814,2010 FIFA World Cup qualification (UEFA),tournament,Q500834
