qid,label,class_label,class_qid
Q243,Eiffel Tower,tower,Q12518
Q9202,Statue of Liberty,tower,Q12518
Q39054,Leaning Tower of Pisa,tower,Q12518
Q1030463,Mode Gakuen Cocoon Tower,tower,Q12518
Q41225,Big Ben,tower,Q12518
Q134883,CN Tower,tower,Q12518
Q57965,Tokyo Skytree,tower,Q12518
Q183536,Tokyo Tower,tower,Q12518
Q189476,Abraj Al Bait,tower,Q12518
Q151356,Fernsehturm Berlin,tower,Q12518
Q916943,Prahadisvarar Temple,tower,Q12518
Q168400,Canton Tower,tower,Q12518
Q223207,Oriental Pearl Tower,tower,Q12518
Q622796,Milad Tower,tower,Q12518
Q729370,Prague Astronomical Clock,tower,Q12518
Q5317,Space Needle,tower,Q12518
Q1424358,Meenakshi Temple,tower,Q12518
Q208234,Broadway Tower,tower,Q12518
Q1047061,Giant Wild Goose Pagoda,tower,Q12518
Q253241,Su Nuraxi di Barumini,tower,Q12518
Q372717,Tower of the Winds,tower,Q12518
Q837291,Bridge of the Slovak National Uprising,tower,Q12518
Q754194,St Mark's Campanile,tower,Q12518
Q1369185,Kyiv TV Tower,tower,Q12518
Q845846,"The STRAT Hotel, Casino & SkyPod",tower,Q12518
Q827268,Sydney Tower,tower,Q12518
Q1121720,Warsaw radio mast,tower,Q12518
Q1420569,Pikk Hermann,tower,Q12518
Q336310,Skull Tower,tower,Q12518
Q662367,Shukhov Tower,tower,Q12518
Q2416732,Spasskaya Tower,tower,Q12518
Q1140534,Rundetaarn,tower,Q12518
Q957441,Ivan the Great Bell Tower,tower,Q12518
Q1568304,Macau Tower,tower,Q12518
Q1413217,Žižkov Television Tower,tower,Q12518
Q804210,Bayterek,tower,Q12518
Q686544,Donauturm,tower,Q12518
Q2166466,Söyembikä Tower,tower,Q12518
Q1140023,Giotto's Campanile,tower,Q12518
Q753230,Atakule,tower,Q12518
Q1120886,KVLY-TV mast,tower,Q12518
Q2441211,Belfry of Bruges,tower,Q12518
Q797085,BT Tower,tower,Q12518
Q246105,Zytglogge,tower,Q12518
Q19401632,Dwejra Tower,tower,Q12518
Q1148463,Tsūtenkaku,tower,Q12518
Q969215,Euromast,tower,Q12518
Q880905,Blackpool Tower,tower,Q12518
Q798766,Kobe Port Tower,tower,Q12518
Q1208032,Skylon Tower,tower,Q12518
Q12256,Petřín Lookout Tower,tower,Q12518
Q2090752,NTT Docomo Yoyogi Building,tower,Q12518
Q966625,St Mark's Clocktower,tower,Q12518
Q1107297,Coit Tower,tower,Q12518
Q3696052,İzmir Clock Tower,tower,Q12518
Q1201304,Kyoto Tower,tower,Q12518
Q631871,ArcelorMittal Orbit,tower,Q12518
Q498583,Kiipsaare Lighthouse,tower,Q12518
Q1190334,Näsinneula tower,tower,Q12518
Q599148,Olympiaturm,tower,Q12518
Q699724,Funkturm Berlin,tower,Q12518
Q14058,Fernsehturm Stuttgart,tower,Q12518
Q7943424,Vukovar water tower,tower,Q12518
Q2387534,main building of Moscow State University,tower,Q12518
Q862890,Chicago Water Tower,tower,Q12518
Q1129608,Ještěd Tower,tower,Q12518
Q541846,Spinnaker Tower,tower,Q12518
Q692288,"Clock Tower in Tsim Sha Tsui, Hong Kong",tower,Q12518
Q3323339,"Independence Monument, Ashgabat",tower,Q12518
Q1721899,Kaknästornet,tower,Q12518
Q2474224,Tirana Clock Tower,tower,Q12518
Q1207989,Yokohama Marine Tower,tower,Q12518
Q570385,Torre Monumental,tower,Q12518
Q1026689,Calgary Tower,tower,Q12518
Q2118734,West Pearl Tower,tower,Q12518
Q1786361,Town Hall Tower,tower,Q12518
Q2234463,Leaning Tower of Toruń,tower,Q12518
Q2547165,Torre delle Milizie,tower,Q12518
Q2502406,Virupaksha Temple,tower,Q12518
Q2018608,Oldehove,tower,Q12518
Q1407277,Kamzík TV Tower,tower,Q12518
Q1581102,Tiger Hill Pagoda,tower,Q12518
Q2919379,Jaffa Clock Tower,tower,Q12518
Q2381859,Dormition Cathedral,tower,Q12518
Q2368198,Torrazzo of Cremona,tower,Q12518
Q1151087,Bell Tower of Xi'an,tower,Q12518
Q1818013,Dolmabahçe Clock Tower,tower,Q12518
Q699832,Heini Klopfer Ski Jump,tower,Q12518
Q667696,Clock Tower of Botevgrad,tower,Q12518
Q2742315,Drum Tower of Xi'an,tower,Q12518
Q1786037,Wrocław water tower,tower,Q12518
Q1343398,Clock Tower of Bitola,tower,Q12518
Q1897266,Martinitoren,tower,Q12518
Q909541,Yangguan,tower,Q12518
Q897712,Great Lavra Bell Tower,tower,Q12518
Q923376,Broch of Mousa,tower,Q12518
Q132031,Leaning Tower of Suurhusen,tower,Q12518
Q7884143,King Alfred's Tower,tower,Q12518
Q3116957,Gros Horloge,tower,Q12518
Q3394745,Yıldız Clock Tower,tower,Q12518
Q2265902,Guinigi Tower,tower,Q12518
Q2501338,Water Tower of Chișinău,tower,Q12518
Q383061,OTE Tower,tower,Q12518
Q1557132,Clock Tower of Sighișoara,tower,Q12518
Q778390,Gerbrandy Tower,tower,Q12518
Q65245,Zhongyuan Tower,tower,Q12518
Q625,Metallic tower of Fourvière,tower,Q12518
Q3071089,Ryōunkaku,tower,Q12518
Q15735566,Puijo tower,tower,Q12518
Q3509014,Clock tower,tower,Q12518
Q2382926,Leaning Tower of Nevyansk,tower,Q12518
Q1140619,Sapporo Clock Tower,tower,Q12518
Q8080275,İzmit Clock Tower,tower,Q12518
