qid,label,class_label,class_qid
Q1435,Zagreb,town,Q3957
Q34217,Oxford,town,Q3957
Q350,Cambridge,town,Q3957
Q66485,Jaipur,town,Q3957
Q42462,York,town,Q3957
Q3992,Liège,town,Q3957
Q1722,Dubrovnik,town,Q3957
Q41262,Nottingham,town,Q3957
Q1663,Split,town,Q3957
Q83065,Leicester,town,Q3957
Q1647,Rijeka,town,Q3957
Q25579,Umeå,town,Q3957
Q3370,Zadar,town,Q3957
Q25413,Linköping,town,Q3957
Q130191,Norwich,town,Q3957
Q4656,Pula,town,Q3957
Q29303,Canterbury,town,Q3957
Q131491,Brighton,town,Q3957
Q43475,Derby,town,Q3957
Q178382,Jūrmala,town,Q3957
Q134672,Exeter,town,Q3957
Q161491,Reading,town,Q3957
Q1640,Osijek,town,Q3957
Q170497,Gloucester,town,Q3957
Q180803,Truro,town,Q3957
Q172157,Winchester,town,Q3957
Q170263,Chester,town,Q3957
Q187284,Hurghada,town,Q3957
Q179224,Dover,town,Q3957
Q171810,Alanya,town,Q3957
Q644,Sharm el-Sheikh,town,Q3957
Q180057,Lincoln,town,Q3957
Q179815,Durham,town,Q3957
Q1646181,Worcester,town,Q3957
Q3549,Šibenik,town,Q3957
Q200017,Vijayawada,town,Q3957
Q184775,Ipswich,town,Q3957
Q200340,Udaipur,town,Q3957
Q488004,Palm Springs,town,Q3957
Q5867,Vukovar,town,Q3957
Q201516,Miami Beach,town,Q3957
Q3617,Karlovac,town,Q3957
Q192896,Carlisle,town,Q3957
Q207639,Chichester,town,Q3957
Q204720,Hereford,town,Q3957
Q14891,Suhl,town,Q3957
Q192240,Northampton,town,Q3957
Q184163,Colchester,town,Q3957
Q5420,Varaždin,town,Q3957
Q200311,Mathura,town,Q3957
Q4686,Slavonski Brod,town,Q3957
Q184090,Preston,town,Q3957
Q205905,Lancaster,town,Q3957
Q184579,Bolton,town,Q3957
Q201970,Shrewsbury,town,Q3957
Q201117,Toyota,town,Q3957
Q330531,Kota,town,Q3957
Q30990,Plymouth,town,Q3957
Q208262,Eastbourne,town,Q3957
Q200578,Yokosuka,town,Q3957
Q29245,Hastings,town,Q3957
Q3120966,Guntur,town,Q3957
Q189161,Trogir,town,Q3957
Q213180,Maidstone,town,Q3957
Q210985,Chelmsford,town,Q3957
Q2047414,Palanga,town,Q3957
Q5707,Bjelovar,town,Q3957
Q192119,Sisak,town,Q3957
Q201812,Huddersfield,town,Q3957
Q68103,Interlaken,town,Q3957
Q5316,Rovinj,town,Q3957
Q208257,Bedford,town,Q3957
Q51684,Gilbert,town,Q3957
Q326295,Plymouth,town,Q3957
Q25563103,Warangal,town,Q3957
Q223517,Ahilyanagar,town,Q3957
Q5323,Poreč,town,Q3957
Q189960,Westminster,town,Q3957
Q190002,Sligo,town,Q3957
Q549761,Warwick,town,Q3957
Q203370,Phra Nakhon Si Ayutthaya,town,Q3957
Q5640,Koprivnica,town,Q3957
Q272009,Makarska,town,Q3957
Q213474,Aylesbury,town,Q3957
Q167839,Čakovec,town,Q3957
Q503331,Dorchester,town,Q3957
Q52285,Craco,town,Q3957
Q844430,Phuket,town,Q3957
Q688281,Vrindavan,town,Q3957
Q213465,Guildford,town,Q3957
Q61434,Nellore,town,Q3957
Q2598,Watford,town,Q3957
Q1436816,Tirupati,town,Q3957
Q119219,Pimpri-Chinchwad,town,Q3957
Q213154,Aberystwyth,town,Q3957
Q223439,Kure,town,Q3957
Q212283,Wells,town,Q3957
Q654216,Ayr,town,Q3957
Q208514,Knin,town,Q3957
Q319276,Gospić,town,Q3957
Q494631,Sassnitz,town,Q3957
Q18655,Stockport,town,Q3957
Q845619,Taunton,town,Q3957
Q211968,Pazin,town,Q3957
Q208143,Wigan,town,Q3957
Q273114,Požega,town,Q3957
Q221495,Vinkovci,town,Q3957
Q826561,Halifax,town,Q3957
Q695411,Palm Beach,town,Q3957
Q221189,Krapina,town,Q3957
Q507517,Rochester,town,Q3957
Q59018,Kakinada,town,Q3957
Q3635276,Kurnool,town,Q3957
Q671812,Chapel Hill,town,Q3957
Q852665,Cary,town,Q3957
Q823600,Chesterfield,town,Q3957
Q209096,Burnley,town,Q3957
Q695221,Mount Abu,town,Q3957
Q661529,Ripon,town,Q3957
Q747987,Vail,town,Q3957
Q773213,Nainital,town,Q3957
Q760144,Ananthapuram,town,Q3957
Q318404,Silvassa,town,Q3957
Q223353,Opatija,town,Q3957
Q58337,Banff,town,Q3957
Q830669,Foxboro,town,Q3957
Q826782,Stafford,town,Q3957
Q210891,Glastonbury,town,Q3957
Q259466,Senj,town,Q3957
Q221184,Umag,town,Q3957
Q1003496,Eluru,town,Q3957
Q623765,Rugby,town,Q3957
Q390588,Metković,town,Q3957
Q266168,Virovitica,town,Q3957
Q331141,Velika Gorica,town,Q3957
Q37112,Kalaburagi,town,Q3957
Q525686,Werder (Havel),town,Q3957
Q904354,Breckenridge,town,Q3957
Q871285,Jackson,town,Q3957
Q321381,Abingdon-on-Thames,town,Q3957
Q208193,Uxbridge,town,Q3957
Q318961,Đakovo,town,Q3957
Q578221,Cicero,town,Q3957
Q494281,Adilabad,town,Q3957
Q488314,Alsfeld,town,Q3957
Q30651,Kadapa,town,Q3957
Q985526,Silver City,town,Q3957
Q646980,Aldershot,town,Q3957
Q1639492,Rajahmundry,town,Q3957
Q575407,Normal,town,Q3957
Q876315,Taos,town,Q3957
Q867592,Taba,town,Q3957
Q492386,Centralia,town,Q3957
Q6031,Hvar,town,Q3957
Q13289,Korčula,town,Q3957
Q642828,Solin,town,Q3957
Q628311,Kitty Hawk,town,Q3957
