qid,label,class_label,class_qid
Q131566,Institute of Electrical and Electronics Engineers,trade union,Q178790
Q905549,Royal Society of Chemistry,trade union,Q178790
Q684800,International Commission of Jurists,trade union,Q178790
Q464271,AFL-CIO,trade union,Q178790
Q1457407,Histadrut,trade union,Q178790
Q1125980,Congress of South African Trade Unions,trade union,Q178790
Q1125638,Q1125638,trade union,Q178790
Q1421986,International Council on Archives,trade union,Q178790
Q1156834,Irish Recorded Music Association,trade union,Q178790
Q650112,National Socialist German Students' League,trade union,Q178790
Q586581,Confederation of German Trade Unions,trade union,Q178790
Q521207,Trades Union Congress,trade union,Q178790
Q2157937,Oxford Union,trade union,Q178790
Q167878,All-China Federation of Trade Unions,trade union,Q178790
Q673358,EUROSAI,trade union,Q178790
Q1125097,Italian Confederation of Workers' Trade Unions,trade union,Q178790
Q29774,International Organization of Supreme Audit Institutions,trade union,Q178790
Q694238,Free German Trade Union Federation,trade union,Q178790
Q1125605,French Democratic Confederation of Labour,trade union,Q178790
Q1377027,European Students' Union,trade union,Q178790
Q2651277,World Steel Association,trade union,Q178790
Q558439,Sozialistischer Deutscher Studentenbund,trade union,Q178790
Q464915,American Historical Association,trade union,Q178790
Q338636,Swedish Trade Union Confederation,trade union,Q178790
Q1725340,Norwegian Confederation of Trade Unions,trade union,Q178790
Q481497,GEMA,trade union,Q178790
Q3111510,National Education Association,trade union,Q178790
Q370439,"Association for Electrical, Electronic and Information Technologies",trade union,Q178790
Q603951,All-Workers Militant Front,trade union,Q178790
Q529564,VDI – The Association of German Engineers,trade union,Q178790
Q489887,Korean Confederation of Trade Unions,trade union,Q178790
Q3595606,All India Trade Union Congress,trade union,Q178790
Q3091909,General Federation of Trade Unions of Korea,trade union,Q178790
Q3425458,Japanese Trade Union Confederation,trade union,Q178790
Q2004869,Alliance Graphique Internationale,trade union,Q178790
Q910798,Union nationale des étudiants de France,trade union,Q178790
Q1125610,French Confederation of Christian Workers,trade union,Q178790
Q490099,All-Poland Alliance of Trade Unions,trade union,Q178790
Q488530,Federation of Korean Trade Unions,trade union,Q178790
Q3091697,Federation of Independent Trade Unions of Russia,trade union,Q178790
Q314959,German Chemical Society,trade union,Q178790
Q290200,Civil Servants' Confederation,trade union,Q178790
Q1841347,Unión Sindical Obrera,trade union,Q178790
Q1753461,Swedish Confederation of Professional Employees,trade union,Q178790
Q668944,Swiss Trade Union Confederation,trade union,Q178790
Q566983,German Civil Service Federation,trade union,Q178790
Q495604,Nigeria Labour Congress,trade union,Q178790
Q2992756,General Confederation of Greek Workers,trade union,Q178790
Q2741161,Icelandic Confederation of Labour,trade union,Q178790
Q2675373,General Federation of Belgian Labour,trade union,Q178790
Q365154,Central Única dos Trabalhadores,trade union,Q178790
Q340104,Czech-Moravian Confederation of Trade Unions,trade union,Q178790
Q176015,Australian Council of Trade Unions,trade union,Q178790
Q843872,Japan Teachers Union,trade union,Q178790
Q790818,Aviation Industry Computer-Based Training Committee,trade union,Q178790
Q743156,IPC,trade union,Q178790
Q690022,Kadimah,trade union,Q178790
Q1397560,Danish Confederation of Trade Unions,trade union,Q178790
Q578398,Central Organisation of Finnish Trade Unions,trade union,Q178790
Q492117,Lithuanian Trade Union Confederation,trade union,Q178790
Q1054059,Workers' Central Union of Cuba,trade union,Q178790
Q2992753,Confederación General de Trabajadores del Perú,trade union,Q178790
Q2890090,National Labor Federation,trade union,Q178790
Q8191823,Sōhyō,trade union,Q178790
Q12758493,Confederation of Trade Unions of Yugoslavia,trade union,Q178790
Q122288,Austrian Trade Union Federation,trade union,Q178790
Q111761,Strategic Organizing Center,trade union,Q178790
Q2261404,Scottish Trades Union Congress,trade union,Q178790
Q1774001,Confederation of Unions for Professionals,trade union,Q178790
Q1666657,International Institute of Welding,trade union,Q178790
Q896353,General German Trade Union Federation,trade union,Q178790
Q879313,German Student Union,trade union,Q178790
Q752687,PICMG,trade union,Q178790
Q1481693,Confederation of Vocational Unions,trade union,Q178790
Q5649497,Sindicatos Libres,trade union,Q178790
Q8069223,National Confederation of Trade Unions,trade union,Q178790
Q376074,PIT-CNT,trade union,Q178790
Q3550392,Union Nationale Inter-universitaire,trade union,Q178790
Q4382761,Direct Action,trade union,Q178790
Q896296,Christian Trade Union Federation of Germany,trade union,Q178790
