qid,label,class_label,class_qid
Q769591,Shanghai maglev train,train,Q870
Q936593,The Ghan,train,Q870
Q197658,L0 Series Shinkansen,train,Q870
Q701311,U-Bahn Serfaus,train,Q870
Q648121,M-Bahn,train,Q870
Q803162,Tren a las Nubes,train,Q870
Q115044,Southern Fuegian Railway,train,Q870
Q6014429,Incheon Airport Maglev,train,Q870
Q28946373,Trotsky's train,train,Q870
Q17097982,Yüksek Hızlı Tren,train,Q870
Q16929000,Changsha Maglev Express,train,Q870
Q5086506,Charminar Express,train,Q870
Q1619647,Railcar-launched ICBM,train,Q870
Q1088004,Śmiały,train,Q870
Q11080223,Seven Stars in Kyushu,train,Q870
Q2354411,Krajina Express,train,Q870
Q19887863,St. Kitts Scenic Railway,train,Q870
Q8060329,Yufuin no Mori,train,Q870
Q8019235,Gotthard Panorama Express,train,Q870
Q7284876,Rainforest Ecological Train,train,Q870
Q3272056,Lézard rouge,train,Q870
Q1617854,High Speed Surface Transport,train,Q870
Q16974538,The Train of Death,train,Q870
Q11343301,Alps,train,Q870
Q122955476,ČD ComfortJet,train,Q870
Q11243604,SL Hitoyoshi,train,Q870
Q6907862,Moonlight Nagara,train,Q870
Q6750257,The Broadmoor Manitou and Pikes Peak Cog Railway,train,Q870
Q22946825,Belles Montagnes et Mer,train,Q870
Q18337493,Noto Kagaribi,train,Q870
Q11338045,Fuji Excursion,train,Q870
Q11278477,Mahoroba,train,Q870
Q10985017,Ibusuki no Tamatebako,train,Q870
Q86727054,West Express Ginga,train,Q870
Q67936001,Qingyuan Chimelong Maglev Tourist Line,train,Q870
Q56298827,Transport System Bögl,train,Q870
Q7260121,Pune – Secunderabad Shatabdi,train,Q870
Q7063100,Noto,train,Q870
Q48724056,Telangana Express,train,Q870
Q11343291,Moonlight Echigo,train,Q870
Q11338043,Holiday Rapid View Yamanashi,train,Q870
Q11328601,Birmingham Maglev,train,Q870
Q2646281,Northern Explorer,train,Q870
Q15919341,Lemon Express,train,Q870
Q11558916,Umisachi Yamasachi,train,Q870
Q123035621,Siemens Viaggio Next Level,train,Q870
Q108100012,Sartigan Railway,train,Q870
Q106729100,CRRC Maglev,train,Q870
Q7545797,Armored Train Smok Kaszubski,train,Q870
Q7444807,Secunderabad Mumbai Duronto Express,train,Q870
Q6349460,Cocanada SF Express,train,Q870
Q16934392,Aso Boy,train,Q870
Q131967753,Q131967753,train,Q870
Q106538161,Coto Coto Train,train,Q870
Q6837685,Michigan Star Clipper Dinner Train,train,Q870
Q48945189,Memory of Grigory Makhno,train,Q870
Q42954977,Byron Bay Railroad Company,train,Q870
Q22058741,United States Army Snow Plow No. SN-87,train,Q870
Q880518,Cabinentaxi,train,Q870
Q2401665,Orford Express,train,Q870
Q11612505,Japanese Improvised Armored Train,train,Q870
Q119296360,Quebrada de Humahuaca Solar Train,train,Q870
Q131986235,Ijen Express,train,Q870
Q136699396,Wonsan Tram,train,Q870
Q134169250,Gunungjati,train,Q870
Q7994057,Whistler Mountaineer,train,Q870
Q4852989,Baltimore – Washington D.C. Maglev,train,Q870
Q48724562,Colombo - Badulla Night Mail Train,train,Q870
Q122898525,Russian Armored Train Baikal,train,Q870
Q133696294,Bandel–Howrah Local,train,Q870
Q191985,Orient Express,train,Q870
Q842463,Trans-Asian Railway,train,Q870
