qid,label,class_label,class_qid
Q235884,Chhatrapati Shivaji Maharaj Terminus,train station,Q55488
Q11290,Grand Central Terminal,train station,Q55488
Q219867,London King's Cross railway station,train station,Q55488
Q745942,Gare de Paris-Nord,train station,Q55488
Q214788,London Paddington station,train station,Q55488
Q720102,St Pancras railway station,train station,Q55488
Q1097,Berlin Central Station,train station,Q55488
Q747541,Paris-Gare-de-Lyon,train station,Q55488
Q795691,London Waterloo station,train station,Q55488
Q631114,Gare Montparnasse,train station,Q55488
Q754485,Roma Termini railway station,train station,Q55488
Q801193,Milano Centrale railway station,train station,Q55488
Q985210,London Victoria station,train station,Q55488
Q757180,Gare de Paris-Est,train station,Q55488
Q826120,King's Cross St Pancras tube station,train station,Q55488
Q801447,Shinjuku Station,train station,Q55488
Q747506,Gare Saint-Lazare,train station,Q55488
Q283196,Tokyo Station,train station,Q55488
Q697300,Wien Hauptbahnhof,train station,Q55488
Q50719,Amsterdam Central station,train station,Q55488
Q10319641,Waterloo tube station,train station,Q55488
Q1044613,Helsinki Central Railway Station,train station,Q55488
Q616218,Baker Street tube station,train station,Q55488
Q734017,Gare d'Austerlitz,train station,Q55488
Q54451,Pennsylvania Station,train station,Q55488
Q841167,Budapest-Keleti railway station,train station,Q55488
Q801046,Kyōto Station,train station,Q55488
Q801124,Liverpool Street station,train station,Q55488
Q1366462,Green Park tube station,train station,Q55488
Q800751,Euston Station,train station,Q55488
Q801128,Charing Cross railway station,train station,Q55488
Q254647,Munich Central Station,train station,Q55488
Q678791,Oxford Circus tube station,train station,Q55488
Q165368,Frankfurt (Main) Hbf,train station,Q55488
Q23093,Atocha Railway Station,train station,Q55488
Q1135834,Westminster tube station,train station,Q55488
Q1366453,Euston Square tube station,train station,Q55488
Q795322,Charing Cross tube station,train station,Q55488
Q1200275,Komsomolskaya,train station,Q55488
Q751174,Praha hlavní nádraží,train station,Q55488
Q693034,Warsaw Central railway station,train station,Q55488
Q140277,La Défense,train station,Q55488
Q26448,Piccadilly Circus tube station,train station,Q55488
Q6456,Hamburg Hauptbahnhof,train station,Q55488
Q1954,Cologne Central Station,train station,Q55488
Q1810822,Park Pobedy,train station,Q55488
Q1334978,Embankment tube station,train station,Q55488
Q1200389,Novoslobodskaya,train station,Q55488
Q1279102,Hyde Park Corner tube station,train station,Q55488
Q946924,Great Portland Street,train station,Q55488
Q892189,Bond Street tube station,train station,Q55488
Q666886,Moscow Kiyevsky railway station,train station,Q55488
Q801125,London Bridge station,train station,Q55488
Q800624,Charles de Gaulle - Étoile,train station,Q55488
Q601484,Châtelet,train station,Q55488
Q285141,Beijing Railway Station,train station,Q55488
Q224494,Zürich Hauptbahnhof,train station,Q55488
Q1377634,Russell Square tube station,train station,Q55488
Q1367269,Moscow Belorussky railway station,train station,Q55488
Q2105249,Kyiv-Pasazhyrskyi railway station,train station,Q55488
Q2604365,Arbatskaya,train station,Q55488
Q1431071,Temple tube station,train station,Q55488
Q800615,Cannon Street station,train station,Q55488
Q800973,Haydarpaşa railway station,train station,Q55488
Q49381,Nagoya Station,train station,Q55488
Q55658542,Moscow Yaroslavsky railway station,train station,Q55488
Q1803672,Notting Hill Gate tube station,train station,Q55488
Q1567095,St. James's Park tube station,train station,Q55488
Q1368326,Esplanade de La Défense,train station,Q55488
Q1341849,République,train station,Q55488
Q968939,Hôtel de Ville,train station,Q55488
Q1433544,Holborn tube station,train station,Q55488
Q649184,Queensway tube station,train station,Q55488
Q681785,Berlin Zoologischer Garten railway station,train station,Q55488
Q805683,Tallinn Baltic Station,train station,Q55488
Q428811,Shibuya Station,train station,Q55488
Q800398,Antwerp-Central railway station,train station,Q55488
Q38909,Southwark tube station,train station,Q55488
Q2721257,Ploshchad Revolyutsii,train station,Q55488
Q2538959,Leicester Square tube station,train station,Q55488
Q1418711,Nation,train station,Q55488
Q1366438,Warren Street tube station,train station,Q55488
Q1627784,VDNKh,train station,Q55488
Q786259,Marble Arch tube station,train station,Q55488
Q782929,Aldgate tube station,train station,Q55488
Q801567,Venezia Santa Lucia railway station,train station,Q55488
Q284195,Blackfriars station,train station,Q55488
Q531444,Angel tube station,train station,Q55488
Q812631,Bayswater tube station,train station,Q55488
Q163962,Beijingnan railway station,train station,Q55488
Q800453,Barcelona Sants railway station,train station,Q55488
Q20415,Seoul Station,train station,Q55488
Q3570,Washington Union Station,train station,Q55488
Q4176210,Yerevan railway station,train station,Q55488
Q1757120,Knightsbridge tube station,train station,Q55488
Q1738951,Kennington tube station,train station,Q55488
Q2463121,Kitay-gorod,train station,Q55488
Q1344536,Porte Maillot,train station,Q55488
Q1344555,Pont de Neuilly,train station,Q55488
Q1340440,Park Kultury,train station,Q55488
Q1327563,Elektrozavodskaya,train station,Q55488
Q1530578,Sloane Square tube station,train station,Q55488
Q1475207,Tower Hill tube station,train station,Q55488
Q1467113,Palais Royal - Musée du Louvre,train station,Q55488
Q970075,Concorde,train station,Q55488
