qid,label,class_label,class_qid
Q10257,Channel Tunnel,tunnel,Q44377
Q193002,Gotthard Base Tunnel,tunnel,Q44377
Q99250,Seikan Tunnel,tunnel,Q44377
Q213962,Great Belt Fixed Link,tunnel,Q44377
Q1191515,Hong Kong–Zhuhai–Macau Bridge,tunnel,Q44377
Q827735,King Fahd Causeway,tunnel,Q44377
Q323310,Mont Blanc Tunnel,tunnel,Q44377
Q303563,Lærdal Tunnel,tunnel,Q44377
Q688618,Gotthard Tunnel,tunnel,Q44377
Q18541,Fehmarn Belt fixed link,tunnel,Q44377
Q1917594,Salang Tunnel,tunnel,Q44377
Q5411040,Eurasia Tunnel,tunnel,Q44377
Q684927,Gotthard Road Tunnel,tunnel,Q44377
Q932910,Roki Tunnel,tunnel,Q44377
Q125753,Holland Tunnel,tunnel,Q44377
Q125805,Lincoln Tunnel,tunnel,Q44377
Q599515,Simplon Tunnel,tunnel,Q44377
Q1035202,Helsinki-to-Tallinn Tunnel,tunnel,Q44377
Q660310,Lötschberg Base Tunnel,tunnel,Q44377
Q1620682,Hezekiah's Tunnel,tunnel,Q44377
Q697347,Brenner Base Tunnel,tunnel,Q44377
Q955894,tunnel of Eupalinos,tunnel,Q44377
Q1400323,Sarajevo Tunnel,tunnel,Q44377
Q1329589,Passetto di Borgo,tunnel,Q44377
Q537800,Fréjus Rail Tunnel,tunnel,Q44377
Q1520900,Severomuysky Tunnel,tunnel,Q44377
Q1190691,Thames Tunnel,tunnel,Q44377
Q684130,Karawanks Tunnel,tunnel,Q44377
Q593029,Hvalfjörður Tunnel,tunnel,Q44377
Q644421,Great St Bernard Tunnel,tunnel,Q44377
Q1968580,Fréjus Road Tunnel,tunnel,Q44377
Q666767,Ceneri Base Tunnel,tunnel,Q44377
Q1077968,North Cape Tunnel,tunnel,Q44377
Q674802,Arlberg Railway Tunnel,tunnel,Q44377
Q803216,Sakhalin Tunnel,tunnel,Q44377
Q1389309,Eiksund Tunnel,tunnel,Q44377
Q2120346,Päijänne Water Tunnel,tunnel,Q44377
Q691069,Albula Tunnel,tunnel,Q44377
Q240079,Sveti Rok Tunnel,tunnel,Q44377
Q483151,Japan–Korea Undersea Tunnel,tunnel,Q44377
Q665158,Furka Base Tunnel,tunnel,Q44377
Q2610244,Folgefonna Tunnel,tunnel,Q44377
Q1031867,City Tunnel,tunnel,Q44377
Q689092,Karawanks Tunnel,tunnel,Q44377
Q1070563,Chesapeake Bay Bridge-Tunnel,tunnel,Q44377
Q1288187,Učka Tunnel,tunnel,Q44377
Q589504,Mala Kapela Tunnel,tunnel,Q44377
Q2559131,San Bernardino Tunnel,tunnel,Q44377
Q1335177,Western Wall Tunnel,tunnel,Q44377
Q197883,Zhongnanshan Tunnel,tunnel,Q44377
Q672167,Lötschberg Tunnel,tunnel,Q44377
Q668000,Vereina Tunnel,tunnel,Q44377
Q1149567,Lefortovo Tunnel,tunnel,Q44377
Q28048263,Grič Tunnel,tunnel,Q44377
Q1285749,Western Scheldt Tunnel,tunnel,Q44377
Q867717,Stockholm City Line,tunnel,Q44377
Q564188,Berlin Nord-Süd Tunnel,tunnel,Q44377
Q135210,Anzob Tunnel,tunnel,Q44377
Q609324,Ahmed Hamdi Tunnel,tunnel,Q44377
Q20751227,Ryfylke Tunnel,tunnel,Q44377
Q7784991,Third Tunnel of Aggression,tunnel,Q44377
Q7359842,Rohtang Tunnel,tunnel,Q44377
Q1726282,Tower Subway,tunnel,Q44377
Q1028829,Guoliang Tunnel,tunnel,Q44377
Q309891,Hsuehshan Tunnel,tunnel,Q44377
Q828688,Tromsøysund Tunnel,tunnel,Q44377
Q1557870,Vestfjarðagöng,tunnel,Q44377
Q1365717,Semmering Base Tunnel,tunnel,Q44377
Q262312,SMART Tunnel,tunnel,Q44377
Q1671584,Sozina Tunnel,tunnel,Q44377
Q137728,Tokyo Bay Aqua-Line,tunnel,Q44377
Q4217605,Kaunas Railway Tunnel,tunnel,Q44377
