qid,label,class_label,class_qid
Q13371,Harvard University,university,Q3918
Q34433,University of Oxford,university,Q3918
Q26319,Università degli Studi Niccolò Cusano,university,Q3918
Q35794,University of Cambridge,university,Q3918
Q49108,Massachusetts Institute of Technology,university,Q3918
Q41506,Stanford University,university,Q3918
Q13164,Lomonosov Moscow State University,university,Q3918
Q132140,Federal University of Minas Gerais,university,Q3918
Q49112,Yale University,university,Q3918
Q21578,Princeton University,university,Q3918
Q49088,Columbia University,university,Q3918
Q49115,Cornell University,university,Q3918
Q160302,University of Edinburgh,university,Q3918
Q131262,University of Bologna,university,Q3918
Q168756,"University of California, Berkeley",university,Q3918
Q173959,Al-Azhar University,university,Q3918
Q153978,University of Tübingen,university,Q3918
Q131252,University of Chicago,university,Q3918
Q49117,University of Pennsylvania,university,Q3918
Q209842,University of Paris,university,Q3918
Q336264,Kyoto University,university,Q3918
Q151510,Heidelberg University,university,Q3918
Q31519,Charles University,university,Q3918
Q7842,University of Tokyo,university,Q3918
Q7894375,Universidade Federal de Goiás,university,Q3918
Q180865,University of Toronto,university,Q3918
Q152838,University of Göttingen,university,Q3918
Q186638,Université de Versailles Saint-Quentin-en-Yvelines,university,Q3918
Q38779,University of the Bío-Bío,university,Q3918
Q219563,University of Washington,university,Q3918
Q152087,Humboldt-Universität zu Berlin,university,Q3918
Q193727,Johns Hopkins University,university,Q3918
Q16952,Peking University,university,Q3918
Q49210,New York University,university,Q3918
Q109409389,Paris-Saclay University,university,Q3918
Q55044,Ludwig-Maximilians-Universität München,university,Q3918
Q503473,University of Geneva,university,Q3918
Q49114,Brown University,university,Q3918
Q27621,Saint Petersburg State University,university,Q3918
Q11942,ETH Zurich,university,Q3918
Q189441,Jagiellonian University,university,Q3918
Q49110,Boston University,university,Q3918
Q16955,Tsinghua University,university,Q3918
Q209344,Sapienza University of Rome,university,Q3918
Q204181,University of Tartu,university,Q3918
Q184478,University of California,university,Q3918
Q486156,University of Oslo,university,Q3918
Q28695,University of Helsinki,university,Q3918
Q859363,Sciences Po,university,Q3918
Q157808,Technical University of Munich,university,Q3918
Q757391,Central European University,university,Q3918
