qid,label,class_label,class_qid
Q118841,Grand Canyon,valley,Q39816
Q40729,Wadi Rum,valley,Q39816
Q28061,Quebrada de Humahuaca,valley,Q39816
Q621110,Valles Marineris,valley,Q39816
Q217043,Olduvai Gorge,valley,Q39816
Q1050483,Loire Valley,valley,Q39816
Q1165879,Darial Gorge,valley,Q39816
Q1128366,Samariá Gorge National Park,valley,Q39816
Q1074945,Wadi El Natrun,valley,Q39816
Q691153,Glendalough,valley,Q39816
Q1235610,Valley of Geysers,valley,Q39816
Q647958,Ironbridge Gorge,valley,Q39816
Q92671,Glen Coe,valley,Q39816
Q687057,Verdon Gorge,valley,Q39816
Q1483483,Pool of Siloam,valley,Q39816
Q388641,Eldgjá,valley,Q39816
Q1107685,Colca  Canyon,valley,Q39816
Q2120208,Wadi Mujib,valley,Q39816
Q627095,Pankisi Gorge,valley,Q39816
Q1460797,Tiger Leaping Gorge,valley,Q39816
Q2231598,Charyn Canyon,valley,Q39816
Q1274674,Makhtesh Ramon National Park,valley,Q39816
Q2278990,Matka Canyon,valley,Q39816
Q15061872,Vikos Gorge,valley,Q39816
Q673287,Three Gorges,valley,Q39816
Q1443478,Nahal Me'arot Nature Reserve,valley,Q39816
Q1165200,Ma'adim Vallis,valley,Q39816
Q784395,Ares Vallis,valley,Q39816
Q19742,Yarlung Tsangpo Grand Canyon,valley,Q39816
Q7994654,White Drin Canyon,valley,Q39816
Q14759900,Greenland's Grand Canyon,valley,Q39816
Q2744391,Podrinje,valley,Q39816
Q252254,Nahal Sorek,valley,Q39816
Q775138,Sumidero Canyon,valley,Q39816
Q689769,Kleinwalsertal,valley,Q39816
Q1549221,Großes Walsertal,valley,Q39816
Q2574575,Tara River Canyon,valley,Q39816
Q886892,Blyde River Canyon,valley,Q39816
Q981024,Tarentaise Valley,valley,Q39816
Q2118373,Siq,valley,Q39816
Q1538251,Gorges du Tarn,valley,Q39816
Q14916370,Sil Canyon,valley,Q39816
Q956845,Fjaðrárgljúfur,valley,Q39816
Q4163282,Dniester Canyon,valley,Q39816
Q1553203,Guelta d'Archei,valley,Q39816
Q668632,Schöllenen Gorge,valley,Q39816
Q1339871,Ein Avdat,valley,Q39816
Q2538740,Wadi Howar,valley,Q39816
Q1112581,Columbia River Gorge,valley,Q39816
Q2249610,Kasei Valles,valley,Q39816
Q2047083,Boom Gorge,valley,Q39816
Q3111026,Todgha Gorge,valley,Q39816
Q4133851,Garni Gorge,valley,Q39816
Q4117,Trossachs,valley,Q39816
Q1369399,Palo Duro Canyon,valley,Q39816
Q392217,Djedi River,valley,Q39816
Q252506,Ásbyrgi,valley,Q39816
Q2395989,Borjomi Gorge,valley,Q39816
Q901124,Dadès Gorges,valley,Q39816
Q3124564,Mawrth Vallis,valley,Q39816
Q972150,Nahal Taninim,valley,Q39816
Q3516188,Taurus–Littrow,valley,Q39816
Q3496160,Vallis Schröteri,valley,Q39816
Q3297988,Dao Vallis,valley,Q39816
Q636174,River Goulbi de Maradi,valley,Q39816
Q2915124,Nahal Hever,valley,Q39816
Q523854,Baetic Depression,valley,Q39816
Q469014,Glen Canyon,valley,Q39816
Q2834409,Noun River,valley,Q39816
Q2005498,Abiod Valley,valley,Q39816
Q854055,Bicaz Canyon,valley,Q39816
Q12757491,Pomoravlje,valley,Q39816
Q650607,Val Ferret,valley,Q39816
Q635952,Beetzsee,valley,Q39816
Q593481,Trou de Fer,valley,Q39816
Q525841,Glen Eagles,valley,Q39816
Q462539,Laurel Canyon,valley,Q39816
Q2776903,Ga'aton River,valley,Q39816
Q2575777,Wadi Allaqi,valley,Q39816
Q195548,Vallis Alpes,valley,Q39816
Q194945,Vallis Baade,valley,Q39816
Q2509407,Vallis Rheita,valley,Q39816
Q1138730,Tze'elim Stream,valley,Q39816
Q1742132,Kings Canyon,valley,Q39816
Q1058142,Ha Gorge,valley,Q39816
Q5314051,Dunajec River Gorge,valley,Q39816
Q87094469,Tsalka Canyon Natural Monument,valley,Q39816
Q7912427,Vallis Schrödinger,valley,Q39816
Q3562866,Rouvas Municipal Unit,valley,Q39816
Q3408660,Iya Valley,valley,Q39816
Q3267717,Qutang Gorge,valley,Q39816
Q2936928,Cotuahusi canion,valley,Q39816
Q2910078,Nahal Kziv,valley,Q39816
Q545557,Val Veny,valley,Q39816
Q422224,Vallis Snellius,valley,Q39816
Q366279,Ruinaulta,valley,Q39816
Q195211,Vallis Bouvard,valley,Q39816
Q7108014,Osum Canyon,valley,Q39816
Q2131255,Agia Eirini Gorge,valley,Q39816
Q3111018,Niagara Gorge,valley,Q39816
Q3108687,Glen Nevis,valley,Q39816
Q35494495,Natuf River,valley,Q39816
Q10719024,Wadi al-Arish,valley,Q39816
Q9285185,Harmakhis Vallis,valley,Q39816
Q7960119,Waimea Canyon State Park,valley,Q39816
Q3595382,Wadi Hanifa,valley,Q39816
Q3565020,Wadi Mathendous,valley,Q39816
Q3358050,Oued Saoura,valley,Q39816
Q3232306,Mangala Valles,valley,Q39816
Q723581,Black Canyon of the Colorado,valley,Q39816
Q1542533,Grand Canyon of the Yellowstone,valley,Q39816
Q2911410,HaMakhtesh HaGadol,valley,Q39816
Q2909980,Nahal Gerar,valley,Q39816
Q496024,Nahal Mishmar,valley,Q39816
