qid,label,class_label,class_qid
Q464543,hepatic portal vein,vein,Q9609
Q1322802,dural venous sinuses,vein,Q9609
Q5947899,superficial temporal veins,vein,Q9609
Q4117816,superior ophthalmic vein,vein,Q9609
Q3555260,facial vein,vein,Q9609
Q7941948,vorticose veins,vein,Q9609
Q585624,testicular vein,vein,Q9609
Q4115376,esophageal veins,vein,Q9609
Q3906673,vaginal venous plexus,vein,Q9609
Q7257007,pterygoid plexus,vein,Q9609
Q1531242,hypophyseal portal system,vein,Q9609
Q1169783,pampiniform venous plexus,vein,Q9609
Q6047950,Internal vertebral venous plexuses,vein,Q9609
Q4117095,vesical venous plexus,vein,Q9609
Q4115552,rectal venous plexus,vein,Q9609
Q66568750,supratrochlear veins,vein,Q9609
Q1113124,uterine venous plexus,vein,Q9609
Q4867299,basilar plexus,vein,Q9609
Q4116887,prostatic venous plexus,vein,Q9609
Q7643634,superior labial vein,vein,Q9609
Q3241351,anterior auricular veins,vein,Q9609
Q6029380,inferior ophthalmic vein,vein,Q9609
Q5422059,external vertebral venous plexuses,vein,Q9609
Q4869643,Batson venous plexus,vein,Q9609
Q7180888,pharyngeal venous plexus,vein,Q9609
Q7631741,suboccipital venous plexus,vein,Q9609
Q137439619,Spinal veins,vein,Q9609
Q7258320,pudendal venous plexus,vein,Q9609
Q17119402,Venous plexus of hypoglossal canal,vein,Q9609
Q745438,inferior vena cava,vein,Q9609
Q736995,superior vena cava,vein,Q9609
Q535352,pulmonary vein,vein,Q9609
Q749592,jugular vein,vein,Q9609
Q493430,subclavian vein,vein,Q9609
Q540598,internal jugular vein,vein,Q9609
Q629460,coronary sinus,vein,Q9609
Q132318,renal vein,vein,Q9609
Q591137,azygos vein,vein,Q9609
Q2341350,brachiocephalic vein,vein,Q9609
Q2512768,external jugular vein,vein,Q9609
Q682122,axillary vein,vein,Q9609
Q2736974,small saphenous vein,vein,Q9609
Q543323,great saphenous vein,vein,Q9609
Q2214048,hemi-azygos vein,vein,Q9609
Q3090687,external iliac vein,vein,Q9609
Q1578686,hepatic vein,vein,Q9609
Q1670335,cephalic vein,vein,Q9609
Q751322,superior mesenteric vein,vein,Q9609
