qid,label,class_label,class_qid
Q71910,Tetris,video game,Q7889
Q23648408,Grand Theft Auto VI,video game,Q7889
Q216293,Pong,video game,Q7889
Q170331,Travian,video game,Q7889
Q110367996,Wordle,video game,Q7889
Q20012932,Agar.io,video game,Q7889
Q22329209,AlphaGo,video game,Q7889
Q94842,Grand Theft Auto: The Ballad of Gay Tony,video game,Q7889
Q19431,Grand Theft Auto: London 1969,video game,Q7889
Q94830,Grand Theft Auto IV: The Lost and Damned,video game,Q7889
Q741244,Warcraft III: The Frozen Throne,video game,Q7889
Q831796,Half-Life: Blue Shift,video game,Q7889
Q513867,Doom,video game,Q7889
Q13576160,GeoGuessr,video game,Q7889
Q719337,FarmVille,video game,Q7889
Q693937,Half-Life: Opposing Force,video game,Q7889
Q108757235,Grand Theft Auto: The Trilogy – The Definitive Edition,video game,Q7889
Q23895358,slither.io,video game,Q7889
Q82235406,Dinosaur Game,video game,Q7889
Q20031741,Need for Speed,video game,Q7889
Q743920,Habbo,video game,Q7889
Q1194064,Akinator,video game,Q7889
Q13522690,Q13522690,video game,Q7889
Q715719,World of Warcraft: Wrath of the Lich King,video game,Q7889
Q615499,Age of Empires II: The Conquerors,video game,Q7889
Q484907,Guild Wars 2,video game,Q7889
Q846863,Call of Duty: United Offensive,video game,Q7889
Q771553,Day of Defeat,video game,Q7889
Q737619,World of Warcraft: Cataclysm,video game,Q7889
Q1058903,Super Mario All-Stars,video game,Q7889
Q852583,Prince of Persia,video game,Q7889
Q754709,The Sims 2: Nightlife,video game,Q7889
Q751338,The Sims 2: Bon Voyage,video game,Q7889
Q750086,Stronghold: Crusader,video game,Q7889
Q1628364,Halo 3: ODST,video game,Q7889
Q727092,The Sims 2: University,video game,Q7889
Q719643,World of Warcraft: The Burning Crusade,video game,Q7889
Q515876,Age of Empires: The Rise of Rome,video game,Q7889
Q374556,The Orange Box,video game,Q7889
Q840409,StarCraft: Brood War,video game,Q7889
Q2666353,Mount & Blade: Warband,video game,Q7889
