qid,label,class_label,class_qid
Q7296,Mount Kilimanjaro,volcano,Q8072
Q39231,Mount Fuji,volcano,Q8072
Q524,Mount Vesuvius,volcano,Q8072
Q16990,Mount Etna,volcano,Q8072
Q72303,Mount Ararat,volcano,Q8072
Q38954,Teide,volcano,Q8072
Q14081,Chimborazo,volcano,Q8072
Q4675,Mount St. Helens,volcano,Q8072
Q40758,Damavand,volcano,Q8072
Q134108,Merapi,volcano,Q8072
Q159762,Mauna Loa,volcano,Q8072
Q107635,Baekdu Mountain,volcano,Q8072
Q168714,Tambora,volcano,Q8072
Q181157,Popocatépetl,volcano,Q8072
Q194057,Mount Rainier,volcano,Q8072
Q1451,Pinatubo,volcano,Q8072
Q1484,Mayon Volcano,volcano,Q8072
Q188698,Kīlauea,volcano,Q8072
Q181476,Cotopaxi volcano,volcano,Q8072
Q207680,Mount Kazbek,volcano,Q8072
Q184975,Hekla,volcano,Q8072
Q194215,Île Amsterdam,volcano,Q8072
Q76309,Mount Pelée,volcano,Q8072
Q207323,Vulcano,volcano,Q8072
Q158470,Mount Agung,volcano,Q8072
Q270158,Semeru,volcano,Q8072
Q214696,Mount Nyiragongo,volcano,Q8072
Q214916,Llullaillaco,volcano,Q8072
Q455963,Mount Apo,volcano,Q8072
Q242730,Mount Asama,volcano,Q8072
Q203726,Laki,volcano,Q8072
Q207678,Mount Sinabung,volcano,Q8072
Q182913,Grímsvötn,volcano,Q8072
Q128841,Sakurajima,volcano,Q8072
Q152872,Ball's Pyramid,volcano,Q8072
Q126804,Mount Erciyes,volcano,Q8072
Q903,Erta Ale,volcano,Q8072
Q733710,Mount Aso,volcano,Q8072
Q207421,Tungurahua volcano,volcano,Q8072
Q201914,Katla,volcano,Q8072
Q494645,Hallasan,volcano,Q8072
Q827728,Mount Kerinci,volcano,Q8072
Q679590,Mount Bromo,volcano,Q8072
Q664059,Iztaccihuatl,volcano,Q8072
Q847323,Rinjani,volcano,Q8072
Q499108,Pico do Fogo,volcano,Q8072
Q914225,Inaccessible Island,volcano,Q8072
Q732838,Mount Elgon,volcano,Q8072
Q695846,Nyamuragira,volcano,Q8072
Q275662,Mount Hood,volcano,Q8072
Q257441,Emi Koussi,volcano,Q8072
Q620860,Mount Unzen,volcano,Q8072
Q748355,Mount Shasta,volcano,Q8072
Q515719,Haleakalā,volcano,Q8072
Q839630,Koryaksky,volcano,Q8072
Q607372,Puy de Dôme,volcano,Q8072
Q737859,Mount Karisimbi,volcano,Q8072
Q211665,Askja,volcano,Q8072
Q1018862,Bárðarbunga,volcano,Q8072
Q26544,La Soufrière,volcano,Q8072
Q14052,Sangay volcano,volcano,Q8072
Q850051,Taranaki Maunga,volcano,Q8072
Q3143318,Hunga Tonga–Hunga Haʻapai,volcano,Q8072
Q818467,Volcán Tajumulco,volcano,Q8072
Q756244,Tupungato Volcano,volcano,Q8072
Q594387,Mount Baker,volcano,Q8072
Q1302768,Mount Hasan,volcano,Q8072
Q422713,Licancabur,volcano,Q8072
Q845239,Soufrière Hills,volcano,Q8072
Q1056741,Mount Terror,volcano,Q8072
Q650836,Yellowstone volcano,volcano,Q8072
Q1049644,Piton de la Fournaise,volcano,Q8072
Q1048225,Villarrica Volcano,volcano,Q8072
Q754734,Cayambe,volcano,Q8072
Q946750,Huaynaputina,volcano,Q8072
Q14831565,Tamu Massif,volcano,Q8072
Q527548,Mount Karthala,volcano,Q8072
Q317074,Vogelsberg,volcano,Q8072
Q572865,Misti,volcano,Q8072
Q117822,Acotango,volcano,Q8072
Q204657,Santa María,volcano,Q8072
Q548489,Ijen,volcano,Q8072
Q594726,Volcan Baru,volcano,Q8072
Q742216,Pichincha Volcano,volcano,Q8072
Q1960702,Marapi,volcano,Q8072
Q1143757,Cumbre Vieja,volcano,Q8072
Q164121,Llaima,volcano,Q8072
Q2114101,Mawson Peak,volcano,Q8072
Q911748,Gunung Galunggung,volcano,Q8072
Q859354,Lassen Peak,volcano,Q8072
Q267646,Mount Adams,volcano,Q8072
Q714605,Mount Bandai,volcano,Q8072
Q704936,Arsia Mons,volcano,Q8072
Q778597,Puy de Sancy,volcano,Q8072
Q1026302,Calbuco,volcano,Q8072
Q1969482,Poás Volcano,volcano,Q8072
Q833975,Ferdinandea,volcano,Q8072
Q580131,Mountain Slamet,volcano,Q8072
Q735657,Pavonis Mons,volcano,Q8072
Q14082,Antisana volcano,volcano,Q8072
Q2033748,Gunung Raung,volcano,Q8072
Q1545452,Piton des Neiges,volcano,Q8072
Q1361324,Socorro Island,volcano,Q8072
Q1301834,Mount Scenery,volcano,Q8072
Q673994,Nevado de Toluca,volcano,Q8072
Q992791,Syrtis Major Planum,volcano,Q8072
Q1723814,Kanlaon Volcano,volcano,Q8072
Q946035,Coropuna,volcano,Q8072
Q1433508,Mount Süphan,volcano,Q8072
Q1149310,Soufrière,volcano,Q8072
Q1053435,Mount Katmai,volcano,Q8072
Q578777,Nevado Mismi,volcano,Q8072
Q1520750,Mount Longonot,volcano,Q8072
Q862760,Kronotsky,volcano,Q8072
Q1471391,Pico de São Tomé,volcano,Q8072
Q1186618,Dempo,volcano,Q8072
Q1058401,Hayli Gubbi,volcano,Q8072
Q248770,Reventador,volcano,Q8072
Q1049619,Izalco,volcano,Q8072
Q598893,Mountain Merbabu,volcano,Q8072
Q734280,Illinizas,volcano,Q8072
Q2271725,Asahi-dake,volcano,Q8072
Q1518286,Pico Basilé,volcano,Q8072
Q48784,Tolbachik,volcano,Q8072
Q511779,Mount Sabyinyo,volcano,Q8072
Q388641,Eldgjá,volcano,Q8072
Q1478283,Maat Mons,volcano,Q8072
Q1075162,Ubinas,volcano,Q8072
Q1133111,Kama‘ehuakanaloa Seamount,volcano,Q8072
Q1049338,Santa Ana Volcano,volcano,Q8072
Q669559,Mount Salak,volcano,Q8072
Q961546,Herðubreið,volcano,Q8072
Q2360985,Porak,volcano,Q8072
Q1638549,Morne Diablotins,volcano,Q8072
Q514392,Shinmoedake,volcano,Q8072
Q937167,Rano Raraku,volcano,Q8072
Q1269774,Mount Liamuiga,volcano,Q8072
Q1467910,Gamalama,volcano,Q8072
Q546876,Turrialba,volcano,Q8072
Q27015522,Fagradalsfjall,volcano,Q8072
Q1520405,Kao,volcano,Q8072
Q474428,Ampato,volcano,Q8072
Q265585,Kentur Lokon,volcano,Q8072
Q1073134,Mountain Papandayan,volcano,Q8072
Q2729991,Lewotobi,volcano,Q8072
Q639727,Uturuncu,volcano,Q8072
Q924119,Elysium Mons,volcano,Q8072
Q352675,Mount Adatara,volcano,Q8072
Q1420297,Ollagüe,volcano,Q8072
Q1147636,Albor Tholus,volcano,Q8072
Q1190569,Tangkuban Perahu,volcano,Q8072
Q1122340,Rincón de la Vieja Volcano,volcano,Q8072
Q119656,Cofre de Peru en tanga,volcano,Q8072
Q74158,Ulawun,volcano,Q8072
Q2302908,Mount Sibayak,volcano,Q8072
Q1761242,Myōjin-shō,volcano,Q8072
Q1493157,Mount Gamkonora,volcano,Q8072
Q48691,Mount Bona,volcano,Q8072
Q1374401,Uzon,volcano,Q8072
Q1145123,Mount Gede,volcano,Q8072
Q687491,Mount Pavlof,volcano,Q8072
Q791817,Mount Awu,volcano,Q8072
Q781529,Gunung Soputanpatepangan,volcano,Q8072
Q1053413,Karangetang,volcano,Q8072
Q988603,El Altar volcano,volcano,Q8072
Q1950549,Mount Iliamna,volcano,Q8072
Q1520855,Mount Blackburn,volcano,Q8072
Q1513696,Kolumbo,volcano,Q8072
Q48783,Lascar,volcano,Q8072
Q1345487,Telica,volcano,Q8072
Q1310658,Eiríksjökull,volcano,Q8072
Q624994,La Garita Caldera,volcano,Q8072
Q607078,Volcán Cerro Negro,volcano,Q8072
Q589825,Mount Usu,volcano,Q8072
Q2417680,Ebeko,volcano,Q8072
Q665399,Arjuno-Welirang,volcano,Q8072
Q176762,Hualālai,volcano,Q8072
Q2155367,Mount Talang,volcano,Q8072
Q1552026,Tacora,volcano,Q8072
Q102079702,Říp Mountain,volcano,Q8072
Q1340624,Rano Kau,volcano,Q8072
Q1423213,Tharsis Montes,volcano,Q8072
Q714555,Mount Rausu,volcano,Q8072
Q713857,Mount Iwaki,volcano,Q8072
Q1055787,Cerro Azul,volcano,Q8072
Q312921,Cerro El Cóndor,volcano,Q8072
Q606769,Hecates Tholus,volcano,Q8072
Q995888,Falso Azufre,volcano,Q8072
Q2094734,Mount Ruang,volcano,Q8072
Q1641313,Pichu Pichu,volcano,Q8072
Q507179,Mount Cereme,volcano,Q8072
Q1328417,Rokatenda,volcano,Q8072
Q869065,Corazón volcano,volcano,Q8072
Q3219949,Lawu Mountain,volcano,Q8072
Q187946,Karaca Dağ,volcano,Q8072
Q1058424,Chachani,volcano,Q8072
Q230265,Zuqar Island,volcano,Q8072
Q766490,Mount Bachelor,volcano,Q8072
Q999585,Kamen,volcano,Q8072
