qid,label,class_label,class_qid
Q319652,Atlantica SuperSplash,water ride,Q2870166
Q319452,Poseidon,water ride,Q2870166
Q1847585,Kali River Rapids,water ride,Q2870166
Q6314935,Jurassic Park Rapids Adventure,water ride,Q2870166
Q22812497,Voyage to the Crystal Grotto,water ride,Q2870166
Q22752163,Roaring Rapids,water ride,Q2870166
Q12187096,Chiapas,water ride,Q2870166
Q917240,Journey to Atlantis,water ride,Q2870166
Q636333,De Vliegende Hollander,water ride,Q2870166
Q477769,River Quest,water ride,Q2870166
Q3116857,Grizzly River Run,water ride,Q2870166
Q285356,Fata Morgana,water ride,Q2870166
Q1916076,Piraña,water ride,Q2870166
Q28840930,Speed,water ride,Q2870166
Q20669962,Verrückt,water ride,Q2870166
Q578610,Gran Fiesta Tour Starring The Three Caballeros,water ride,Q2870166
Q2534814,Gondoletta,water ride,Q2870166
Q2132187,Romus et Rapidus,water ride,Q2870166
Q115857838,Tiana's Bayou Adventure,water ride,Q2870166
Q101193542,Krampus Expedition,water ride,Q2870166
Q7800778,Tidal Wave,water ride,Q2870166
Q3528733,Timber Mountain Log Ride,water ride,Q2870166
Q2070936,Perilous Plunge,water ride,Q2870166
Q7911559,Valhalla,water ride,Q2870166
Q85750107,Calico River Rapids,water ride,Q2870166
Q8000850,Wild West Falls Adventure Ride,water ride,Q2870166
Q7798960,Thunder Canyon,water ride,Q2870166
Q7734550,The Flume,water ride,Q2870166
Q7620179,Storm Surge,water ride,Q2870166
Q7500521,Shoot the Rapids,water ride,Q2870166
Q6966716,Naser al-Din Shah's slide,water ride,Q2870166
Q6667363,Logger's Leap,water ride,Q2870166
Q5305197,Tiger Rock,water ride,Q2870166
Q5160514,Congo River Rapids,water ride,Q2870166
Q4782669,Aquaduck,water ride,Q2870166
Q4744687,American Plunge,water ride,Q2870166
Q17019531,Pirate Falls Dynamite Drench,water ride,Q2870166
Q14716941,White Water Landing,water ride,Q2870166
Q98804706,Fury of the Nile,water ride,Q2870166
Q131753789,Viking Voyager,water ride,Q2870166
Q105043848,Mystic River Falls,water ride,Q2870166
Q8074156,Zoom Phloom,water ride,Q2870166
Q7995520,White Water Landing,water ride,Q2870166
Q7929436,Viking's Revenge Flume Ride,water ride,Q2870166
Q7799017,Thunder River Rapids Ride,water ride,Q2870166
Q7738506,The Gully Washer,water ride,Q2870166
Q7362148,Roman Rapids,water ride,Q2870166
Q7355719,Rocky's Rapids,water ride,Q2870166
Q7199024,Pitoune,water ride,Q2870166
Q6784982,Master Blaster,water ride,Q2870166
Q5190183,Crush 'n' Gusher,water ride,Q2870166
Q5160511,Congo Rapids,water ride,Q2870166
Q4986237,Bugs' White Water Rapids,water ride,Q2870166
Q22952162,Wahoo Run,water ride,Q2870166
Q114315974,Tsunami Surge,water ride,Q2870166
Q821027,Piraten in Batavia,water ride,Q2870166
Q2908824,Living with the Land,water ride,Q2870166
Q28464779,Na'vi River Journey,water ride,Q2870166
Q17035868,Snake River Falls,water ride,Q2870166
Q30637266,Infinity Falls,water ride,Q2870166
Q54871374,Penguin's Blizzard River,water ride,Q2870166
Q3457281,Ambodivahibe Marine Reserve,water ride,Q2870166
Q5222498,Daredevil Falls,water ride,Q2870166
Q7379152,Rumba Rapids,water ride,Q2870166
Q6726124,Madagascar: A Crate Adventure,water ride,Q2870166
