qid,label,class_label,class_qid
Q29957041,WannaCry ransomware attack,weapon,Q728
Q622653,pepper spray,weapon,Q728
Q152982,gas van,weapon,Q728
Q23670513,Petya,weapon,Q728
Q778702,naval ram,weapon,Q728
Q15122248,CryptoLocker,weapon,Q728
Q1753856,Wolfsangel,weapon,Q728
Q2668464,Sword of Stalingrad,weapon,Q728
Q5251769,SS-Ehrendegen,weapon,Q728
Q2633112,Gold Sword for Bravery,weapon,Q728
Q3512577,Scorpion Macehead,weapon,Q728
Q3489849,Narmer Macehead,weapon,Q728
Q2957596,Monteleone Chariot,weapon,Q728
Q83375918,Rensenware,weapon,Q728
Q52157981,Incendiary kite,weapon,Q728
Q4353528,AIDS,weapon,Q728
Q15843622,SS honor dagger,weapon,Q728
Q15198947,Green Dragon Crescent Blade,weapon,Q728
Q12057378,Sword of Saint Wenceslas,weapon,Q728
Q465668,Honorary Revolutionary Weapon,weapon,Q728
Q19795259,Great Cannon,weapon,Q728
Q22920668,Locky,weapon,Q728
Q48734883,Hitler-Ransomware,weapon,Q728
Q20981520,Dover Barrage,weapon,Q728
Q5196076,Curved saber of San Martín,weapon,Q728
Q19605783,TeslaCrypt,weapon,Q728
Q106833920,Conti,weapon,Q728
Q64870676,Ryuk,weapon,Q728
Q60768340,FBI MoneyPak Ransomware,weapon,Q728
Q55615073,Jigsaw,weapon,Q728
Q22669996,Linux.Encoder.1,weapon,Q728
Q5094295,Chevaline,weapon,Q728
Q1797540,MIRACL,weapon,Q728
Q95135524,RagnarLocker,weapon,Q728
Q21996291,Starkiller Base (Ilum),weapon,Q728
Q2862231,Weapons of Honour,weapon,Q728
Q83982303,Kirk Ransomware,weapon,Q728
Q48698959,City of London swords,weapon,Q728
Q30592329,LogicLocker,weapon,Q728
Q25110410,CryptMix,weapon,Q728
Q23303160,KeRanger,weapon,Q728
Q22080723,KeyRaider,weapon,Q728
Q115926141,Heavy Anti-Aircraft Gun Station 385,weapon,Q728
Q137672119,Controller Operated Battle Ready Armament,weapon,Q728
Q137205031,CovidLock,weapon,Q728
Q24965511,TorrentLocker,weapon,Q728
Q115803699,Thanos,weapon,Q728
Q137393400,Annabelle,weapon,Q728
Q81231,Iron Dome,weapon,Q728
Q339025,MIM-104 Patriot,weapon,Q728
Q193813,Mjölnir,weapon,Q728
Q19907,Death Star,weapon,Q728
Q695709,vajra,weapon,Q728
Q190662,Aegis,weapon,Q728
Q147881,Tsar Cannon,weapon,Q728
Q1207785,Zulfiqar,weapon,Q728
Q478195,Holy Lance,weapon,Q728
Q827918,Gungnir,weapon,Q728
Q827918,Gungnir,weapon,Q728
Q484019,Browning M1919,weapon,Q728
Q2723173,Sudarshana Chakra,weapon,Q728
Q2723173,Sudarshana Chakra,weapon,Q728
Q640665,V-3 cannon,weapon,Q728
Q482506,M1917 Browning machine gun,weapon,Q728
Q1068348,Chauchat,weapon,Q728
Q1066363,Heckler & Koch MG4,weapon,Q728
Q601141,Heckler & Koch G11,weapon,Q728
Q19610972,Sword of Damocles,weapon,Q728
Q14944,Kusanagi,weapon,Q728
Q4405595,Infinity Gems,weapon,Q728
Q20149,Narsil,weapon,Q728
Q3589379,Sword of Osman,weapon,Q728
Q1890705,1968 Olympics Black Power salute,weapon,Q728
Q1631165,Joyeuse,weapon,Q728
Q532464,Rheinmetall-Borsig MG 15,weapon,Q728
Q698657,Rheinmetall-Borsig MG 131,weapon,Q728
Q952412,Mons Meg,weapon,Q728
Q4180707,Gandiva,weapon,Q728
Q4180707,Gandiva,weapon,Q728
Q378337,MG 81 machine gun,weapon,Q728
Q800205,Dardanelles Gun,weapon,Q728
Q836117,Sword of Goujian,weapon,Q728
Q19879,AT-AT,weapon,Q728
Q686236,Dulle Griet,weapon,Q728
Q2088108,Glamdring,weapon,Q728
Q20152,Sting,weapon,Q728
Q2708479,Project Babylon,weapon,Q728
Q912125,Seven-Branched Sword,weapon,Q728
Q1548909,Szczerbiec,weapon,Q728
Q1749381,Die Glocke,weapon,Q728
Q1749381,Die Glocke,weapon,Q728
Q19892595,Kaumodaki,weapon,Q728
Q20644862,trident of Poseidon,weapon,Q728
Q20644862,trident of Poseidon,weapon,Q728
Q109343183,Stielhandgranate 24,weapon,Q728
Q4096158,Brahmastra,weapon,Q728
Q787311,BFG,weapon,Q728
Q787311,BFG,weapon,Q728
Q1247724,Tizona,weapon,Q728
Q24962483,Tutankhamun's meteoric iron dagger blade,weapon,Q728
Q392668,Agent Blue,weapon,Q728
Q392776,Agent White,weapon,Q728
Q5612155,Grunwald Swords,weapon,Q728
Q631630,Batarang,weapon,Q728
Q3269905,Type 99 mine,weapon,Q728
Q976155,Curtana,weapon,Q728
Q1401384,Mjolnir,weapon,Q728
Q2203334,Master Sword,weapon,Q728
Q2203334,Master Sword,weapon,Q728
Q179632,Gáe Bulg,weapon,Q728
Q392759,Agent Purple,weapon,Q728
Q6398726,Kg m/40 light machine gun,weapon,Q728
Q6398726,Kg m/40 light machine gun,weapon,Q728
Q3139015,Integrated NATO Air Defense System,weapon,Q728
Q3488917,Skoda 100 mm Model 1916,weapon,Q728
Q3522587,Vel,weapon,Q728
Q3522587,Vel,weapon,Q728
Q1852142,Seax of Beagnoth,weapon,Q728
Q2316450,Fragarach,weapon,Q728
Q2414761,Metal Gear,weapon,Q728
Q2712103,shield of Achilles,weapon,Q728
Q834090,Ruyi Jingu Bang,weapon,Q728
Q834090,Ruyi Jingu Bang,weapon,Q728
Q3014017,Lobera,weapon,Q728
Q679680,Imperial Sword,weapon,Q728
Q686665,Dáinsleif,weapon,Q728
Q3737498,Sword of Gryffindor,weapon,Q728
Q3965836,Sword of Islam,weapon,Q728
Q17904966,SIG-Sauer MPX,weapon,Q728
Q106939354,Infinity Stones,weapon,Q728
Q11188200,7.7 cm FK 96,weapon,Q728
Q392744,Agent Pink,weapon,Q728
Q2595538,Stormbringer,weapon,Q728
Q594189,mandau,weapon,Q728
Q7181125,Phaya Tani,weapon,Q728
Q810944,Battersea Shield,weapon,Q728
Q3267488,Ame-no-Nuboko,weapon,Q728
Q3267488,Ame-no-Nuboko,weapon,Q728
Q856395,Inariyama Sword,weapon,Q728
Q856395,Inariyama Sword,weapon,Q728
Q880573,Pashupatastra,weapon,Q728
Q4029049,M1943,weapon,Q728
Q1681822,Warwolf,weapon,Q728
Q16309038,Sharanga,weapon,Q728
Q16309038,Sharanga,weapon,Q728
Q11246676,Breech-loading swivel gun,weapon,Q728
Q2713349,Holy Hand Grenade of Antioch,weapon,Q728
Q2982339,Colada,weapon,Q728
Q861313,PMD series mines,weapon,Q728
Q1505111,Kogarasu Maru,weapon,Q728
Q1505111,Kogarasu Maru,weapon,Q728
Q4034925,OKC-3S bayonet,weapon,Q728
Q15704897,Nandaka,weapon,Q728
Q15704897,Nandaka,weapon,Q728
Q2499101,TM-35 mine,weapon,Q728
Q2548195,Wandsworth Shield,weapon,Q728
Q320796,Schöningen Spears,weapon,Q728
Q2814033,Tonbokiri,weapon,Q728
Q2921418,SB 6 9584 Distances Given for a Roman Road. Bibliothèque Nationale 1354.5,weapon,Q728
Q678917,Cawood sword,weapon,Q728
