qid,label,class_label,class_qid
Q213338,Merlot,wine,Q282
Q750979,Chianti,wine,Q282
Q828135,ice wine,wine,Q282
Q808584,Barolo,wine,Q282
Q26667,Brunello di Montalcino,wine,Q282
Q590461,Barbaresco,wine,Q282
Q3631629,triphala,wine,Q282
Q440657,vin jaune,wine,Q282
Q1135592,Cortese di Gavi,wine,Q282
Q697469,Liebfraumilch,wine,Q282
Q282221,Sancerre,wine,Q282
Q7931338,Vin de liqueur,wine,Q282
Q815934,Provence wine,wine,Q282
Q987960,Egri bikavér,wine,Q282
Q1362043,Beerenauslese,wine,Q282
Q3655986,Late harvest wine,wine,Q282
Q2095599,Pineau des Charentes,wine,Q282
Q1591387,Haut-Médoc AOC,wine,Q282
Q1404965,Orvieto DOC,wine,Q282
Q1639847,Trockenbeerenauslese,wine,Q282
Q204269,Tsinandali wine,wine,Q282
Q2106740,Pouilly-Fumé,wine,Q282
Q1713793,Jura wine,wine,Q282
Q481559,Spätlese,wine,Q282
Q460398,Mateus,wine,Q282
Q765567,Toro,wine,Q282
Q4306822,Mukuzani,wine,Q282
Q715604,Bokbunja ju,wine,Q282
Q3170850,Méntrida DO,wine,Q282
Q2838270,Oloroso,wine,Q282
Q455197,Rivesaltes AOC,wine,Q282
Q426856,Auslese,wine,Q282
Q4316004,Negru de Purcari,wine,Q282
Q382471,Saint-Julien AOC,wine,Q282
Q353275,German wine classification,wine,Q282
Q10214,Saint-Pourçain AOC,wine,Q282
Q1127722,Constantia,wine,Q282
Q3080367,Fragolino,wine,Q282
Q2527172,Vinos de Madrid,wine,Q282
Q458075,Coteaux du Tricastin AOC,wine,Q282
Q441995,Minervois AOC,wine,Q282
Q255071,Montefalco Sagrantino,wine,Q282
Q3533893,Touraine AOC,wine,Q282
Q2992326,Condrieu AOC,wine,Q282
Q2048343,Palo Cortado,wine,Q282
Q462248,Côtes du Marmandais,wine,Q282
Q461047,Pécharmant,wine,Q282
Q458070,Côtes du Luberon AOC,wine,Q282
Q429620,Collioure AOC,wine,Q282
Q770230,Pauillac wine,wine,Q282
Q7139732,Parraleta,wine,Q282
Q5763543,Akhasheni,wine,Q282
Q5450908,Fino,wine,Q282
Q12824226,kagor,wine,Q282
Q390514,Pouilly-Fuissé,wine,Q282
Q25205273,Vazisubani,wine,Q282
Q850468,Savoy wine,wine,Q282
Q2743615,Regional Bordeaux AOCs,wine,Q282
Q453673,Aloxe-Corton wine,wine,Q282
Q4708929,Alazani,wine,Q282
Q4312724,Nama,wine,Q282
Q283918,Puisseguin-Saint-Émilion,wine,Q282
Q282021,Montagne-Saint-Émilion,wine,Q282
Q116757084,La Palma (DO),wine,Q282
Q112672812,Kylie Minogue Wines,wine,Q282
Q12864277,Vazisubani,wine,Q282
Q992241,Bruderthal,wine,Q282
Q3328297,Muscat du Ventoux,wine,Q282
Q2526374,Vin de Savoie AOC,wine,Q282
Q2446577,Touraine-Amboise,wine,Q282
Q778189,Ausbruch,wine,Q282
Q2923704,Brand,wine,Q282
Q62099022,Pago Aylés,wine,Q282
Q7581831,Spätrot-Rotgipfler,wine,Q282
Q27697,Madeira wine,wine,Q282
Q347187,Dom Pérignon,wine,Q282
Q1051699,Cava,wine,Q282
Q1310859,Retsina,wine,Q282
Q1446649,Saperavi,wine,Q282
Q616,Beaujolais wine,wine,Q282
Q1434993,Malaga,wine,Q282
Q1067753,vinho verde,wine,Q282
Q522420,Asti wine,wine,Q282
Q455219,Amarone della Valpolicella,wine,Q282
Q541959,Vino Nobile di Montepulciano,wine,Q282
Q1789031,Sovetskoye Shampanskoye,wine,Q282
Q1789031,Sovetskoye Shampanskoye,wine,Q282
Q808039,Bardolino DOC,wine,Q282
Q1946117,Montepulciano d'Abruzzo,wine,Q282
Q1933708,Soave,wine,Q282
Q1054633,Cerasuolo di Vittoria,wine,Q282
Q1090667,Château Pétrus,wine,Q282
Q2305328,Lacryma Christi,wine,Q282
Q1368986,Est! Est!! Est!!! di Montefiascone,wine,Q282
Q1401752,Vernaccia di San Gimignano,wine,Q282
Q338771,Aglianico del Vulture,wine,Q282
Q924164,Conditum,wine,Q282
Q7498341,Shiraz wine,wine,Q282
Q390630,Brachetto d'Acqui,wine,Q282
Q912059,Carmignano DOCG,wine,Q282
Q926371,Morellino di Scansano,wine,Q282
Q2668300,Amontillado,wine,Q282
Q1269612,Dão DOC,wine,Q282
Q1303349,Mulsum,wine,Q282
Q2836483,Alicante,wine,Q282
Q883138,Hock,wine,Q282
Q457946,Frascati DOC,wine,Q282
Q921560,Jurançon AOC,wine,Q282
Q594168,Gattinara DOCG,wine,Q282
Q2422815,Louis Roederer cuvée Cristal,wine,Q282
Q6463671,La Mancha,wine,Q282
Q3750896,Franciacorta DOCG,wine,Q282
Q1421577,Ghemme DOCG,wine,Q282
Q807022,Banyuls AOC,wine,Q282
Q2832668,Alentejo wine,wine,Q282
Q4570695,Valdepeñas,wine,Q282
Q4795974,Arribes,wine,Q282
Q443118,Friuli-Venezia Giulia wine,wine,Q282
Q454914,Malvasia di Castelnuovo Don Bosco,wine,Q282
Q874080,Uhudler,wine,Q282
Q1507028,Alella,wine,Q282
Q15039733,Recioto di Soave DOCG,wine,Q282
Q1285128,Alcamo wine,wine,Q282
Q1423822,Albana di Romagna,wine,Q282
Q1427324,Clairet,wine,Q282
Q910343,Ramandolo,wine,Q282
Q2937990,Carcavelos DOC,wine,Q282
Q2946359,Cerasuolo d'Abruzzo,wine,Q282
Q2982350,Colares DOC,wine,Q282
Q467794,Piedirosso,wine,Q282
Q502082,Trebbiano d'Abruzzo,wine,Q282
Q952716,León (DO),wine,Q282
Q3236769,Lessona,wine,Q282
Q3553937,Valle d'Aosta DOC,wine,Q282
Q16590178,Piemonte,wine,Q282
Q4929585,Blue Nun,wine,Q282
Q3733809,Etna,wine,Q282
Q1398382,Faugères AOC,wine,Q282
Q2893254,Beaune wine,wine,Q282
Q2894017,Beira Interior DOC,wine,Q282
Q2925580,Brindisi Rosso,wine,Q282
Q1799803,Lacrima di Morro d'Alba,wine,Q282
Q585122,Altiplano de Sierra Nevada,wine,Q282
Q613381,Cold Duck,wine,Q282
Q2513609,Verband Deutscher Prädikats- und Qualitätsweingüter,wine,Q282
Q2599921,Ycoden-Daute-Isora,wine,Q282
Q1142517,Crépy AOC,wine,Q282
Q3941695,Rosso di Montepulciano,wine,Q282
Q3639419,Bianchello del Metauro,wine,Q282
Q7838522,Trento DOC,wine,Q282
Q11262139,Salice Salentino,wine,Q282
Q3866002,Moscadello di Montalcino,wine,Q282
Q735114,Girò,wine,Q282
Q748202,Colli Orientali del Friuli,wine,Q282
Q1394013,Falerio dei Colli Ascolani,wine,Q282
Q1394022,Falerno del Massico,wine,Q282
Q387806,Carso DOC,wine,Q282
Q1632778,Parrina,wine,Q282
Q2967951,Château Mont-Pérat,wine,Q282
Q1886697,Malamatina,wine,Q282
Q1109395,Colli di Luni,wine,Q282
Q1109645,Colline Lucchesi,wine,Q282
Q3639454,Bianco di Pitigliano,wine,Q282
Q15833829,Maremma Toscana,wine,Q282
Q3326436,Mouton Cadet,wine,Q282
Q3618365,Ansonica Costa dell'Argentario,wine,Q282
Q113561002,Longan wine,wine,Q282
Q7932711,Vino pipeño,wine,Q282
Q8077453,Çalkarası,wine,Q282
Q3683272,Colline di Levanto DOC,wine,Q282
Q3731569,Erice DOC,wine,Q282
Q3848166,Marino DOC,wine,Q282
Q1784145,Kopskiekelwein,wine,Q282
Q3049308,Eichberg,wine,Q282
Q3649800,Cagnina di Romagna,wine,Q282
Q7162661,Penfolds Grange,wine,Q282
Q7562180,Sonoma County wine,wine,Q282
Q7838516,Trentino-Alto Adige/Südtirol wine,wine,Q282
Q110378029,Judima,wine,Q282
Q3721167,Elba DOC,wine,Q282
Q3886982,Ostuni DOC,wine,Q282
Q4674751,Acqua pazza,wine,Q282
Q7336937,Riunite,wine,Q282
Q123907264,Gaza wine,wine,Q282
