qid,label,class_label,class_qid
Q610350,Veuve Clicquot,winery,Q156362
Q1759184,Pommery,winery,Q156362
Q5084016,Charles de Cazanove,winery,Q156362
Q5699030,Heidsieck & Co,winery,Q156362
Q4979346,Bruno Paillard,winery,Q156362
Q3160378,Champagne Jacquesson & Fils,winery,Q156362
Q2948618,Delamotte Champagne,winery,Q156362
Q16069544,Champagne Binet,winery,Q156362
Q5244791,De Venoge,winery,Q156362
Q7161751,Pelter Winery,winery,Q156362
Q7150929,Paul Goerg,winery,Q156362
Q4938519,Boizel,winery,Q156362
Q20709457,Dragonmead,winery,Q156362
Q1090558,Château Lafite Rothschild,winery,Q156362
Q697766,Eberbach Abbey,winery,Q156362
Q1061469,Château Mouton Rothschild,winery,Q156362
Q1063236,Château Margaux,winery,Q156362
Q1090583,Château Latour,winery,Q156362
Q1090764,Château d'Yquem,winery,Q156362
Q1284848,Hospices de Beaune,winery,Q156362
Q518582,Château Haut-Brion,winery,Q156362
Q16761473,Tvrdoš Monastery,winery,Q156362
Q4789016,Areni-1 winery,winery,Q156362
Q2776942,Beit Jimal Monastery,winery,Q156362
Q2142623,Romanée-Conti,winery,Q156362
Q1090405,Château Cheval Blanc,winery,Q156362
Q1090609,Château Musar,winery,Q156362
Q1123957,Concha y Toro,winery,Q156362
Q2370018,Champagne Louis Roederer,winery,Q156362
Q15625039,Mileștii Mici,winery,Q156362
Q204901,Taittinger,winery,Q156362
Q1780019,Piper-Heidsieck,winery,Q156362
Q5324773,E & J Gallo Winery,winery,Q156362
Q2905035,Golan Heights Winery,winery,Q156362
Q1913305,Castello di Amorosa,winery,Q156362
Q2106740,Pouilly-Fumé,winery,Q156362
Q2968817,Château de Cayx,winery,Q156362
Q1090340,Château Ausone,winery,Q156362
Q1422405,Tenuta San Guido,winery,Q156362
Q2487774,Groot Constantia,winery,Q156362
Q2611912,Château Haut-Marbuzet,winery,Q156362
Q15212003,Cricova,winery,Q156362
Q1090652,Château Rauzan-Ségla,winery,Q156362
Q155081,Champagne Salon,winery,Q156362
Q1795432,Montrachet,winery,Q156362
Q3034490,Massandra winery,winery,Q156362
Q600832,Château de Goulaine,winery,Q156362
Q2496002,Château de Valmer,winery,Q156362
Q2558616,Gosset,winery,Q156362
Q2749134,Mercurey wine,winery,Q156362
Q1090546,Château Lynch-Bages,winery,Q156362
Q60169787,Casajús,winery,Q156362
Q1090616,Château Pape Clément,winery,Q156362
Q1090716,Château de Rayne-Vigneau,winery,Q156362
Q116766,Chateau Montelena,winery,Q156362
Q268304,Törley,winery,Q156362
Q448588,Opus One Winery,winery,Q156362
Q462988,Château Angélus,winery,Q156362
Q2967959,Château Nairac,winery,Q156362
Q633355,Ayala & Co.,winery,Q156362
Q780285,Château Pichon Longueville Comtesse de Lalande,winery,Q156362
Q4347948,Cloudy Bay Vineyards,winery,Q156362
Q1090342,Château Beychevelle,winery,Q156362
Q1369444,Achaia Clauss,winery,Q156362
Q1090388,Château Cantemerle,winery,Q156362
Q1090383,Château Cantenac-Brown,winery,Q156362
Q1090399,Château Clerc Milon,winery,Q156362
Q1090464,Château Gruaud-Larose,winery,Q156362
Q1090555,Château Léoville-Las Cases,winery,Q156362
Q4992699,Pemberton's French Wine Coca,winery,Q156362
Q1090725,Château d'Issan,winery,Q156362
Q1129938,Maison Joseph Drouhin,winery,Q156362
Q2922359,Bourgogne hautes-cotes de nuits,winery,Q156362
Q128427,Château d'Armailhac,winery,Q156362
Q188138,Château Doisy-Dubroca,winery,Q156362
Q262435,Château Doisy Daëne,winery,Q156362
Q305074,Château Le Pin,winery,Q156362
Q462898,Château Langoa-Barton,winery,Q156362
Q464240,Château La Tour Blanche,winery,Q156362
Q1950238,Moulin-à-Vent AOC,winery,Q156362
Q2297791,Sogrape,winery,Q156362
Q2399877,Château de Myrat,winery,Q156362
Q2967839,Château Bayard,winery,Q156362
Q2967856,Château Caillou,winery,Q156362
Q2967928,Château Latour-Martillac,winery,Q156362
Q2968633,Château de Boursault,winery,Q156362
Q2969228,Château de Fieuzal,winery,Q156362
Q2971666,Châtelard Castle with fountain,winery,Q156362
Q2979603,Clos Fourtet,winery,Q156362
Q768299,De Castellane,winery,Q156362
Q787543,Vergelegen,winery,Q156362
Q841657,Château Coutet,winery,Q156362
Q953915,Château Broustet,winery,Q156362
Q3774805,Devinssi Winery,winery,Q156362
Q3983126,Antinori,winery,Q156362
Q1090366,Château Calon-Ségur,winery,Q156362
Q1402433,Ornellaia e Masseto,winery,Q156362
Q1421321,Richebourg,winery,Q156362
Q1090442,Château Filhot,winery,Q156362
Q106982635,Guigal,winery,Q156362
Q14566740,Château de Glérolles,winery,Q156362
Q1090612,Château Phélan Ségur,winery,Q156362
Q1090622,Château Pontet-Canet,winery,Q156362
Q1090698,Château de Beaucastel,winery,Q156362
Q1090657,Château Rieussec,winery,Q156362
Q1090681,Château Suduiraut,winery,Q156362
Q1090679,Château Talbot,winery,Q156362
Q1102353,Clos de Tart,winery,Q156362
Q1135641,Corton-Charlemagne,winery,Q156362
Q2893254,Beaune wine,winery,Q156362
Q2895229,Château Golan,winery,Q156362
Q2944013,Cellier des Dauphins,winery,Q156362
Q2948612,Chanoine Frères,winery,Q156362
Q472864,Château Lynch-Moussas,winery,Q156362
Q532686,Château Pavie,winery,Q156362
Q2165002,Romanée-Saint-Vivant,winery,Q156362
Q2243294,Mestral Château,winery,Q156362
Q2967853,Château Bouscaut,winery,Q156362
Q2967855,Château Canon,winery,Q156362
Q2969321,Château de Gevrey-Chambertin,winery,Q156362
Q2971874,Château La Mission Haut-Brion,winery,Q156362
Q586841,Château Pouget,winery,Q156362
Q624415,Château Saint-Aubin,winery,Q156362
Q734456,Château Malartic-Lagravière,winery,Q156362
Q3037116,Dornier Wines,winery,Q156362
Q3272427,Chapoutier,winery,Q156362
Q3296498,Mas de Daumas Gassac,winery,Q156362
