qid,label,class_label,class_qid
Q7141888,Benj Pasek and Justin Paul,writer,Q36180
Q608062,Jean Joseph Dussault,writer,Q36180
Q7460006,Shabak Samech,writer,Q36180
Q65941414,Kristen Millares Young,writer,Q36180
Q104433271,White House Director of Speechwriting,writer,Q36180
Q124622992,PigPen Theatre Co.,writer,Q36180
Q119398196,K Patrick,writer,Q36180
Q1513261,Kashyapa,writer,Q36180
Q855089,Bhrigu,writer,Q36180
Q241908,Marichi,writer,Q36180
Q2479214,Anasuya,writer,Q36180
Q1090216,Chyavana,writer,Q36180
Q2176828,Four Kumaras,writer,Q36180
Q7415538,Sanatkumara,writer,Q36180
Q4239875,Kratu,writer,Q36180
Q11555373,Hōdō,writer,Q36180
Q113549198,Poets Laureate of Idaho,writer,Q36180
Q113549262,Poets Laureate of Illinois,writer,Q36180
Q137538859,Ben Joravsky,writer,Q36180
