qid,label,class_label,class_qid
Q23393,Lord's Prayer,written work,Q234460
Q42203,Hail Mary,written work,Q234460
Q41831,Shahada,written work,Q234460
Q234869,salah,written work,Q234460
Q51624,Resurrection of Jesus,written work,Q234460
Q180012,Behistun Inscription,written work,Q234460
Q924037,Jumu'ah,written work,Q234460
Q131306,SPQR,written work,Q234460
Q152036,lorem ipsum,written work,Q234460
Q174361,Book of the Dead,written work,Q234460
Q188219,ayah,written work,Q234460
Q19867,Domesday Book,written work,Q234460
Q189573,Golden Rule,written work,Q234460
Q320713,Cantar de Mio Cid,written work,Q234460
Q405008,Cyrus cylinder,written work,Q234460
Q12767,Tabula Peutingeriana,written work,Q234460
Q372989,Fortune,written work,Q234460
Q741304,J’accuse…!,written work,Q234460
Q217342,Alpha and Omega,written work,Q234460
Q157150,Carmina Burana,written work,Q234460
Q743376,Te Deum,written work,Q234460
Q181681,Emerald Tablet,written work,Q234460
Q2158299,Temptation of Jesus,written work,Q234460
Q567601,Golden Bull of 1356,written work,Q234460
Q213540,Rhind Mathematical Papyrus,written work,Q234460
Q157199,Arbeit macht frei,written work,Q234460
Q192614,God is dead,written work,Q234460
Q191587,E pluribus unum,written work,Q234460
Q481644,Abydos King List,written work,Q234460
Q465338,Phaistos disc,written work,Q234460
Q318233,Codex Alexandrinus,written work,Q234460
Q209285,Codex Vaticanus,written work,Q234460
Q60867,Gospel of Philip,written work,Q234460
Q745028,Fourteen Words,written work,Q234460
Q864983,First they came…,written work,Q234460
Q2540543,funeral prayer,written work,Q234460
Q259588,I know that I know nothing,written work,Q234460
Q129906,Codex Argenteus,written work,Q234460
Q909937,Know thyself,written work,Q234460
Q617371,"Et tu, Brute?",written work,Q234460
Q733492,Leningrad Codex,written work,Q234460
Q724954,Mesha Stele,written work,Q234460
Q542463,Dieu et mon droit,written work,Q234460
Q926547,Moscow Mathematical Papyrus,written work,Q234460
Q641912,"Si vis pacem, para bellum",written work,Q234460
Q1641020,palm-leaf manuscript,written work,Q234460
Q310264,Sapere aude,written work,Q234460
Q334704,Orkhon inscriptions,written work,Q234460
Q254633,Codex Cumanicus,written work,Q234460
Q17090395,World Happiness Report,written work,Q234460
Q313099,Drang nach Osten,written work,Q234460
Q165353,Codex Manesse,written work,Q234460
Q162873,72 names on the Eiffel Tower,written work,Q234460
Q842363,Edwin Smith Papyrus,written work,Q234460
Q310301,Ebers Papyrus,written work,Q234460
Q686091,Canticle of the Sun,written work,Q234460
Q845308,Mens sana in corpore sano,written work,Q234460
Q290500,Codex Ephraemi Rescriptus,written work,Q234460
Q540960,motto of the European Union,written work,Q234460
Q1045726,Plus ultra,written work,Q234460
Q263158,Lay of Hildebrand,written work,Q234460
Q482123,Ad maiorem Dei gloriam,written work,Q234460
Q4196458,Global Innovation Index,written work,Q234460
Q1365408,"To be, or not to be",written work,Q234460
Q736935,Derveni papyrus,written work,Q234460
Q207062,Q207062,written work,Q234460
Q200944,Dresden Codex,written work,Q234460
Q818305,Codex Bezae,written work,Q234460
Q1330496,Baška tablet,written work,Q234460
Q1165472,Rylands Library Papyrus P52,written work,Q234460
Q919962,In hoc signo vinces,written work,Q234460
Q654574,Parable of the Wicked Husbandmen,written work,Q234460
Q672556,Boxer Protocol,written work,Q234460
Q641033,Gott mit uns,written work,Q234460
Q2717243,"Unus pro omnibus, omnes pro uno",written work,Q234460
Q1770470,Archimedes Palimpsest,written work,Q234460
Q618874,Apocryphon of John,written work,Q234460
Q1342275,Flight of the Bumblebee,written work,Q234460
Q257546,A.E.I.O.U.,written work,Q234460
Q1187862,Per aspera ad astra,written work,Q234460
Q692259,Black Book of Carmarthen,written work,Q234460
Q145327,Bhinneka Tunggal Ika,written work,Q234460
Q47541,Serenity Prayer,written work,Q234460
Q1471650,Black Obelisk of Shalmaneser III,written work,Q234460
Q912605,Codex Claromontanus,written work,Q234460
Q683814,Codex Leicester,written work,Q234460
Q659536,Codex Basilensis A. N. III. 12,written work,Q234460
Q51641,Great Commandment,written work,Q234460
Q2621680,Laurentian Codex,written work,Q234460
Q371617,Pange lingua gloriosi corporis mysterium,written work,Q234460
Q1127893,Josephus on Jesus,written work,Q234460
Q646153,Bavarian Geographer,written work,Q234460
Q1106099,Codex Mendoza,written work,Q234460
Q3209,Coligny calendar,written work,Q234460
Q2302345,The Saturday Evening Post,written work,Q234460
Q1059964,Holy Book of the Great Invisible Spirit,written work,Q234460
Q790327,Ave verum corpus,written work,Q234460
Q1246014,Pyrgi Tablets,written work,Q234460
Q744869,Siloam inscription,written work,Q234460
Q492663,Jesus and the woman taken in adultery,written work,Q234460
Q153028,Codex Atlanticus,written work,Q234460
Q1078151,Gortyn code,written work,Q234460
Q41469,Miroslav Gospel,written work,Q234460
Q36617,Radziwiłł Chronicle,written work,Q234460
Q1486590,Red Book of Hergest,written work,Q234460
Q2704440,Let there be light,written work,Q234460
Q1812741,Semper Fidelis,written work,Q234460
Q768553,"Death to fascism, freedom to the people",written work,Q234460
Q254094,Hallel,written work,Q234460
Q577890,Alexamenos graffito,written work,Q234460
Q1188699,A Declaration of the Independence of Cyberspace,written work,Q234460
Q518620,mene mene tekel upharsin,written work,Q234460
Q900584,attribution,written work,Q234460
Q1106019,Florentine Codex,written work,Q234460
Q1093409,"Citius, Altius, Fortius – Communiter",written work,Q234460
Q41423,A Mari Usque Ad Mare,written work,Q234460
Q7272797,qunut,written work,Q234460
Q3536222,Chennakesava Temple,written work,Q234460
Q15095592,Death to America,written work,Q234460
Q616891,Ostromir Gospels,written work,Q234460
Q1343736,Nash Papyrus,written work,Q234460
Q591301,Westcar Papyrus,written work,Q234460
Q260985,Rohonc Codex,written work,Q234460
