qid,label,class_label,class_qid
Q1995,2010,year,Q577
Q1996,2009,year,Q577
Q2004,2008,year,Q577
Q2024,2007,year,Q577
Q1990,2012,year,Q577
Q2021,2006,year,Q577
Q1998,2013,year,Q577
Q1994,2011,year,Q577
Q2019,2005,year,Q577
Q2002,2015,year,Q577
Q1999,2014,year,Q577
Q25245,2016,year,Q577
Q25291,2018,year,Q577
Q25274,2019,year,Q577
Q25290,2017,year,Q577
Q2014,2004,year,Q577
Q1988,2001,year,Q577
Q25337,2020,year,Q577
Q1986,2003,year,Q577
Q1985,2000,year,Q577
Q49628,2021,year,Q577
Q1987,2002,year,Q577
Q2091,1999,year,Q577
Q49625,2022,year,Q577
Q2089,1998,year,Q577
Q2088,1997,year,Q577
Q2475,1971,year,Q577
Q2068,1995,year,Q577
Q2062,1991,year,Q577
Q2425,1989,year,Q577
Q2070,1996,year,Q577
Q2650,1965,year,Q577
Q2644,1968,year,Q577
Q2092,1917,year,Q577
Q2067,1994,year,Q577
Q2060,1992,year,Q577
Q2764,1962,year,Q577
Q49622,2023,year,Q577
Q2439,1980,year,Q577
Q5253,1958,year,Q577
Q5188,1949,year,Q577
Q5165,1948,year,Q577
Q3754,1960,year,Q577
Q2652,1964,year,Q577
Q2484,1979,year,Q577
Q2485,1969,year,Q577
Q2094,1918,year,Q577
Q2065,1993,year,Q577
Q2035,1901,year,Q577
Q5263,1947,year,Q577
Q3696,1961,year,Q577
Q2649,1966,year,Q577
Q2648,1967,year,Q577
Q2436,1982,year,Q577
Q2431,1985,year,Q577
Q18633,1940,year,Q577
Q2046,1904,year,Q577
Q5240,1945,year,Q577
Q5221,1956,year,Q577
Q2755,1963,year,Q577
Q2479,1975,year,Q577
Q2474,1970,year,Q577
Q2432,1984,year,Q577
Q2165,1922,year,Q577
Q2155,1920,year,Q577
Q18597,1950,year,Q577
Q18585,1953,year,Q577
Q18581,1954,year,Q577
Q2064,1990,year,Q577
Q2056,1908,year,Q577
Q2049,1906,year,Q577
Q2045,1903,year,Q577
Q5302,1959,year,Q577
Q5268,1944,year,Q577
Q2437,1981,year,Q577
Q2430,1986,year,Q577
Q2434,1983,year,Q577
Q18726,1933,year,Q577
Q18743,1932,year,Q577
Q2162,1921,year,Q577
Q18714,1934,year,Q577
Q2157,1919,year,Q577
Q18610,1946,year,Q577
Q2083,1914,year,Q577
Q18577,1955,year,Q577
Q2077,1912,year,Q577
Q2043,1902,year,Q577
Q5311,1957,year,Q577
Q2481,1977,year,Q577
Q2478,1974,year,Q577
Q18792,1929,year,Q577
Q2429,1987,year,Q577
Q18787,1930,year,Q577
Q18645,1938,year,Q577
Q18625,1942,year,Q577
Q2076,1911,year,Q577
Q5272,1952,year,Q577
Q5231,1941,year,Q577
Q2483,1978,year,Q577
Q2480,1976,year,Q577
Q2477,1973,year,Q577
Q19715,1928,year,Q577
Q2169,1923,year,Q577
Q2426,1988,year,Q577
Q18591,1951,year,Q577
Q2084,1915,year,Q577
Q2080,1913,year,Q577
Q2075,1910,year,Q577
Q2048,1907,year,Q577
Q2047,1905,year,Q577
Q5259,1926,year,Q577
Q2476,1972,year,Q577
Q49619,2024,year,Q577
Q18658,1935,year,Q577
Q18649,1936,year,Q577
Q18647,1937,year,Q577
Q18639,1939,year,Q577
Q2087,1916,year,Q577
Q18110,1927,year,Q577
Q2057,1909,year,Q577
Q2173,1924,year,Q577
Q18782,1931,year,Q577
Q18623,1943,year,Q577
Q18107,1925,year,Q577
Q2034,1900,year,Q577
Q7851,1899,year,Q577
Q7832,1890,year,Q577
Q7844,1895,year,Q577
Q6919,1809,year,Q577
Q49616,2025,year,Q577
Q7840,1893,year,Q577
Q7837,1891,year,Q577
Q7847,1897,year,Q577
Q7808,1881,year,Q577
Q7848,1898,year,Q577
Q7843,1894,year,Q577
Q7829,1888,year,Q577
Q7831,1889,year,Q577
Q7846,1896,year,Q577
Q7839,1892,year,Q577
Q7826,1887,year,Q577
Q7821,1885,year,Q577
Q7715,1867,year,Q577
Q7816,1883,year,Q577
Q7764,1875,year,Q577
Q7783,1879,year,Q577
Q7741,1870,year,Q577
Q7720,1869,year,Q577
Q7693,1861,year,Q577
Q7653,1850,year,Q577
Q7822,1886,year,Q577
Q7819,1884,year,Q577
Q7806,1880,year,Q577
Q7746,1871,year,Q577
Q7717,1868,year,Q577
Q7708,1865,year,Q577
Q6877,1801,year,Q577
Q7812,1882,year,Q577
Q7776,1878,year,Q577
Q7773,1877,year,Q577
Q7761,1874,year,Q577
Q7704,1864,year,Q577
Q7691,1860,year,Q577
Q7644,1847,year,Q577
Q7601,1836,year,Q577
Q6967,1819,year,Q577
Q6948,1815,year,Q577
Q7757,1873,year,Q577
Q6903,1806,year,Q577
Q6894,1804,year,Q577
Q6887,1803,year,Q577
Q6883,1802,year,Q577
Q7698,1862,year,Q577
Q7676,1856,year,Q577
Q7647,1848,year,Q577
Q7622,1841,year,Q577
Q7572,1829,year,Q577
Q7576,1830,year,Q577
Q6997,1825,year,Q577
Q6976,1821,year,Q577
Q6973,1820,year,Q577
Q6943,1814,year,Q577
Q6933,1812,year,Q577
Q7687,1859,year,Q577
Q7680,1857,year,Q577
Q7640,1846,year,Q577
Q7633,1844,year,Q577
Q7584,1832,year,Q577
Q7579,1831,year,Q577
Q6983,1822,year,Q577
Q6964,1818,year,Q577
Q6909,1807,year,Q577
Q7753,1872,year,Q577
Q7712,1866,year,Q577
Q7701,1863,year,Q577
Q7673,1855,year,Q577
Q7661,1852,year,Q577
Q7650,1849,year,Q577
Q7619,1840,year,Q577
Q7608,1837,year,Q577
Q7597,1835,year,Q577
Q6928,1811,year,Q577
Q6922,1810,year,Q577
Q7766,1876,year,Q577
Q6898,1805,year,Q577
Q6875,1800,year,Q577
Q7666,1853,year,Q577
Q7587,1833,year,Q577
Q6937,1813,year,Q577
Q7656,1851,year,Q577
Q7616,1839,year,Q577
Q7004,1826,year,Q577
Q6958,1817,year,Q577
Q6953,1816,year,Q577
Q7772,1789,year,Q577
Q6914,1808,year,Q577
Q7684,1858,year,Q577
Q7632,1756,year,Q577
Q7591,1834,year,Q577
Q7008,1827,year,Q577
Q6994,1824,year,Q577
Q6988,1823,year,Q577
Q7818,1796,year,Q577
Q7815,1795,year,Q577
Q7807,1793,year,Q577
Q7784,1791,year,Q577
Q7703,1776,year,Q577
Q7636,1845,year,Q577
Q7629,1843,year,Q577
Q7625,1842,year,Q577
Q7612,1838,year,Q577
Q7570,1828,year,Q577
Q7827,1799,year,Q577
Q7811,1794,year,Q577
Q7670,1854,year,Q577
Q7775,1790,year,Q577
Q7700,1775,year,Q577
Q7683,1770,year,Q577
Q7639,1758,year,Q577
Q7646,1760,year,Q577
Q7823,1798,year,Q577
Q7820,1797,year,Q577
Q7709,1777,year,Q577
Q7627,1755,year,Q577
Q7611,1750,year,Q577
Q7580,1743,year,Q577
Q7805,1792,year,Q577
Q7765,1788,year,Q577
Q7745,1783,year,Q577
Q7713,1778,year,Q577
Q7679,1769,year,Q577
Q7643,1759,year,Q577
Q7763,1787,year,Q577
Q7752,1784,year,Q577
Q7740,1782,year,Q577
Q7716,1780,year,Q577
Q7697,1774,year,Q577
Q6841,1707,year,Q577
Q7635,1757,year,Q577
Q7618,1752,year,Q577
Q7615,1751,year,Q577
