qid,label,class_label,class_qid
Q15503298,Pombia Safari Park,zoo,Q43501
Q713124,Artis,zoo,Q43501
Q764186,Disney's Animal Kingdom,zoo,Q43501
Q502326,Tierpark Hagenbeck,zoo,Q43501
Q1155919,Georgia Aquarium,zoo,Q43501
Q965731,California Academy of Sciences,zoo,Q43501
Q1870391,Loro Parque,zoo,Q43501
Q1547682,Jurong Bird Park,zoo,Q43501
Q1200948,Aquarium Barcelona,zoo,Q43501
Q1445750,Okinawa Churaumi Aquarium,zoo,Q43501
Q1191885,Osaka Aquarium Kaiyukan,zoo,Q43501
Q1994806,Zoo Aquarium de Madrid,zoo,Q43501
Q264691,Hellabrunn Zoo,zoo,Q43501
Q1064760,Six Flags Great Adventure,zoo,Q43501
Q2166515,Shedd Aquarium,zoo,Q43501
Q1754233,Monterey Bay Aquarium,zoo,Q43501
Q525190,Ozeaneum,zoo,Q43501
Q29168,Aquaria KLCC,zoo,Q43501
Q548850,AquaDom,zoo,Q43501
Q3312744,Sea Life London Aquarium,zoo,Q43501
Q487104,Walsrode World Bird Park,zoo,Q43501
Q652806,Lisbon Oceanarium,zoo,Q43501
Q623163,Aquarium of Genoa,zoo,Q43501
Q2447851,Oceanogràfic,zoo,Q43501
Q1049423,Castle Clinton,zoo,Q43501
Q2859182,Istanbul Aquarium,zoo,Q43501
Q2449490,SeaWorld Orlando,zoo,Q43501
Q2330240,Neeltje Jans,zoo,Q43501
Q2591764,Sea Life Sydney Aquarium,zoo,Q43501
Q1946237,SeaWorld San Diego,zoo,Q43501
Q1207908,Ocean Park Hong Kong,zoo,Q43501
Q5150169,Columbus Zoo and Aquarium,zoo,Q43501
Q31833,Aquarium of Rhodes,zoo,Q43501
Q31828,The Blue Planet,zoo,Q43501
Q1321392,Melbourne Aquarium,zoo,Q43501
Q28888,Polaria,zoo,Q43501
Q31529,Cretaquarium,zoo,Q43501
Q1783786,Two Oceans Aquarium,zoo,Q43501
Q317985,Aquarium Berlin,zoo,Q43501
Q185228,Vancouver Aquarium,zoo,Q43501
Q1073067,Toba Aquarium,zoo,Q43501
Q1000257,National Aquarium,zoo,Q43501
Q21641834,Moskvarium,zoo,Q43501
Q2183630,Safaripark Beekse Bergen,zoo,Q43501
Q29329,Bergen Aquarium,zoo,Q43501
